Date,roc_10,month_sin,price_diff,momentum_10,volume_lag_1,volume_ratio_10,rolling_var_5,day_of_month,rolling_var_20,day_of_week_sin,dist_sma_5,rolling_var_10,volume_lag_3,atr_pct,rolling_vol_20,obv,dist_sma_10,bb_width,month_cos,day_of_week,bb_pct,return_lag_3,volume_ratio_20,rolling_vol_5,momentum_20,week,High,rolling_vol_10,dist_sma_50,roc_20,vma_20,macd,macd_hist,volume_ratio_5,volume_lag_5,Volume,volume_lag_10,return_lag_5,volume_change_ratio,dist_sma_200,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.8591157140178779,-1.2440877009366578,0.09483764031478614,-0.19461528383189777,1.676015696975349,-0.33577467196789573,-0.3987410367932964,0.24806721389232275,-0.4771516062469828,0.8324572644928097,-0.1021294527911027,-0.4339463320398935,0.43297255596991424,0.6331062592893412,0.5570270367117606,-2.2154279326430064,-0.7588506068628194,-0.5044758241912081,0.6922728222017722,-0.7030940224573509,-0.7893150677018742,-1.4262414086517128,-0.37786731772145593,1.2486489236167917,-0.21886594406370533,1.0293940549900995,-0.9447279862366263,0.5529857294759647,0.4565666491254005,-0.8801625419251996,1.8753031018424664,-0.036561524520799124,-0.2552377192132296,-0.3421152093540741,0.9344233940976262,0.751586672887571,1.5736117226106694,-1.1624805474365818,-0.6547483160156354,0.5387547452383196,465.8084106445313,-0.0241242097115906,0.0124292864358549,0,0
2005-10-19,-1.5012017912937796,-1.2440877009366578,-0.23327456166743862,-0.3073742701994669,0.748678829427928,-0.6504122043405199,-0.4087485755814908,0.3621486919013695,-0.4764510611040079,1.208618400811304,-0.6253934083094812,-0.43521357986894466,1.8837823553590216,0.7671850312102798,0.48891732193953497,-2.2154279326430064,-1.192812248838039,-0.41137376545809234,0.6922728222017722,0.005365612946961077,-1.3430178196275893,-2.3056426768581595,-0.7542184435000613,0.959290077398805,-0.19927275384829912,1.0293940549900995,-0.9455819282982809,0.4442697519780757,0.14349262858654427,-0.7881178914869982,1.77191749813473,-0.06200149065711488,-0.2748023332158599,-0.8604976357165102,0.6549660083817554,0.1807959699923655,2.9136968519662334,1.1706395242140546,-0.5999339037710493,0.385375986321261,464.0353698730469,-0.0038136361344394,0.0211289973490447,0,1
2005-10-20,-1.4863816268159222,-1.2440877009366578,-0.05474118649740688,-0.30370741253752714,0.17728337965851182,-0.6698511679356092,-0.41226298947933326,0.4762301699104163,-0.4756346895181219,0.1546383182172875,-0.44379443562748866,-0.43781716602515336,1.676505174431117,0.839377193548476,0.4203352534465062,-2.2154279326430064,-1.0427102290397663,-0.3108443236921906,0.6922728222017722,0.713825248351273,-1.3211086897655906,0.981589656931201,-0.7671178957544184,0.8501983745100912,-0.1628168042852153,1.0293940549900995,-0.9455819282982809,0.44692359666526127,0.07800717161952482,-0.5826297514861883,1.6106783208811393,-0.08470813559130348,-0.28257845449202706,-0.9022805480670757,0.4371971618333748,0.0976649071408339,1.004137234548084,-1.4286832961159164,-0.2825495716931661,0.3573404515473899,483.5827331542969,0.041261635798354,-0.0072960871979362,1,2
2005-10-21,-0.5305589581124087,-1.2440877009366578,0.34172365720911296,-0.1386949362795807,0.09406424030160922,-0.5973180625237979,-0.409208512678038,0.590311647919463,-0.4760456700026523,-1.5358144838203962,1.0232111783216165,-0.43970957877966127,0.7504769162261572,0.6287865647870422,0.5906061006960981,-2.2154279326430064,0.24873099643898378,-0.3614525928919687,0.6922728222017722,1.422284883755585,-0.277777625424326,0.6488189767493545,-0.662838094025377,0.6852766539449616,-0.04766827997644309,1.0293940549900995,-0.9425968455579005,0.9251772520371397,0.547644605672032,0.11937630140421666,1.487027751971225,-0.08108451520737794,-0.21293346150343478,-0.514750036211562,1.8928083330023433,0.17968368587744787,0.0906240895174696,-2.307513027495067,-0.12330071243145034,0.6048977563396506,494.7403564453125,0.022810679225657,-0.0842993404998479,1,2
2005-10-24,-0.13973676932735113,-1.2440877009366578,0.18571174740949506,-0.07337593102135762,0.1761699170900239,1.007628816070284,-0.3985414944103331,0.9325560819466033,-0.47608281167919436,-0.6905880828015545,1.6224494688767641,-0.43971950719176023,0.17988778986517612,0.5442688637899635,0.6380506030097585,-2.2154279326430064,0.9436082362989274,-0.36888397767905623,0.6922728222017722,-1.411553657861663,0.30793225091650606,-1.2834056543906294,0.736730651009745,0.7211364306098574,-0.027914502846183176,1.0952848855141986,-0.9359254486505844,1.0557007009332084,0.789517360583808,0.23620020438861203,1.50755550576251,-0.06628970360899362,-0.12502970319479806,1.6499628868371021,1.6848451801382582,1.973646022502337,1.1822456477039376,0.9775828818808162,1.4808970364835947,0.7409570460130546,483.1503601074219,-0.0237051827421261,-0.0406761429916302,0,0
2005-10-25,-0.17067072349762533,-1.2440877009366578,-0.2372929685688121,-0.07841796138648989,1.972032938344187,1.2120947385589123,-0.3977209745238709,1.04663755995565,-0.4761770402257435,0.8324572644928097,0.4010947896126066,-0.43979715726733654,0.09678608501028148,0.662785382918006,0.5328935798020729,-2.2154279326430064,0.22834477057480107,-0.3785118894213388,0.6922728222017722,-0.7030940224573509,-0.32694334033713923,-0.23275143006636698,0.9827155535225134,1.0997024450204553,-0.13696061106171017,1.0952848855141986,-0.9376859561677928,1.0753100346413251,0.4553872794461926,-0.4207459789493217,1.648671096917204,-0.06844305162914653,-0.10353974847309168,1.5473921160431172,0.7557522845506648,2.4309681620105867,0.9341239952954937,0.6450284746401675,-0.0015590192354892147,0.5819276617081638,475.7551879882813,-0.0154244987984007,-0.0297988026763042,0,0
2005-10-26,-0.7682280892401485,-1.2440877009366578,-0.15928786490616528,-0.17834335025712703,2.4298396059517424,-0.763009061210973,-0.40235821667646826,1.1607190379646968,-0.4759968841936275,1.208618400811304,-0.49064558413748927,-0.4421865699664601,0.1787758985568964,0.7470594770497172,0.5148908696447227,-2.2154279326430064,-0.10857585689195172,-0.3555181097434096,0.6922728222017722,0.005365612946961077,-0.7211403382255368,2.0989663172862336,-0.7409450245989109,0.9258599251287053,-0.12957315966322364,1.0952848855141986,-0.9418555792348653,0.9690037840115352,0.23102452600388781,-0.3809529008090946,1.5831299441883546,-0.0791420643814498,-0.1109705696466091,-0.9069018641784306,0.18327482621787128,0.12054562380251939,0.6546513232674968,-1.2859403730762178,-1.1082310612565855,0.47726531918960524,460.66204833984375,-0.0322387206814204,-0.0143743038779035,0,0
2005-10-27,-0.8488261620266914,-1.2440877009366578,-0.3024358786966997,-0.18865674121121043,0.1169691988470722,-0.1042368241493782,-0.39909895508550514,1.2748005159737437,-0.47493328225297365,0.1546383182172875,-1.860285706390138,-0.4412011402320541,1.972104691733177,0.8451623154180262,0.6352747692761697,-2.2154279326430064,-0.9197805081721021,-0.22878374618302347,0.6922728222017722,0.713825248351273,-1.4062693416379068,1.1445090050744395,-0.14529561751104386,1.3791881085238455,-0.19895192000500303,1.0952848855141986,-0.9455819282982809,1.029711844024224,-0.1819900769183017,-0.7926493141341786,1.603509372922462,-0.10505466715007435,-0.16075043040443726,-0.22182985895364457,0.09989810103935001,0.9086193727824384,0.4368705647685653,-0.23596898559068344,0.5641864684933362,0.27435528386265057,444.4880065917969,-0.0357416175035577,0.0428178955175504,0,0
2005-10-28,-0.7260432655342517,-1.2440877009366578,-0.32253585808375523,-0.16459178495314888,0.9058779038518979,1.7113646635389008,-0.3740845191052834,1.3888819939827903,-0.47223381071398646,-1.5358144838203962,-2.6965225019469967,-0.43650661309281835,2.4292653264876907,1.10611030262089,0.77200020458745,-2.2154279326430064,-1.833677359618965,0.05685505530410862,0.6922728222017722,1.422284883755585,-1.8660402968237397,-1.2617296316086366,1.589667844784245,0.5758189351865763,-0.2620665440506462,1.0952848855141986,-0.9455819282982809,0.897750052270087,-0.6112695158883756,-1.1668205243194003,1.6538637762847817,-0.14380465303020903,-0.23756291306326177,1.2112055769095431,0.18215925516911002,3.241338240201271,1.8925613578328,2.0942333414280463,1.30286308494019,0.0581567643023488,475.02001953125,0.0664338767338749,0.1079837006355138,1,2
2005-10-31,-0.0011653171308523148,-1.2440877009366578,0.5459893643288534,-0.05137462332177366,3.2410682628986223,-0.4815881656542163,-0.39045496713379646,1.7311264280099306,-0.4721649774735582,-0.6905880828015545,0.6371141170023279,-0.43646543009154676,0.11965872127482342,1.0935943482492578,1.3612989593882876,-2.2154279326430064,0.06513570468036467,0.06531924432844251,0.6922728222017722,-1.411553657861663,-0.45818859967223274,-0.8333746404154493,-0.48981994848625704,2.4063413869493244,-0.13133938906900758,1.1611757160382978,-0.9450430153752551,1.745233637099294,0.13103322220423652,-0.3916574405264667,1.662966593574311,-0.13974797080062315,-0.1756732390976387,-0.8553727207341101,1.981422967080565,0.4876032776416749,1.6845868293893675,1.1403963461565765,-1.094627066264276,0.44645707820812647,468.9654541015625,-0.0128278424268001,0.0466024821484679,0,0
