Date,high_low_range,vma_5,volume_ratio_20,obv,High,volume_lag_1,return_lag_3,vma_20,rolling_vol_20,rolling_vol_10,momentum_5,macd_signal,volume_momentum,volume_lag_10,roc_10,dist_sma_200,volume_ratio_10,volume_lag_20,return_lag_1,price_diff,volume_change_ratio,bb_pct,momentum_20,rsi,rolling_var_5,volume_lag_3,month_sin,volume_change,roc_5,volume_lag_5,rolling_vol_5,vma_10,volume_ratio_5,macd,dist_sma_10,dist_sma_50,dist_sma_20,dist_sma_5,log_return,bb_width,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,1.137156558731574,3.03798166430313,0.8134500827906959,-1.0272630170256773,-1.432220925570587,0.8755045975190431,-1.3387471311564436,2.2836215424203177,0.0740335262742911,0.197652345399404,-0.367990240510219,0.2744816446063184,1.1229127856175296,-0.28978314566818825,-0.23480879085563416,0.6344062810696538,0.2786590010916985,-0.4958398032975163,-0.10489878347803706,-0.5181466770187446,0.9355195194729946,-0.2715857405915764,0.023522377124914614,0.16075532584810392,-0.40601610563283164,3.595782841010231,-1.2439814894983876,1.836836154432983,-0.9322033338654263,1.4632478050643565,0.2796778324357956,3.0520709883252284,0.13902515544468222,0.20493699332594123,-1.0735437958598815,0.494904948953962,-0.20306878910209833,-1.4933419732689268,-1.4058411235882242,0.13148469998819434,98.42366790771484,-0.010667297255833,-0.0036622871228316,0,0
2005-10-19,-0.25581099718718225,2.753644158257904,0.5482880146514598,-1.1028348765804128,-1.467701556716112,2.5740767434198237,-0.4976134003906852,2.4432137442447006,0.023110860507903393,-0.12456087160639556,-0.6761628054048607,0.2482711646209358,0.7561072478622535,1.8040968408374112,-0.9462993680601007,0.5378576568680398,0.08034288283971612,0.45206767341899545,-1.4028760236705078,-0.24516244312233992,-0.3154381649117015,-0.5422130364629042,-0.1266642625625152,0.031138414671905673,-0.41717270571475806,1.3582411238439516,-1.2439814894983876,-0.28305075297077914,-1.764070389753501,3.366767717181886,-0.6460878859116136,3.121354957022171,0.09900249317842814,0.13326418085089886,-1.2806069741012351,0.30185783279185324,-0.45742145786408295,-1.3562474955818855,-0.6447199076958525,0.12725674225997563,99.795654296875,0.0138433355963272,0.0025726945941426,1,2
2005-10-20,0.5222306831694962,2.257362121540613,0.13145411630209874,-1.0389184287130808,-1.4492277119946728,2.2864839069150893,-0.10380730679346002,2.538289062897041,-0.002765158766937787,-0.03321018043443433,-0.3408032788818438,0.2191423512283402,0.2828782878814682,2.2469262652994813,-0.7823970007862557,0.6448642316034763,-0.2382713960265395,0.5929008117077731,-0.6445393590928944,0.2456030089846505,-0.4563014375534324,-0.23780612659439027,0.016819828057621406,-0.08389117619671037,-0.4339572968499614,0.8755263015751183,-1.2439814894983876,-0.6148426888733984,-0.8552847814520596,3.5842944102902035,-0.24332718463909322,3.0370072707778766,-0.05966414495858309,0.09469108712331131,-0.6872312177014414,0.4811995692239639,-0.16934373139002257,-0.32699645324272,0.7654741609738415,0.06391779831885754,100.36957550048828,0.0057344902203735,-0.0289140214964224,1,1
2005-10-21,-0.33463767725188204,2.1007385871391024,-0.46703667257915843,-0.9931654393969463,-1.4503144087429927,1.6880284851315057,-1.4068262714511173,2.6009381339101547,-0.09464836017543123,-0.03598713590624515,-0.21479562024971002,0.19063738003574474,0.11668524966249086,2.521507612628427,-0.4683113083254746,0.6834748424806899,-0.7189587190583532,0.03542924734157066,0.7604955343153734,0.08426028049071647,-0.6710745088513005,-0.1612656377022436,0.13680565589335922,0.06931436517628717,-0.4474564837554003,2.570768862824336,-1.2439814894983876,-0.971500903573716,-0.5026917228483362,1.3528709843126512,-0.1601949231707736,2.774750601804225,-0.7273501747884897,0.07010240970936372,-0.4247030602225246,0.5328138949481649,-0.10150224895258118,0.14613431233027965,0.29894007668879313,-0.11336188003276192,98.722412109375,-0.0165471347646626,-0.0554826093881422,0,0
2005-10-24,0.43281655183810436,1.820651265072164,-1.0478249142259752,-1.0202295661304246,-1.4493363993566264,0.7554127577905855,-0.6455440047502478,2.5337970921412216,-0.03929188183379934,-0.013036090891935786,-0.3512332943501888,0.15771484484922876,-0.06859486824332987,1.1114110321728208,-0.5117442297998293,0.5358725355900125,-1.2811589902620544,0.5616969883066024,0.29566825844749994,-0.3647705195227731,-0.876513426190846,-0.7908444509747219,0.08427843453713021,-0.40999840350944805,-0.463235900363177,2.2837397731681746,-1.2439814894983876,-1.0002944368377171,-0.8922872243342826,0.8714760882025561,-0.05713559158364154,2.579989297930935,-1.4324964645578893,0.02227354240946578,-0.9181347393826326,0.2510367986288066,-0.546368622675787,-0.38888467361171275,-0.9830103153612063,-0.3544576760460707,99.11554718017578,0.0039743190809631,0.0042324590736994,1,1
2005-10-25,-0.3061649302420619,1.2732832439018895,-0.6406503948483021,-0.9801506333029537,-1.455222673410026,-0.20418021408585918,0.7649484564621261,2.5754874752831727,-0.266505329033842,-0.17786729001938162,-0.09989280401946957,0.12422165694168517,-0.5338689448405479,1.4603847089903441,-0.7847141607450913,0.5599043240525975,-0.8089311202335445,-0.015198267119302857,-0.9815921360369311,0.04771122601486218,0.593416090099778,-0.7045188953097057,-0.0613340796808437,-0.8811401109465649,-0.4631656651057282,1.6864574590396437,-1.2439814894983876,0.7371506225347807,-0.17781161896860426,2.562083210681773,-0.3728840181957219,2.4319259301439002,-0.5509151211652541,-0.011547796434404269,-0.6572475446445424,0.28266432660372237,-0.47222891578467474,-0.14271800467395662,0.19767043931909298,-0.4066206178785394,98.67720794677734,-0.0044323155388587,0.0255308109956352,0,1
2005-10-26,0.7849684163787449,0.6912230877630986,-0.8898619996614164,-1.0120239229436656,-1.460203366839826,0.46407428256393307,0.2983156550609378,2.5136800946056224,-0.26458460100248515,-0.5159190256342505,-0.044469987325907595,0.08994475233757977,-0.9767197887809329,3.36197431604467,-1.2637221937731635,0.5132948891454732,-0.9654902183524757,0.7463914607287653,0.19476911462862306,-0.1203857356639877,-0.5397799738355252,-0.9160827705663334,-0.06625608201765162,-1.0415039100482433,-0.4646938422587893,0.7556698689486216,-1.2439814894983876,-0.42578623302423274,-0.015231494188038725,2.2758389678674282,-0.46856258800442896,1.9403679596570178,-0.631254882420507,-0.046915733410774686,-0.5864814330553155,0.182907600430304,-0.5933766389746864,-0.40121422361350423,-0.2859966430386436,-0.4675544137406973,96.95147705078124,-0.0176433804942377,0.0299631265344938,0,0
2005-10-27,0.588742683416223,0.5322287383347417,-0.24614887140521594,-1.0640037597560175,-1.4673393244666721,0.042749683652962465,-0.9839059935810244,2.5234769090328553,-0.20098534840968954,-0.5873272086111126,-0.3226384450584247,0.05064211757766063,-1.1101486375639007,3.579280421559227,-1.1756810370442559,0.359297160827558,-0.014438603957648698,0.9561910917726139,-0.28712847847830403,-0.38065430425405333,0.8412355402171476,-1.5509151534626204,-0.13554586861462214,-1.1056301886175182,-0.449404205817947,-0.20204208419181083,-1.2439814894983876,1.1257968269654703,-0.825993761634468,1.6801898510516802,-0.5193536104698441,1.5685914134579346,0.8445196655902271,-0.10307591671019925,-0.9868874764074266,-0.11126686236041257,-1.0016721712826178,-1.0183527360928695,-1.0460816866707823,-0.4711631600194485,94.95247650146484,-0.0208340976713463,0.0674547850931831,0,0
2005-10-28,0.09601417845803252,0.4273231418630413,-0.6664013614536535,-1.1018808886590268,-1.4894354916825112,1.0751346813635025,0.19702458936072467,2.3838784548555876,-0.23043926535642417,-0.4869949711677416,-0.553681374414319,0.0031105838764742015,-1.1406785655594134,1.3501198182135241,-1.3960250886718233,0.1825214955128603,-0.539995475323096,1.9402278475248056,-1.0444327616173952,-0.43590050754642384,-0.6498131280267121,-1.9353790233130588,-0.33471102134232605,-1.1715381865915468,-0.42516121313807315,0.46490248286755864,-1.2439814894983876,-0.7489610072609831,-1.4905365006180977,0.7519473887083736,-0.5738700666484733,1.420210670519216,0.0017565969456202232,-0.17912815639714783,-1.4486505375322445,-0.432361215338053,-1.427934426199888,-1.521283205180996,-1.2296563199779147,-0.26531421772303954,99.1411361694336,0.0431679336971792,0.0903526045968646,1,2
2005-10-31,1.7502050387156143,0.6508737158245681,-0.46690320018691117,-1.0580335475403182,-1.4640792342217122,0.35102109048127916,-0.2867448354006014,2.3742609734495477,0.12611397904750166,0.35796476787349346,-0.029636811754102238,-0.03379811437522908,-0.949806537638566,0.8692130908898158,-0.6152554104250143,0.5226394028704485,-0.2656510883712332,0.762432061624724,-1.2273357896981085,0.815042398534668,0.05912220377548995,-0.6192100918045753,-0.11431445163705777,-0.7411775869672712,-0.4211575966194662,0.04440377523312026,-1.2439814894983876,0.3510882095705186,0.02821876816003581,-0.20314581522202893,0.9351181628136688,1.3881340729363363,0.16943487725937406,-0.17385049704644703,0.12347984145317822,0.18555160133431428,-0.4426327389204466,0.6849145163138761,2.4526347723449784,-0.2762948326944754,101.67862701416016,0.0252726710028987,0.0339918874975572,1,2
