Date,rolling_vol_20,high_low_range,volume_lag_10,roc_10,day_of_week,return_lag_3,volume_lag_3,atr,sma_200,volume_ratio_20,month_sin,volume_ratio_10,dist_ema_10,return_lag_20,dist_sma_10,bb_upper,volume_lag_1,dist_sma_200,rolling_vol_5,dist_ema_20,rolling_var_10,macd,roc_20,bb_width,price_diff_pct,return_lag_10,log_return,dist_sma_100,atr_pct,roc_5,price_diff,rolling_var_5,vma_5,volume_change_ratio,volume_change,obv,open_close_diff,volume_momentum,rolling_var_20,momentum_20,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-19,-0.09894003888891816,-0.449272233108096,-0.5529093102355599,-0.5158276525468191,0.0049786485482294345,-1.323493653126158,-0.5454102990999832,0.9821674829451226,0.7438642488581825,-0.132706769442663,-1.2438053865127499,-0.2200367336774352,-0.05010679577285519,-0.500821216080432,-0.18075655084896897,1.2063424127988407,-0.5314893276548269,0.9493273117906549,0.9754654048206414,0.22165332754327885,-0.12307906712226037,1.5321457199597444,0.20087260388222836,-0.23535838146973606,-0.9330919852813768,0.8920472592270258,-0.9312121815323177,0.7271553280216004,-0.23971058997585834,-0.2614868240969565,-1.785642021993392,0.3141263928458801,-0.627209175293963,-0.3927826013642995,-0.028124411088683698,-1.4032511774089476,-0.841465668276005,0.6525715297797031,0.08459466669749315,0.610459629150685,1683.4049072265625,-0.0085044257963394,0.0169362984416698,0,1
2005-10-20,-0.0936778509448916,0.5454370714047244,-0.5868206876972921,-0.45339510878674605,0.7137390558741801,2.3122540850134468,-0.44303175244961446,1.0975740413841795,0.7472400185688786,0.29661584040215294,-1.2438053865127499,0.2665387129067407,-0.18664805995698444,-0.030575396772973065,-0.2903944523098642,1.2070312572967155,-0.5635603505941268,0.9030149359557568,0.983711086229344,0.1135075084331643,-0.1448068016594015,1.3882847069056654,0.14320791356699317,-0.2503386998869293,-0.4122652428779508,-0.6621056844573037,-0.4026220730749781,0.6674665419919766,-0.11965915115911954,-0.3121424659171062,-0.7340923552678876,0.37689119213641553,-0.6210087155249842,0.06625886513206466,0.07775391391459034,-1.404026147507772,-0.4234670871924314,0.5964081294892344,0.06826171394738052,0.49451480202810255,1698.9556884765625,0.0091952885461894,-0.0040461857142269,1,1
2005-10-21,-0.12142446536627644,-0.5020341313741256,-0.5135798524946349,-0.013179070387754599,1.4224994632001307,-0.4082031133467258,-0.532766880064068,1.0570672133231545,0.7507825766996408,0.41467873017259005,-1.2438053865127499,0.47480727479368096,0.00657755471509323,-0.9958739260177277,-0.10793887116347593,1.2049621595129791,-0.5214700591745202,0.9322708314623622,0.7069219317989153,0.2020981968838491,-0.15047143767437174,1.298063125374494,0.3563597841268172,-0.2965036737484212,0.367850533483151,-1.394548219080988,0.3774485430610976,0.6962538772006222,-0.1716075455535874,0.35001124044795473,0.7801777052911908,0.06703196023934739,-0.6118929518646258,-0.1556970419012944,0.04152534563695491,-1.4031422544462389,-0.27377996554385575,0.6329721617243191,0.01812078866564999,0.9034678989225321,1758.029296875,0.0341797026072783,-0.0451283598366564,1,2
2005-10-24,-0.08395792540272946,0.038916465839381,-0.5568277432946188,0.3261047998112188,-1.4125421661036717,-0.927599239541885,-0.5652041161674457,1.0463673184806395,0.754921010772417,0.053936603137330424,-1.2438053865127499,0.07092826780109689,0.6041889510722067,-0.3507206360718638,0.5565863680384161,1.2071572867187899,-0.504755672036812,1.069635142607299,0.09588652422886036,0.5507669436856026,-0.08278190489132195,1.3570525346301865,0.6510381494520554,-0.34088618343063676,1.4928086139796575,0.1569122049335287,1.4785740693416494,0.8513312388393424,-0.23288328643367867,0.015617207303725782,2.9822902349506673,0.16484213788738827,-0.633007149077938,-0.348358206565705,-0.023579129459755266,-1.4024466119953256,0.9827022499125573,0.17040958194465816,-0.025853237979184936,1.4725357027847057,1753.7752685546875,-0.0024227033832906,-0.051542139689112,0,1
2005-10-25,-0.08228134559078469,-0.559596630546489,-0.6138627133764767,0.2787087966543076,-0.7037817587777212,-0.40288949503774907,-0.5226332033835968,0.9850335387015221,0.7591295515857819,-0.3282590730192832,-1.2438053865127499,-0.41332990228674804,0.45007444172916244,0.4034383071617479,0.4310089767392056,1.2075268922252558,-0.533643002187977,1.046462519482583,0.05393284950958778,0.47288039358551937,-0.04263488308103348,1.3778088569588836,0.5625559572582521,-0.3886622100529716,-0.14576869801636322,0.043472904285066616,-0.13458537722185465,0.8199280965533579,-0.28412835813443194,0.12195856234734968,-0.2218808042252525,0.3024100559132802,-0.641666036755319,-0.41155681453331855,-0.03246916558692411,-1.402913424692649,-0.08257022795523794,0.002637033464087087,-0.07089233395137856,1.3124269023287864,1726.7813720703125,-0.015511563532168,-0.0226168727877866,0,0
2005-10-26,-0.07207372984999134,-0.682708127863214,-0.6078641244959421,-0.016605803767351324,0.0049786485482294345,0.37145464636605846,-0.505727957706362,0.9644937056875411,0.7630369389239692,-0.6625935753305353,-1.2438053865127499,-0.8131019630093815,0.09709466947892223,0.7198160693524478,0.07849108124543265,1.2055564857506111,-0.568757260880641,0.9671505289775264,-0.04707785481097412,0.2635332178255109,-0.039374471546872444,1.3129085534116636,0.33306534322837195,-0.4321235849570638,-0.717310061427119,0.43378806712301193,-0.7114441334290443,0.7232968338682667,-0.2804691032528417,0.20792210405980122,-1.372443667159225,0.23864928353473203,-0.6504010704298628,-0.47877278135111534,-0.02859230772695574,-1.4031691038039933,-0.5487361597282698,-0.10206497693085932,-0.1095933007900613,0.8742887460889401,1676.6072998046875,-0.0294869099522362,-0.0071053092556186,0,0
2005-10-27,-0.026263792705537012,0.3071274347437339,-0.5519417958999897,-0.281608952963497,0.7137390558741801,1.4644968435570793,-0.5349451470140759,0.9914345831496522,0.7666528112789589,0.21199215478312883,-1.2438053865127499,0.17512699812389734,-0.42660140569075566,-0.23603002367929762,-0.5140782590749882,1.197924362960657,-0.6011560169010723,0.8309571093421021,0.3319605581713783,-0.06779889328093823,-0.0021677232868857633,1.1250986070635893,0.1628368332168495,-0.49316789331835315,-1.3193591973341088,-0.2727819296900614,-1.32737255360829,0.5612654848522443,-0.2124607123759022,-0.15092409508857152,-2.545284653649055,0.3108337099324618,-0.6494438064655293,0.9317713899433665,0.137310471728932,-1.4039709232605722,-1.3269341498706972,-0.14298145337143195,-0.15987962776061398,0.5303988302015816,1623.9888916015625,-0.03188688557624,0.0303361304771034,0,0
2005-10-28,0.01961277048401898,0.31743037686572034,-0.5476363571067028,-0.3071035843702212,1.4224994632001307,-0.13682044843890265,-0.5704603690250734,1.0360497043497736,0.769916415308688,-0.14928271713999314,-1.2438053865127499,-0.24259715458845615,-0.8884421642249238,0.33431799572102794,-1.1359732551997688,1.1983717376257184,-0.5173499861545809,0.6902477512444363,0.5329814322595906,-0.3843777476376231,0.12307619794106114,0.8371701735604742,-0.10371528830385124,-0.490032645234059,-1.421904766549091,-1.3314011464309299,-1.4331454733005478,0.39542748619589047,-0.12082795141546034,-0.8320858723053056,-2.6689600476281186,1.2964450369997278,-0.6606590240476647,-0.39030701954759545,-0.03327127410967618,-1.4045402516875038,-1.60916019728311,-0.30705424015726945,-0.15744115222946475,-0.0019915040653027106,1669.7122802734375,0.0277659227548227,0.0914182127833108,1,2
2005-10-31,0.03768290835371109,0.026078402358003325,-0.443048057431574,-0.5842387070730537,-1.4125421661036717,-0.7094445020138221,-0.603229080533887,1.1029243386657588,0.7735766864119659,-0.7877970957128112,-1.2438053865127499,-0.9239071205852825,-0.2601402099008416,0.7971169641958591,-0.46384267354223957,1.1973449379561425,-0.5530260729863276,0.794546174378994,0.33471200068706336,-0.062323306370453774,0.1116624307039842,0.7139505405799316,-0.044911169849382857,-0.49945742184206066,1.2013323255941544,2.3250847464456386,1.1959027728199578,0.5151619196742387,-0.10158383797106202,-0.9359265440024941,2.3068128347049477,0.9759626194353725,-0.6794453293477113,-0.6157530482504121,-0.07010142377937567,-1.4043715278825235,0.8747330508639316,-0.5176011835492192,-0.1646648115237642,0.11829264041129857,1714.5555419921875,0.0265025635180347,0.0759158789776154,1,2
2005-11-02,-0.01155052824594098,-0.38963944623892804,-0.5347200407268418,-0.20500155018391125,0.0049786485482294345,-1.320851410342624,-0.518466084000973,1.1197386257327206,0.7773532143966412,-0.026610527043204966,-0.7221341886971367,0.014249571800082753,0.24633941084246333,1.8498807745894643,0.12664285339039347,1.1959250214452857,-0.6138364780001672,0.8958241969861499,0.7415484077526896,0.22357427821193157,0.08953437284724843,0.719033737147383,-0.1499559708448778,-0.5027204091144993,1.1441386172397683,-0.410889827265704,1.1402233760132852,0.6292437597848924,-0.12830670401156324,-0.4623027444449879,2.2622812930255107,0.5172570441660479,-0.6753769574992935,1.0990751998701132,0.10796666827158521,-1.4037906054147435,0.7026939351799688,-0.4057121180776666,-0.1673128199981498,-0.10215905368496755,1714.5555419921875,0.0,0.0272903744231791,0,1
