Date,Adj Close,Close,High,Low,Open,Volume
2005-01-03,301.5299072265625,338.1499938964844,348.0,335.0,344.0,73470
2005-01-04,305.94384765625,343.1000061035156,359.8999938964844,339.5,342.8999938964844,240543
2005-01-05,297.3834533691406,333.5,355.0,323.8500061035156,345.0,230742
2005-01-06,301.6190490722656,338.25,341.95001220703125,326.0,337.0,121746
2005-01-07,297.5172424316406,333.6499938964844,350.0,331.54998779296875,350.0,76718
2005-01-10,302.9120178222656,339.70001220703125,351.3999938964844,334.20001220703125,338.8999938964844,238665
2005-01-11,289.4919128417969,324.6499938964844,343.0,318.5,343.0,161462
2005-01-12,285.43463134765625,320.1000061035156,334.95001220703125,318.1000061035156,325.0,79473
2005-01-13,284.1862487792969,318.70001220703125,330.0,316.04998779296875,330.0,157844
2005-01-14,292.61285400390625,328.1499938964844,333.0,320.0,328.0,453968
2005-01-17,289.5810852050781,324.75,337.70001220703125,322.6000061035156,329.5,426020
2005-01-18,288.5110168457031,323.54998779296875,328.95001220703125,320.6499938964844,327.0,109156
2005-01-19,288.4664001464844,323.5,327.95001220703125,321.54998779296875,327.95001220703125,71306
2005-01-20,297.3388977050781,333.45001220703125,338.8500061035156,325.0,325.0,448669
2005-01-24,292.9248962402344,328.5,339.79998779296875,323.04998779296875,335.0,215699
2005-01-25,286.6385192871094,321.45001220703125,334.0,300.1499938964844,330.0,158479
2005-01-27,289.8485107421875,325.04998779296875,328.0,308.0,313.0,222826
2005-01-28,313.4342041015625,351.5,361.0,325.0,325.5,569873
2005-01-31,306.5234069824219,343.75,354.3999938964844,340.3999938964844,351.5,140961
2005-02-01,322.1282653808594,361.25,366.8999938964844,337.3500061035156,345.0,269465
2005-02-02,313.83544921875,351.95001220703125,362.25,348.3999938964844,360.0,157466
2005-02-03,338.2680969238281,379.3500061035156,382.0,356.3500061035156,359.3999938964844,399811
2005-02-04,341.29998779296875,382.75,391.8999938964844,374.0,383.0,225957
2005-02-07,332.20458984375,372.54998779296875,390.0,370.0,385.8999938964844,104917
2005-02-08,331.4466247558594,371.70001220703125,383.0,350.1000061035156,350.1000061035156,141700
2005-02-09,330.554931640625,370.70001220703125,382.79998779296875,370.0,375.0,196371
2005-02-10,333.58673095703125,374.1000061035156,382.5,372.6000061035156,374.70001220703125,87114
2005-02-11,332.56121826171875,372.95001220703125,380.0,369.0,379.6000061035156,68198
2005-02-14,334.25543212890625,374.8500061035156,390.0,372.0,379.8999938964844,173535
2005-02-15,336.5292663574219,377.3999938964844,380.0,369.0,375.0,162469
2005-02-16,331.4911804199219,371.75,381.1000061035156,370.0,379.70001220703125,122367
2005-02-17,328.19189453125,368.04998779296875,372.0,361.5,370.1499938964844,120041
2005-02-18,327.6122741699219,367.3999938964844,373.95001220703125,364.0,371.0,145325
2005-02-21,320.6124267578125,359.54998779296875,371.29998779296875,334.29998779296875,334.29998779296875,38600
2005-02-22,320.9244384765625,359.8999938964844,365.95001220703125,354.5,360.0,97456
2005-02-23,323.55499267578125,362.8500061035156,369.0,357.20001220703125,360.0,65031
2005-02-24,322.3511657714844,361.5,367.95001220703125,361.0,365.0,37721
2005-02-25,325.07098388671875,364.54998779296875,372.0,361.0,366.0,245585
