Date,volume_ratio_5,volume_change_ratio,dist_sma_5,return_lag_3,momentum_10,price_diff,vma_5,bb_width,momentum_20,week,rolling_vol_10,macd_hist,vma_10,day_of_week,momentum_5,return_lag_20,sma_200,volume_change,vma_20,dist_sma_100,month_cos,volume_lag_3,rolling_vol_20,rolling_vol_5,day_of_week_sin,dist_sma_50,dist_sma_10,Volume,rolling_var_20,rsi,roc_10,open_close_diff,High,dist_sma_200,roc_20,volume_momentum,dist_sma_20,atr_pct,return_lag_5,volume_lag_1,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2007-06-19,0.23194667923688753,-0.1743529667615753,-0.9837958599281258,-0.12052195190062387,-0.7711429400913459,-0.7048068781990147,-1.0111799037534235,-0.8085409628024517,-0.4084963965742834,-0.11135870314263549,-1.1812592689766794,-0.5942816351843868,-0.8288409843215605,-0.7024246365801826,-0.8928575971416868,-0.07780519188687064,-0.4395430167109426,0.02239391315483183,-0.7562137385758828,-0.46461647062275935,-1.3786457666729177,-0.8202547355136449,-0.5172302000371973,-1.0579995979495975,0.8305857570178427,-0.5128330709527061,-0.9908997519149498,-0.800830613520344,-0.6162396720899541,-1.488033073417609,-0.7752494628217421,-0.7527073692638547,-0.18508047305469713,0.3438988361603384,-0.3959416381785165,-1.5308197737600464,-0.7449005476624212,-0.679434078458055,-0.05965000756409989,-0.8152506047874638,241.3809509277344,0.015547818370266,-0.0142734996914713,1,2
2007-06-20,0.6387485239099681,0.09013399014687061,-0.19094461728243559,-0.21351505003047166,-0.5721387466167631,0.6292127799086824,-0.9843979237645856,-0.7873356136165826,-0.19833074250571767,-0.11135870314263549,-1.015257131067007,-0.5594158096749298,-0.9608479307830627,0.00670005037968791,-0.4790000546570303,-0.35626867170329035,-0.4347234841158767,0.09574303535786435,-0.7548113450712789,-0.3667519452083636,-1.3786457666729177,-0.858085831385923,-0.4809536315238533,-0.550673624708675,1.2070263500724963,-0.3740475517796192,-0.49185703087949134,-0.7275267976564617,-0.6096082359308655,-0.895795952799975,-0.5725448849245234,0.48831478756225516,-0.16923804556552902,0.3970844469253182,-0.186528132459694,-1.4227665096939852,-0.47564470818252313,-0.6521103132912257,-0.29886756873998976,-0.8023278623168504,241.5796661376953,0.0008229044528807,-0.0330765672166714,1,1
2007-06-21,1.0511576081324312,0.14525066087664465,-0.006029533284775128,-0.7003603186060086,-0.5966015624183986,0.0019824527080375813,-0.9355271844218228,-0.762362755867412,-0.23785334669614508,-0.11135870314263549,-1.0250977585235979,-0.4986130882549862,-0.9775895495091057,0.7158247373395584,-0.418470975860543,0.2190362020228259,-0.4298179997589906,0.14038857558018436,-0.773971040813993,-0.3515141609728958,-1.3786457666729177,-0.8127531217724915,-0.485555607477421,-0.5347070503550653,0.15226324710391012,-0.3738894439224459,-0.3713520998233174,-0.6174697389721719,-0.6015572460494392,-1.2895563083221486,-0.5960908776623703,-0.12169761807393534,-0.1459064705360269,0.3847413548829362,-0.225692806381299,-1.184269741287634,-0.4505009200003063,-0.6308240058633572,-0.12003462614355476,-0.7290148390834511,237.9218139648437,-0.0152571922347914,-0.0403343406081482,0,0
2007-06-22,-0.49431847545800767,-0.7750271084500663,-0.38020845300665423,-0.7363081336354933,-0.6935682376731702,-0.6842058093987079,-0.9276073469828297,-0.8134880158759169,-0.8815345355934951,-0.11135870314263549,-0.9668505117690287,-0.5513330838178034,-1.0413516723863594,1.4249494242994292,-0.622159539017356,2.4187142974602036,-0.424970643445947,-0.24658494763316002,-0.9065962425032543,-0.4248583526849886,-1.3786457666729177,-0.7998080388082424,-1.0273541546544673,-0.45509441043616367,-1.5394454221063165,-0.5203176466882199,-0.6561024341955777,-0.8259782479326028,-0.6187728682510014,-1.6394636182134859,-0.6991470118563274,-0.6718486739124369,-0.18508047305469713,0.30195771258661946,-0.8308552511417037,-0.8199381943642993,-0.6390295449490188,-0.5967815097667626,-0.21302768173760536,-0.618943956616657,236.52328491210932,-0.005895447573108,-0.0299751276814347,0,1
2007-06-25,-0.43057350248835846,-0.1934208416928026,-0.4520017947455846,0.698230025237016,-0.754519667946884,-0.28221075746726443,-0.9285269018403058,-0.7436130299868754,-0.6127052903578152,-0.044170783868824025,-0.972226373868227,-0.5964597412376105,-1.0568151847273746,-1.4115493235400531,-0.44580606958547664,-1.5499186595732197,-0.420223377524786,0.016892673037202866,-0.9471431566948326,-0.444370822181918,-1.3786457666729177,-0.7263682739692836,-1.1054884343363183,-0.5269931953655815,-0.6935910875012034,-0.5769283357710819,-0.6813984168199518,-0.8175858767150895,-0.5968046145812967,-1.786216063619456,-0.7622579806056924,-0.20488506815749746,-0.2070870169285223,0.26135405652271104,-0.5915458291019763,-0.6932095033984641,-0.6930982314740295,-0.5982643127458676,-0.6998727276261687,-0.8274786554127299,234.28892517089844,-0.0094915827067187,-0.0023820037814955,0,1
2007-06-26,-0.1457685310046014,-0.01896807461483029,-0.7172547159265367,0.023393207831667713,-0.865334103582178,-0.4309277771924405,-0.9216278100624224,-0.6440388021141917,-0.5948245986196058,-0.044170783868824025,-0.9732391336211571,-0.6608345040144994,-1.0589292090324678,-0.7024246365801826,-0.32476710967046,-0.514754239361188,-0.4155661192158176,0.06199478485594121,-0.9650002571683867,-0.4846586554439341,-1.3786457666729177,-0.6161071038870849,-1.1054884343363183,-0.6177004416140701,0.8305857570178427,-0.6537517781531957,-0.7784997037048149,-0.7720644023635854,-0.5614349510622672,-1.9225313842911615,-0.876406199604995,-0.9828472507537478,-0.1989065915906984,0.20608659719244057,-0.579149976724601,-0.5900859664680517,-0.8084168777158225,-0.6218748975481592,-0.7358205262128313,-0.8190852300664239,233.52749633789065,-0.003255249154934,0.0083011931740368,0,1
2007-06-27,-0.13211199631166803,-0.2661592048422615,-0.5839707651038597,-0.7135510848929862,-0.8219382109073743,-0.16885329494493262,-0.9342077270434356,-0.5524240114084173,-0.5941982104859325,-0.044170783868824025,-0.9705322494859755,-0.6836979730614193,-1.0511418461481472,0.00670005037968791,-0.6774668494049739,-0.15923389108589334,-0.4109445429116604,-0.00291671519759532,-0.9682492441667273,-0.4905317849323781,-1.3786457666729177,-0.8250023119265992,-1.1054884343363183,-1.0656588240966982,1.2070263500724963,-0.6698799824018093,-0.7201404514069306,-0.7799795783790492,-0.5250505578187747,-2.0752045773334786,-0.8366712579860848,-0.24353510629728914,-0.2219501224840338,0.17803440603032328,-0.5800331334228117,-0.6495477804544536,-0.8195276999661517,-0.6403875828984023,0.6987169764902917,-0.7735580379629806,232.02960205078125,-0.006434868938596,-0.0055790107742187,0,1
2007-06-28,-0.22791381158478827,-0.4465804418821037,-0.5176986373849952,-0.28450613371042893,-0.8736529764182114,-0.2998905360686967,-0.9855843748901615,-0.46123906694233124,-0.6854802551956016,-0.044170783868824025,-0.9760474163256078,-0.7022293643672126,-1.0525159013726955,0.7158247373395584,-0.8108775129192242,0.155101314406383,-0.4064177404639124,-0.05611402046851591,-0.9722544800158762,-0.5116688582850896,-1.3786457666729177,-0.8165943762496913,-1.1054884343363183,-1.186381292536296,0.15226324710391012,-0.7216287210622515,-0.7339360171198761,-0.8316880082845399,-0.48543020758959365,-2.0596452871363566,-0.8918350001848365,-0.6775966294635768,-0.23231971138603477,0.13713168304088935,-0.6688796267344459,-0.929984699669368,-0.8750727147488866,-0.7096262661066116,0.02388046776077579,-0.781474208168849,230.8959045410156,-0.0048979793080778,-0.0048622278843527,0,1
2007-06-29,-0.16220008303790645,-0.19297191795723195,-0.4737274310644333,-0.4493155446272656,-0.8773462801090035,-0.2350900207648169,-0.9849688343248254,-0.38915023991876374,-0.8103258302810862,-0.044170783868824025,-0.9767819401312556,-0.7034813254793623,-1.0478357302005257,1.4249494242994292,-0.6123939202030579,0.3852625424413672,-0.40186649486923903,0.016751672985367786,-0.9924533819593044,-0.5240243297184602,-1.3786457666729177,-0.7709884779468674,-1.1054884343363183,-1.2423048772792467,-1.5394454221063165,-0.7554580353344553,-0.7058704759126249,-0.8234117115756333,-0.45233666330189637,-2.089665251871567,-0.8992070640157842,-0.612843231875115,-0.2426893002880357,0.10298916130845229,-0.7868171276368962,-0.8592359522534554,-0.8936433165857605,-0.726450612693887,-0.7130634878795828,-0.833189132942522,235.96055603027344,0.0216976763268312,0.0466355017665749,1,2
2007-07-02,1.160001459304166,0.8576279987109334,0.4207681565318805,-0.16350691376011264,-0.39158915222046375,0.8677649031569941,-0.9323995490151837,-0.39577815995257265,-0.6315241183405449,0.023017135404987444,-0.7337718417591637,-0.4871126606681807,-1.0195148310687054,-1.4115493235400531,-0.1041701916382294,0.04961047877034639,-0.3971312211721282,0.2800345792984346,-0.9877622126173919,-0.3912683094349196,-1.1902500644541847,-0.7789183334173386,-1.1054884343363183,-0.5562156685953317,-0.6935910875012034,-0.5487220681483476,-0.06964533547826243,-0.5983948280578107,-0.4570917057185826,-1.2622108994561596,-0.40015795638804585,0.9089274815283309,-0.20581965085869902,0.17992191813120167,-0.6101676944788228,-0.5643342463302014,-0.4829067078058366,-0.6805207124369301,-0.2840187329456653,-0.8249117966844304,236.2418975830078,0.0011916142488134,0.0556255118994824,1,1
