Date,High,return_lag_1,roc_5,high_low_range,return_lag_5,atr_pct,volume_ratio_20,return_lag_10,Volume,rolling_var_5,bb_pct,week,month_sin,rolling_var_20,volume_lag_10,volume_momentum,dist_sma_10,dist_sma_20,day_of_week_sin,rolling_vol_5,rolling_vol_10,day_of_month,open_close_diff,price_diff,return_lag_20,volume_lag_1,volume_ratio_5,dist_sma_200,macd_hist,obv,dist_sma_5,rsi,bb_width,rolling_vol_20,volume_ratio_10,trading_day_number,dist_sma_50,return_lag_3,volume_lag_5,momentum_5,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-1.1506561862328875,-0.5174330121881765,-1.4992503794243497,-0.04604549000643663,-0.63605743999237,-0.10899021605102036,-0.9942944870323459,0.33061558642771943,-1.0253347243238178,-0.5115879784209546,-1.7194876358640354,1.029542442872108,-1.2444247560277362,-0.5308471288350131,-1.0060036873613951,-0.53756605172447,-1.766640705078102,-1.6342659717681498,0.8316577295029646,-0.0441024309448451,-0.551436901627957,0.2478373573353837,-0.5259482998941718,-0.09540863753035876,0.09724816051157772,-1.0161144975369116,-1.0696439573299812,-1.0587913498120807,-0.3878750206470603,-1.9774529513536097,-1.445003821218136,-2.2301443129178,0.2055107207336511,-0.31597981845298845,-0.5399188574819005,-1.6978732520996913,-1.0200370877485445,-1.4333297705119277,-1.0684606180156189,-0.3439699945588218,18.464832305908203,-0.0423003932216424,-0.2016227384203225,0,0
2005-10-19,-1.1613406719752952,-0.43879170297023007,-2.277234957095072,0.14984235821327777,0.5073112893184829,0.08746558740490283,-0.4875884987628976,0.1124351483219538,-0.9739273962369702,-0.5271520935172398,-1.8889184397148264,1.029542442872108,-1.2444247560277362,-0.5254378977369654,-1.0176652530680455,-0.9124139841099337,-2.1851179888257617,-1.9820133223098721,1.2079349961165418,-0.5623710868136331,-0.5195172329147701,0.3618643099094779,-1.486618857553043,-0.29750759713285874,-0.6226731659390325,-1.0294805560166767,0.051844242414303625,-1.1633617692668474,-0.43515623152204597,-1.97913123239531,-1.7911011235094652,-2.351537204274869,0.3908116265560825,-0.23362959554315268,0.16636955104830048,-1.6978732520996913,-1.28316848002636,-1.6785884028010112,-0.8455819003953902,-0.5228028419253602,16.995784759521484,-0.0829026085481918,-0.1366817216689907,0,0
2005-10-20,-1.1622023106207853,-1.5348118025177582,-2.841345006157304,4.437981216632285,-1.442723848883766,0.7037806888750895,1.569007663181466,-0.29498217929029136,-0.7719355347884458,-0.4887224422363822,-1.9751251096562958,1.029542442872108,-1.2444247560277362,-0.5093241050453376,-1.0485454211033458,-0.03274876393065823,-3.186220416589701,-2.7419171494201273,0.15362952366646188,0.26370277139938464,0.058341428717702495,0.475891262483572,-2.8420406361649806,-0.5348623513714307,-1.2173303575881043,-0.9781026560106444,2.1229901355796716,-1.361363250381291,-0.5375464577540983,-1.9828239169978699,-3.097634405075934,-2.3560339577562273,0.8445232954254248,0.12867005878742233,2.319638329131583,-1.6978732520996913,-1.7777868465843738,-0.5179401767587954,-0.9911630262327418,-0.6251678727142557,16.731121063232422,-0.0156948360750872,-0.1000836121277803,0,0
2005-10-21,-1.191326161392641,-2.988109962248348,-2.447147533431952,-0.09827899746321554,-1.689276461789845,0.6169118538668689,0.14062125989747207,-1.0737314366890949,-0.9313994833622977,-0.4644635712008591,-1.830993357722168,1.029542442872108,-1.2444247560277362,-0.49078689688162547,-0.9908052907478903,0.04503231365247072,-3.020270747335461,-2.7864578561504505,-1.537345163180073,0.3553110172014068,0.07656183173921281,0.5899182150576662,-0.2811184685667328,-0.1089735392314737,-2.3448522297653236,-0.7762264246297382,0.15131885262786815,-1.3928326090658119,-0.5865656927514958,-1.9849263160140092,-2.6003633139380087,-2.3560339577562273,1.2867738797572879,-0.07467762570736475,0.23534256558637895,-1.6978732520996913,-1.847907242382835,-0.4392258011740469,-0.8826395614423127,-0.5172525408440052,16.297697067260742,-0.0262467082988306,-0.0789161527334553,0,0
2005-10-24,-1.1955769865477153,-0.5825039806730596,-2.608066170377981,0.38555447866291187,-0.5225046742907636,0.7193679284123546,-0.5462903185153115,-0.29227919170368954,-1.000270136074534,-0.4669388796812373,-1.6831890118319028,1.0954192514786762,-1.2444247560277362,-0.47144578104199236,-1.0095820861264566,0.19079811849324627,-3.0009470984382682,-2.9235959739131085,-0.6918578197568057,0.2551671385010068,0.017111245201195176,0.9319990727799486,-0.981748774722275,-0.1686497990570976,0.37170383244636046,-0.9355990882031746,-0.8236701281154604,-1.448308337870416,-0.6095877926554044,-1.9863418889022668,-2.320861118964906,-2.3560339577562273,1.7044768707198927,-0.11170997678960704,-0.610191883969268,-1.6978732520996913,-1.9729247754601373,-1.5362642231199743,-1.0107193905185825,-0.5431515949340694,15.74535846710205,-0.0344781922765701,-0.0130289270265908,0,0
2005-10-25,-1.198678916349593,-0.9601931378075765,-2.853657719476612,1.1114987379148629,-0.4433750029207661,0.978597161046965,0.6196519207744082,-0.6392982974503953,-0.8938097216100339,-0.5019614074046685,-1.6047144779575404,1.0954192514786762,-1.2444247560277362,-0.45220032847167807,-1.0669362292271345,0.7142244209105815,-3.0937293216190422,-3.1142502766608575,0.8316577295029646,0.04804379248544057,-0.0003263117956410963,1.0460260253540428,-2.2093251570229815,-0.21069984773484524,0.8785072231536138,-1.004430315969411,0.23947297834006082,-1.5200628660320505,-0.6217161444916804,-1.9880861951768531,-2.1296739958883584,-2.3560339577562273,2.1003618403390436,-0.22845022304217588,0.4201043043705303,-1.6978732520996913,-2.1370810833617173,-2.990912655594847,-1.024090381244049,-0.5955686690110329,16.10590934753418,0.022640623529689,0.0340071454353401,1,2
2005-10-26,-1.205227466472246,-1.254827320215803,-2.0515741762805293,0.3545482685476176,-1.5462013820156364,0.9991909553392484,0.1820393824792966,0.509218154667582,-0.9355508057910854,-0.5538358980262706,-1.3240037162584959,1.0954192514786762,-1.2444247560277362,-0.4417674535036768,-0.8438462848435004,0.8967710543882349,-2.1610089724199324,-2.7054593927613504,1.2079349961165418,0.8591401357237876,0.11611039658469288,1.160052977928137,0.8145247895555293,0.11211203360378462,0.48653199258228025,-0.8980308446777443,-0.34651791883074035,-1.4636078822226721,-0.5633186232139967,-1.9867581600728252,-0.5673931989744091,-2.3560339577562273,2.3355784746986314,-0.17347721084292045,0.06081949896537217,-1.6978732520996913,-1.9761204048852445,-0.5830716032815568,-0.972693522138979,-0.4093353690949431,15.37713623046875,-0.0463044990069813,0.0113665219056508,0,0
2005-10-27,-1.207467779541572,0.7896589037402322,-1.5489002314111033,0.5729047870785501,-2.924061668088014,1.181195211284995,-0.6752927708193494,-1.4495965137931761,-1.0144413599516504,-0.55241859920841,-1.373460213564591,1.0954192514786762,-1.2444247560277362,-0.42997532282371226,-0.9895653809202355,-0.024086510160738966,-2.455088624412508,-2.9998585473627295,0.15362952366646188,0.08673073467248314,0.1434804306624552,1.274079930502231,-1.7939382342900199,-0.2730898298155624,-0.005075868168049246,-0.939748034211003,-0.8818300765833254,-1.5609923843894065,-0.5359894114401916,-1.9880324076441367,-1.383424781162229,-2.3560339577562273,2.600209992582072,-0.13546383187386934,-0.8314424945232965,-1.6978732520996913,-2.2028757777263093,-0.9611116749006724,-0.7707427958592223,-0.2903206616478569,15.461520195007324,0.0054726233192377,0.0705385124410628,1,1
2005-10-28,-1.2097080706979597,-1.6781330356671855,-1.2496572575435523,0.09365852454724606,-0.5879797331770066,1.1918952798232598,0.4115035291857678,-1.6972591662482448,-0.9203292902188641,-0.5595334562135148,-1.2179648795066655,1.0954192514786762,-1.2444247560277362,-0.4242465347463404,-0.880939066201083,0.09121674697287875,-1.8990880638683698,-2.7461229445021393,-1.537345163180073,0.24957897707166898,0.24300657563035946,1.3881068830763252,-0.045446970283034155,0.014455128163941167,0.013204234247635975,-1.018593427541589,0.46590569054657577,-1.5446536168192737,-0.4734306308276708,-1.9858196089498739,-0.7214321694967022,-2.3560339577562273,2.76957051631686,-0.11762897601992893,0.31309555355431407,-1.6978732520996913,-2.1350621672856724,-1.2560196046493028,-0.930174269974005,-0.2342038979274377,16.086732864379883,0.0396405174080337,0.0611060383339835,1,2
2005-10-31,-1.206835898053783,0.17515491888528437,-0.27661751858156086,0.2744135988993906,-0.9680143381609915,1.0781171213889593,-0.573132150779299,-0.5252342897086412,-1.015317196416043,-0.5623941008217275,-0.9507461741450277,1.1612960600852447,-1.2444247560277362,-0.42444031897189416,-1.0091402791763726,0.25122358848890225,-0.755768889217552,-2.134847374493221,-0.6918578197568057,0.7792268127684892,0.7120940455902204,1.7301877407986077,1.4382500498067827,0.20570054768219587,-0.762317955331229,-0.924535232182299,-0.8867508573705065,-1.4512764871218882,-0.354458352636496,-1.9845540958299406,0.6288573868132042,-2.0079944506765615,2.8356184124842714,0.14543016736083314,-0.8112978467978593,-1.6978732520996913,-1.8757819478374123,0.7903661703422769,-0.9990308973393678,-0.06400575514649792,16.290021896362305,0.0125578801853608,0.0019056819069601,1,2
