Date,vma_20,rsi,dist_ema_10,volume_lag_20,week,month_sin,volume_ratio_5,roc_5,volume_momentum,month_cos,roc_20,dist_sma_50,price_diff,bb_pct,open_close_diff,roc_10,volume_lag_5,return_lag_1,macd_hist,pct_change_1d,vma_10,rolling_var_5,volume_lag_10,trading_day_number,dist_sma_100,Volume,dist_sma_20,rolling_vol_20,volume_lag_1,dist_sma_200,macd_signal,momentum_5,macd,return_lag_3,obv,rolling_vol_5,volume_change,volume_change_ratio,dist_ema_20,return_lag_20,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2010-01-11,-1.090967122161913,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.6012084302527982,0.6888453248065978,3.041247643586767,-2.668912037169035,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,-0.010602982422139702,-2.2362025205978413,2.8061747735304112,-2.775234763074331,-0.9204700865448817,-2.8161853537606927,-3.2543128943672497,0.06445427799451524,-1.070224071788273,6.558621613432275,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.9179427785858847,-3.1585236113171637,5.495408760526164,-0.9166427468615472,-4.172330602161353,-2.23928366031381,-3.542138665790224,-4.763709487728896,-0.04714310421159247,-1.3684702083717522,3.866851305245084,0.0024606744495693214,-0.10106765863889944,-4.526787330299081,-0.047435478724809126,102.90225219726562,0.001559683731606,0.0147768346003641,1,1
2010-01-12,-1.090967122161913,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.6012084302527982,0.6888453248065978,3.7271955810274604,-2.668912037169035,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,-0.013555567569175728,-2.022637816337481,-0.9537502521942509,-2.775234763074331,-0.9204700865448817,0.0733795600972808,-3.2543128943672497,0.05299052548300944,-1.070224071788273,6.558621613432275,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,0.2813214184195822,-3.1585236113171637,5.495408760526164,-0.9166427468615472,-4.172330602161353,-3.709552096213609,-3.542138665790224,-4.763709487728896,-0.04714310421159247,-1.3684702083717522,3.866851305245084,1.353796462317198,5.791385335709193,-4.526787330299081,-0.047435478724809126,102.34719848632812,-0.0054085900075567,0.0210525889999279,0,1
2010-01-13,-1.090967122161913,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.6012084302527982,0.6888453248065978,-1.5195333243735387,-2.668912037169035,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,-0.14233222543296065,-1.7312698759838594,-0.3274228095907738,-2.775234763074331,-0.9204700865448817,0.06194726790740901,-3.2543128943672497,-0.4372887411601558,-1.070224071788273,6.558621613432275,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.9179427785858847,-3.1585236113171637,5.495408760526164,0.281812338203119,-4.172330602161353,-5.192193480231855,-3.542138665790224,-4.763709487728896,-2.816394206455604,-1.3684702083717522,3.866851305245084,-1.3518248396121755,-0.8760832978065043,-4.526787330299081,-0.047435478724809126,105.58905029296876,0.0311837356529011,0.0211261508631498,1,2
2010-01-14,-0.829243694754539,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.6012084302527982,0.6888453248065978,3.7271955810274604,-2.668912037169035,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,0.5411129582653248,-1.5096290463797681,0.9270205449735767,-2.775234763074331,-0.9204700865448817,-0.4287318317820347,-3.2543128943672497,2.175862038365963,-0.32679401828750604,-0.41585505059772326,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,4.5742158642051445,-3.1585236113171637,5.495408760526164,-0.9166427468615472,-4.172330602161353,-5.192193480231855,-3.542138665790224,-4.763709487728896,0.07415754404278768,-1.298674449790275,3.866851305245084,4.170621639118154,5.791385335709193,-4.526787330299081,-0.047435478724809126,103.340087890625,-0.0215293021302049,-0.0164891611880147,0,0
2010-01-15,-0.8193752774161074,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.6012084302527982,0.6888453248065978,-1.5195333243735387,0.1087810668513276,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,-0.44723676714636973,-1.3637954242991177,-1.7101387513156978,-2.775234763074331,-0.9204700865448817,2.1479593377548594,-3.2543128943672497,-1.5585134548562454,-0.3078235695800007,-0.41757047252514445,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.8149231092864331,-3.1585236113171637,5.495408760526164,4.575910887841452,-4.172330602161353,-5.192193480231855,-0.03671739632531273,-4.763709487728896,0.06272134752643306,-1.3014332411512628,0.8499369204793656,-3.864003097731428,-0.8760832978065043,-4.526787330299081,-0.047435478724809126,104.27135467529295,0.0089713073536187,0.0061478442694006,1,1
2010-01-18,-0.8183163622976439,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.5344454242073529,0.6888453248065978,-1.5195333243735387,0.3406873708325893,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,0.12520632127323647,-1.2325804970403051,-0.9590911563450324,-2.775234763074331,-0.9204700865448817,-1.5638905248508561,-3.2543128943672497,0.5782263643561245,-0.30578797519323103,-0.41786142626973455,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.9179427785858847,-3.1585236113171637,5.495408760526164,-0.8147396725486733,-4.172330602161353,-5.192193480231855,0.02728719482052975,-4.763709487728896,-0.4281253276038457,-1.301137213350588,0.891558398651397,-0.14849708172957315,-0.8539498123751007,-4.526787330299081,-0.047435478724809126,105.0915756225586,0.0078354381311697,-0.0054959927701058,1,1
2010-01-19,-0.8174912959312761,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.5344454242073529,0.6888453248065978,-1.5195333243735387,0.5428127645232319,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,0.10521800647556825,-1.1230685713593445,-0.24956493517597447,-2.775234763074331,0.28285637880988934,0.5838453652291699,-3.2543128943672497,0.49747848614425444,-0.3042019175056914,-0.41665683971453477,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.9179427785858847,-3.1585236113171637,5.495408760526164,-0.9166427468615472,-4.172330602161353,-5.192193480231855,0.0832631393163199,-4.763709487728896,2.1494458267518515,-1.3009065597527805,0.9043193025787035,-0.005003938776356641,-0.4200753201696108,-4.526787330299081,-0.047435478724809126,104.53240203857422,-0.0053350281443346,0.0042159892365287,0,1
2010-01-20,-0.8167225931102852,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.5344454242073529,0.6888453248065978,-1.5195333243735387,0.5451895264630867,3.753746073166866,1.2441823065736044,-2.887809886017837,-6.833003372793389,-0.1430738049582608,-1.034136283291164,-0.16102583507596496,-2.775234763074331,-0.9204700865448817,0.5038618128747537,-3.2543128943672497,-0.4321308401924848,-0.30272420968924824,-0.42904410877263854,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.9179427785858847,-3.1585236113171637,5.495408760526164,-0.9166427468615472,-4.172330602161353,-5.192193480231855,0.08291364562901385,-4.763709487728896,-1.5636716970960753,-1.3011214564914355,0.9030350711586155,-0.0020341464176549134,-0.3215779208502385,-4.526787330299081,-0.047435478724809126,103.86225128173828,-0.0064315763982635,0.0172932433490336,0,1
2010-01-21,-0.8157260376590473,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.5344454242073529,0.6888453248065978,-1.0868380919958631,-0.6476201355259068,-1.7554988672944374,1.2441823065736044,-2.887809886017837,-6.833003372793389,-0.16304976009717917,-0.9557737335989572,-0.327428139577993,-2.775234763074331,4.573692897790717,-0.42355188762822843,-3.2543128943672497,-0.5089776617143942,-0.3008084917556066,-0.43264438397689986,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.9179427785858847,-3.1585236113171637,5.495408760526164,-0.9166427468615472,-4.172330602161353,-5.192193480231855,-0.24894614352084798,-4.763709487728896,0.584797682119325,-1.3014000511713457,-0.09216183142317637,0.0027215345891850136,-0.08604436206099825,-4.526787330299081,-0.047435478724809126,103.97736358642578,0.0011077033272103,0.0026880635258087,1,1
2010-01-22,-0.8149093658632675,-2.363842811179656,-3.0860914119765495,-0.941440180653816,-1.5344454242073529,0.6888453248065978,-0.1604410486809386,0.06483353175483511,-1.7554988672944374,1.2441823065736044,-2.887809886017837,-6.833003372793389,-0.021701955984136993,-0.8815287169534064,0.8254808090312458,0.12650666111590012,-0.812862631433118,-0.5007666082526389,-3.2543128943672497,0.021086017512417513,-0.30073241631419845,-0.4351330440774023,-0.9226193769197706,-1.6976227450813797,-5.532510976937616,-0.9179427785858847,-3.1585236113171637,5.495408760526164,-0.9166427468615472,-4.172330602161353,-5.192193480231855,-0.04839889921825253,-4.763709487728896,0.5047868139916185,-1.3011717443397948,-0.842926836056302,-0.004100961369994628,-0.39402920757593207,-4.526787330299081,-0.047435478724809126,103.6998519897461,-0.0026725296858877,0.001264561181604,0,1
