Date,bb_pct,volume_ratio_10,rolling_var_20,bb_upper,sma_200,return_lag_20,dist_sma_10,volume_lag_3,rolling_vol_5,dist_sma_5,macd,dist_sma_100,obv,high_low_range,day_of_month,vma_5,momentum_20,volume_lag_10,volume_ratio_5,vma_20,macd_hist,month_cos,High,dist_sma_50,month_sin,dist_sma_200,open_close_diff,volume_momentum,volume_change,atr,return_lag_5,volume_ratio_20,Volume,rolling_vol_10,rolling_vol_20,volume_lag_20,momentum_5,momentum_10,volume_lag_5,return_lag_1,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2011-08-23,0.32188832432399267,1.0179727801070133,-0.6450659458027007,0.21866034323117858,-0.3109484288312291,0.02872032142852682,0.32514111912136406,-0.3594565543613666,0.1515553582451043,-0.1621028966479555,0.44813084766584177,0.3595515265130487,-1.1862276439476107,0.5371485006509799,0.8217148472295995,-0.3646073575185797,0.9104635779993602,-0.23438901472188756,0.702989774187443,-0.5057879088923232,0.246067185303851,-0.7213918531206321,1.478080458367714,0.3111538286805743,-1.2053842923629858,1.0788917217055423,-0.23756369291342505,0.4595172491372023,0.6572718171202679,2.04049923318068,0.27030111014238883,0.8539865599087341,-0.10191978754428802,0.04419083055255469,0.5020372673066862,-0.7328348616082089,0.39030085682740834,0.020796786926522436,-0.37011092343027047,0.14125429549868002,124.08255767822266,-0.0482937898081013,-0.0437572349230052,0,0
2011-08-24,-1.9234120588480086,0.8521348478948818,-0.6444757164186499,0.21881386890564636,-0.3080802373192555,0.7529735053407718,-1.2466358180569455,-0.29421758279064825,0.8282769726713148,-2.0022481622371235,0.21946094821304604,-0.2030750301538076,-1.2109089804813062,1.7057736142282673,0.9355516354166105,-0.3476066669447422,0.017680730550586304,-0.30873764693035344,0.5600284509994001,-0.474468113046632,-0.39415125043376065,-0.7213918531206321,1.3981483726565251,-0.40351065395479,-1.2053842923629858,0.6241042929196322,-2.001631371450258,0.3840012349735231,-0.031441549035724055,2.44703027521657,1.5857878604146776,0.6808312443350457,-0.1254316010664399,0.5684785886948679,1.0125155316996786,-0.6472908738707925,-1.7112460041310715,-0.2591323957316381,-0.1998391339174669,-0.28767369762047346,124.36467742919922,0.0022710646959932,0.0374037378475256,1,1
2011-08-25,-1.5481096157059122,0.7863011272620083,-0.5976609841692572,0.2160079173911687,-0.3041946410741424,2.9083778926081143,-1.116992674474688,-0.608393204124127,0.8789257091672701,-1.4854797572530272,0.04837489590079093,-0.18580397694935435,-1.1846683276814507,1.2382285583572579,1.0493884236036215,-0.2825142853199502,-0.9056783168880504,-0.6154570557916128,0.5118775972785057,-0.5019151102411525,-0.7576938348179175,-0.7213918531206321,1.2596834753808703,-0.35801944683998876,-1.2053842923629858,0.6385462669761957,0.1767552997133112,0.825011756400593,0.0725113335305718,2.478302199710898,-1.1148310283528815,0.9348862267363167,-0.0687511628385154,0.5500989700977663,-0.006356744171085601,0.40499146052549634,-1.0990356611830356,-0.3364371692933717,-0.35930310949134514,-2.5492425541984,119.27061462402344,-0.0418232126974191,0.0166712879512804,0,0
2011-08-26,-2.053138745942955,0.6363069364958183,-0.3110615135736707,0.26361975098502227,-0.301179244495279,-0.7531638964572376,-2.2412414777372764,-0.10003877816100976,1.1290521435817065,-2.496362502281964,-0.27092729729465514,-0.6462510780146123,-1.2121687862226351,3.428810983528911,1.1632252117906323,-0.22173596723360048,-1.29184732825925,-0.7494998148401684,0.45265327865126637,-0.49858712389156523,-1.431095008964608,-0.7213918531206321,1.3169574383225886,-0.9395429244118395,-1.2053842923629858,0.2608225700718599,-2.4478070006983317,1.0904348306910874,0.058398467904966805,2.5799347614003523,0.47824141364634637,1.0529255612714552,-0.022957796187867714,0.9877943802330914,0.3412608024002782,-0.07007031101714307,-2.430844602686381,-1.4188008354420336,-0.2940594694961551,0.133212802170194,122.57262420654295,0.0273087211910184,0.0524402859534718,1,2
2011-08-29,-1.2409181625049035,-0.41104306499923543,-0.202301286516687,0.27289116611715025,-0.29709375393300247,-0.7928340487802322,-1.2290781678919336,-0.12357711800267163,2.0025560073844386,-0.6369556280042556,-0.3977403291389846,-0.35151349978297003,-1.1952710799736408,-0.13122243545790618,1.5047355763516652,-0.17689896358624477,-0.7030341888655319,-0.5437520557670568,-0.7270508247708964,-0.4820493039135456,-1.4729738292068841,-0.7213918531206321,1.199891815193656,-0.525046879630861,-1.2053842923629858,0.4960884525365875,1.0428260450010576,1.200155741828212,-0.5005624821233005,2.3649432627946303,0.1415510497008107,-0.0818286464275128,-0.4083630275611085,1.3737734605194118,0.5407321973276218,-0.6818457386146918,-1.7864212399186332,-0.8349711995239125,-0.6082575728694903,-2.3901401793227803,124.64674377441406,0.0167799816955036,0.0576017754530607,1,2
2011-08-30,-0.6911445492037365,-0.7709752277792871,-0.17685252050282968,0.26645417291305273,-0.2929622502228276,0.5193395691124152,-0.5762359408352768,-0.06683273220162679,2.3643085360387017,0.7100909211246982,-0.41689877837360206,-0.16719451634699678,-1.1825116549642403,-0.23872887501730786,1.618572364538676,-0.27864109078208854,-0.5978902097312021,-0.36740964448256325,-0.9896262854836119,-0.47501848900062543,-1.2286049752291675,-0.7213918531206321,1.2791942845201374,-0.26136436991533396,-1.2053842923629858,0.6411890146660826,0.26444332388004493,0.6987065461245558,-0.19595812353729722,2.1968580603742462,-0.28741054129102095,-0.512351345393983,-0.5587876715290786,1.490214639346311,0.5948888264686282,-0.6723094444397498,-1.195707643141868,-0.5977026903549358,-0.09986676965845925,1.5660256046713574,128.8115997314453,0.0328671829624297,0.028853475079827,1,2
2011-09-02,0.2900598240018228,-0.3608662094929559,-0.22680471198438426,0.2498989969823987,-0.28713539965710555,0.8109958325187541,0.626122814220031,-0.02098770090698779,1.783233276283024,2.059846862780348,-0.2755514199651859,0.1995770257791716,-1.166010015337569,1.0813294012018013,-1.5688577046976298,-0.34485456640611895,-0.3302436384357057,-0.19697573490212253,-0.42721007921578374,-0.46477349432566945,-0.6188213937571716,-0.021201719102731224,1.4277295866311124,0.238615859696276,-1.3969091085290672,0.9359919812553742,0.8763226000391149,0.3506557260099385,0.1753689914408031,2.334974003788365,-2.549156546256824,-0.1591470774036921,-0.42275986943849153,1.6025780762681652,0.803138290389692,-0.5897736301231012,1.0275635759130208,-0.5070614766138398,-0.12340679387617878,0.9635046480326772,126.45537567138672,-0.0184613852002521,-0.0174385451835362,0,0
2011-09-05,-0.21988071704007017,-1.226631429867206,-0.2412549877329576,0.23912794038801288,-0.28164868828360157,-0.7636161912536282,0.0757736360615404,-0.4068277512404329,2.076489287904589,0.8889401206745982,-0.24693044446638526,-0.020349071881790557,-1.1733915864449451,-0.5593925444442062,-1.227347340136597,-0.49751613322582017,-0.39907239185834054,-0.3565915401512494,-1.3115094251053014,-0.4744010857296181,-0.42195748237581454,-0.021201719102731224,1.3805256443780483,-0.0454366038817773,-1.3969091085290672,0.7550553020927567,-0.27002108969866384,-0.29413386437969696,-0.4306987707764698,2.3375801300425696,0.1335089264832213,-1.0519848001947256,-0.7542702189170749,1.5910412557702818,0.8346790893403874,-0.587034043614902,0.4583121566828601,-0.47507240681964696,-0.06665834751328069,1.8841158855997597,125.69210052490234,-0.0060542146952276,-0.0083371007363641,0,1
2011-09-06,-0.3472570706340743,-0.8835079228928904,-0.26810892518398516,0.22255389149054175,-0.2764172668034642,0.31862914246154905,0.0017115609901317227,-0.5574221061566592,0.7513219631812413,0.029626714025319783,-0.24909265494522753,-0.09531122780188842,-1.1834739383210517,-0.27542731709633206,-1.113510551949586,-0.6385132134592558,-0.5692126612284184,-0.29128578003998384,-0.5072986222511934,-0.4931971405367112,-0.3439221690977613,-0.021201719102731224,1.342762490575597,-0.13891047071717608,-1.3969091085290672,0.6909707815394237,-0.09222641929197915,-0.8729623744728845,0.1262968729545018,2.233342237376985,-2.390041708913332,-0.7560478175054712,-0.6560980643315331,1.5518668981201136,0.8277397569244269,-0.3329165001189735,1.3927267734523414,-0.7709893826082693,-0.020810035601843933,-1.0532288939388843,129.84033203125,0.0324702106906073,-0.0062641787430404,1,2
2011-09-07,0.6613258858514693,-0.2399043398976372,-0.2782408320929911,0.2192353827012557,-0.2708808603331026,-0.17647589753770052,1.1504865029397602,-0.42124083581331084,0.8920251285984774,1.1355768446739405,-0.09694532895714139,0.26649148356912455,-1.1671580116313114,0.6471541293034228,-0.9996737637625752,-0.6432226357157396,-0.04348924953550438,-0.6057830393563918,0.6902377726059521,-0.4904022716710726,0.11680111566363419,-0.021201719102731224,1.4566811842209915,0.35668362579862606,-1.3969091085290672,0.9841395255504933,1.7609161858991433,-0.9036245741616132,0.2927612990937319,2.340187051574852,1.5664339610207225,-0.12226547930540037,-0.4295104503682704,1.9222080418039749,1.060395047505629,-0.47040365215787416,1.5753083722220045,-0.1551657737929459,-0.4066776961978327,-0.34321225376546727,128.29562377929688,-0.01196831867773,-0.0339587489044219,0,0
