Date,high_low_range,dist_sma_100,volume_lag_1,vma_5,vma_10,dist_sma_20,volume_change,return_lag_1,return_lag_10,bb_pct,roc_20,bb_width,open_close_diff,volume_lag_5,bb_upper,return_lag_5,roc_10,obv,day_of_week_sin,roc_5,dist_sma_5,vma_20,macd,rsi,rolling_vol_5,momentum_5,dist_sma_200,day_of_month,dist_sma_50,atr_pct,volume_lag_10,volume_lag_20,return_lag_20,momentum_10,macd_hist,pct_change_1d,momentum_20,volume_lag_3,rolling_var_10,volume_ratio_10,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.4096392234358639,-0.6175225177535649,-1.0091159689884055,-1.0409249939663399,-0.930267436331147,-1.505496299406433,-0.03591224044063612,-0.637102600006972,0.11029636584937354,-1.6154797517116992,-1.4942732833344827,0.22845421669831267,-0.4823669326508618,-0.9496477300043278,-1.0532011500310725,-0.1423450512762375,-1.6176100537813127,-1.965874927470923,0.8324777605674285,-1.0407106118431093,-1.000007522493117,-1.0374968508344455,-0.4143545032334438,-1.921181538609882,-0.5365411570284775,-0.20356301699142398,0.1468477141217001,0.24742021660706257,-1.192676667556043,0.28427436233132986,-0.9530682785000203,-0.6447103685871559,0.7026653385231816,-0.3326583457770162,-0.1572606581166264,-0.17246845521789986,-0.4002926694850109,-0.9830994743534132,-0.49601849384891733,-1.3619645376561087,8.453858375549316,-0.036139690917248,-0.0177644854233138,0,0
2005-10-19,2.083050050894999,-0.8791329505903751,-1.0104196874963238,-1.045836532576001,-0.9324396453818425,-1.9416606017518234,0.11757787426418438,-0.1617892350517324,-0.26798083766512804,-1.887566664349559,-1.6726463784317995,0.4034639600176513,2.6721593588912675,-0.9315891066975085,-1.0532011500310725,0.28080702481216824,-1.9859352447140057,-1.965874927470923,1.2086458896046435,-1.7918221995692363,-1.6427742638423202,-1.0437861036195801,-0.43572972767579266,-2.200521951028132,-0.5538676331673751,-0.29639888644585544,-0.05999044018329283,0.361508427598097,-1.5046122567258788,0.5761324885238784,-0.9357164488485106,-0.8479247786162943,-0.625409773355662,-0.37994240216230757,-0.18198671925764795,-1.5808908902678027,-0.42355456121098856,-0.6993971452782963,-0.4960946243381161,-0.913950066696462,8.216238021850586,-0.028510506910654,0.041991707204798,0,0
2005-10-20,1.6361117608450402,-1.0796077070383707,-0.9570132347137719,-1.0428215133014276,-0.9913601291179773,-2.2301103129641855,-0.01379965067494619,-1.5965349396026627,-1.2836217385900186,-1.951749413817906,-1.8880493083483962,0.6175916618373197,-1.7692685544462197,-0.9820583949659919,-1.0532011500310725,-0.77416886069627,-1.9832733338349604,-1.965874927470923,0.1546462138481672,-1.9848177264360802,-1.9133356645291997,-1.0602705684735907,-0.46050528616728,-2.200521951028132,-0.5122588041284638,-0.3161631948792194,-0.21823137242507448,0.47559663858913137,-1.728370221272355,0.7003432570358963,-0.4479960064747801,-0.692270802460773,-0.05232585795193313,-0.37280481584861624,-0.2111870102139369,-1.2628149074958013,-0.4545712134441133,-1.0075481848816972,-0.4936086994729144,-0.8332774806662431,8.568991661071777,0.0420376238021117,0.0542553988687749,1,2
2005-10-21,0.9530274826570583,-0.8075039708851233,-0.9708899409023889,-1.049691828327154,-1.0548520964951278,-1.4887246058357337,0.0828974868726455,-1.268306034294975,-1.8638845062094127,-1.2783751869808313,-1.1994034406677936,0.7222434464513519,1.015441147710891,-0.6981353142774686,-1.0532011500310725,-1.129945981923088,-0.9517318084810747,-1.965874927470923,-1.5358380131821974,-0.8237760353854033,-0.026221002328357727,-1.0705387962460295,-0.46356267419424185,-1.8449201872661398,0.7417853075069653,-0.17421617607155684,-0.005935609312895427,0.5896848495801658,-1.3294494650546955,0.6578721577940664,-0.20741275342790708,-0.7380665177594222,-2.0424433455361815,-0.23719796959484316,-0.17438461041859749,1.7963528455115305,-0.348922506607538,-1.0127980317603753,-0.4931666945823805,-0.033016372788464046,8.532247543334961,-0.0042972528296748,-0.017883248354139,0,1
2005-10-24,-0.5622987244777226,-0.8422098736610601,-0.914095660240933,-1.049691828327154,-1.0548520964951278,-1.4690305118155347,-0.06655951397553972,1.7668725241643264,0.6517144626688761,-1.2175576495816838,-1.2010757445349272,0.8187021784151506,-0.18875468373526139,-1.0065261292799192,-1.0532011500310725,-0.6372187423702329,-1.2086362143400582,-1.965874927470923,-0.6905958996670153,-0.6526957815368293,0.040810962337679606,-1.072369425073039,-0.46546941292694166,-1.9362394500493711,0.7297523515578744,-0.15325314754881622,-0.039647323354144066,0.9319494825532689,-1.3445500231124732,0.639820047990179,-0.638984869889391,-0.9273171844032667,-0.22101481466622097,-0.27065367969724813,-0.14175521718029072,-0.23709212751390735,-0.34859900376872166,-0.9552940064802686,-0.493900287758827,-0.23488678337245453,8.610635757446289,0.0091453414321514,-0.0118416497287271,1,1
2005-10-25,-0.3586851347781376,-0.7878641984947545,-0.9665318491618363,-1.049691828327154,-1.0548520964951278,-1.2224728749833058,0.05378001514543116,-0.22658389545711446,-0.1441398436587969,-1.021378704772883,-1.2859228762698767,0.8438768736557117,0.284298260675467,-1.0121739860910586,-1.0532011500310725,-0.15982735607049348,-1.0634418962288834,-1.965874927470923,0.8324777605674285,-0.43636961342225433,0.53916440874716,-1.068478904638808,-0.4617530507056325,-1.749722009349929,0.7840930379465179,-0.12809774649018907,-0.0010761872100895015,1.0460376935443032,-1.2416082307444691,0.5934319506772084,-0.9503139341561674,-0.9955251879692166,0.8148399875277217,-0.25236436367576376,-0.10007485843978972,0.34317698836487953,-0.36313814204527656,-0.9692110473208148,-0.495452066230905,0.09026451236150293,8.81640911102295,0.023616501710864,0.0816390877924024,1,2
2005-10-26,0.4204490028952516,-0.6349113483459756,-0.9310180377441424,-1.049691828327154,-1.0548520964951278,-0.7458151780694638,-0.046552536586302436,0.3517542328723443,0.2793279157099593,-0.6727972519915978,-1.1314870050520642,0.7984736131134688,0.8609570801362789,-0.9542312913808159,-1.0532011500310725,-1.6008456218784946,-0.8564912181617882,-1.965874927470923,1.2086458896046435,0.6862778928241017,1.1361875774838284,-1.0693882820377276,-0.44847343372148263,-1.1515005500206061,0.46700770501816957,-0.0017228967486656024,0.11644397328172625,1.1601259045353376,-1.0043825825264365,0.49274877595684524,-0.932161527605236,-0.9495102417182356,0.16714465631210232,-0.22738515598346043,-0.04023890248670081,0.9766259577351908,-0.3421377515020046,-0.9122516858749917,-0.498108143809609,-0.24634796569305015,8.674327850341797,-0.0162468152466772,0.0580225860815386,0,0
2005-10-27,1.476180862344819,-0.7555967462396059,-0.9688321512671197,-0.9571124275185579,-1.0544380276657996,-0.8966458946155822,0.6413605423144164,0.974344157654414,-0.7764350113068333,-0.8173539529421301,-1.418537130595863,0.6911417253230848,-0.6788306103854278,-0.9681591612097225,-1.0532011500310725,-1.2711817334177973,-0.8466846278183601,-1.965874927470923,0.1546462138481672,0.9250913232679105,0.07848779146672179,-1.042017513112862,-0.4420524942930075,-0.8854688907417675,0.18673540004373526,0.021635939772197025,0.01583386137050647,1.274214115526372,-1.1380228618678896,0.4768307403816395,-0.9828929163395981,-0.9479683777477043,0.7944510743326891,-0.2247080184293409,-0.01136971682349712,-0.7464040528834173,-0.3857539085445822,-0.9648402881568087,-0.4991411726877698,3.0764083793579657,8.417112350463867,-0.0301010234208023,0.1037210453119185,0,0
2005-10-28,0.881650799972742,-0.9643118078953465,-0.5038858172116101,-0.9781255511647451,-1.0548520964951278,-1.2458691207078558,-0.688149462830937,-0.7406876040121294,-1.1324775522138304,-1.147372841363379,-1.6723179750926291,0.5806318844682595,-1.4935134789959827,-0.9111554791163434,-1.0532011500310725,1.7772663148010452,-0.9091177017861135,-1.965874927470923,-1.5358380131821974,-0.4385346992086532,-0.93876947898954,-1.0657147542633907,-0.445778279666429,-1.4261855554712461,0.050647796977594826,-0.12749850302983154,-0.1558524347014183,1.3883023265174064,-1.393245492761339,0.5622377473023104,-0.6974953474172345,-0.6125341497238582,0.05505112607215752,-0.23006107791985295,-0.01638233792807528,-1.3293270966353203,-0.4225856878177525,-0.9292232507139512,-0.4991411726877698,-0.7586518277504342,8.431807518005371,0.001744345795737,0.1683516205764252,1,1
2005-10-31,-0.38216427199464215,-0.9577625461693858,-1.0104196874963238,-0.9911224350502584,-1.0548520964951278,-1.093985976629762,-0.0161809689593237,-1.336734517937336,-0.6393827243633167,-1.0546536569916871,-1.4902596203761524,0.49397685370352223,-0.45264981539813925,-0.9637850011143938,-1.0532011500310725,-0.2249052920941504,-0.7078093760206835,-1.965874927470923,-0.6905958996670153,-0.3280676229835023,-0.7843638096177126,-1.072369425073039,-0.44631153776106036,-1.3778854663981108,0.05929280244998328,-0.11492185175949525,-0.15715618776779186,1.7305669594905095,-1.3551603381599446,0.5354881186073402,-1.0074877181193584,-0.8941535203414501,-0.9854203803121335,-0.20508134924852375,-0.011548649101217744,0.022737409905335283,-0.3925391667649505,-0.9671472764225894,-0.4991411726877698,-0.8914680455858547,9.34309196472168,0.1026260789532809,0.1202979384625467,1,2
