Date,day_of_week,volume_lag_1,volume_ratio_20,volume_change_ratio,dist_sma_100,rolling_var_20,return_lag_1,obv,volume_lag_5,dist_sma_5,Volume,day_of_week_sin,vma_10,bb_width,rolling_vol_20,volume_momentum,volume_ratio_5,rolling_vol_5,high_low_range,return_lag_10,bb_pct,vma_5,week,macd,volume_lag_20,rolling_vol_10,dist_sma_200,atr_pct,return_lag_5,rsi,volume_lag_3,rolling_var_10,return_lag_3,dist_sma_50,open_close_diff,return_lag_20,roc_5,momentum_20,volume_change,momentum_5,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.7039887640569764,-0.6815785980265967,-0.8457096886653459,-0.8192326551944421,0.45884146880168686,-0.4747788731271978,-0.19580708545465816,-0.9592486049302269,-0.8047782026054469,-0.23379635773028612,-0.8169178913736921,0.8324777605674285,-0.8334351598939039,-1.3261551719718305,-0.9582357432593561,-0.9320864331492185,-0.619719373161093,-0.9461024417560204,-0.7899396838140936,-1.089067955000511,-0.24605751658139505,-0.8927949962428039,1.0284490953046395,-0.03559766946949181,-0.7698263102271695,-1.1165313914436124,0.9819482721408391,-0.1942529379990699,-0.2814885040612511,-0.25947521638237575,-0.7506178595351181,-0.4097276942753508,0.36815880618560626,0.14234644742972347,-0.3415470696522512,0.626090999222927,0.2945179900174024,-0.07687997106281017,-0.1742676177742084,0.011059903374673986,51.3046875,-0.0208941338230841,-0.0870806608239258,0,0
2005-10-19,0.004566198977244899,-0.8194835743090559,-1.1672940736394126,-0.7523463360800262,0.20764477310484894,-0.4747788731271978,-0.24512616345842783,-0.9634839071304082,-0.8074976949903757,-1.0412969539966228,-0.843536706682873,1.2086458896046435,-0.8334351598939039,-1.2985221621127054,-0.8507562195415612,-1.0526880965348446,-1.1905500747139393,-0.7309617670157514,1.1949026727033607,0.5436197461936496,-1.5649151330451037,-0.8927949962428039,1.0284490953046395,-0.048732776600310675,-0.7934083414966476,-0.9699680396484973,0.7923345405487328,-0.02121200279762801,0.8013048818735135,-0.7526308913387108,-0.7579465561985569,-0.4096167344046871,-0.062118178504703726,-0.1755652694072509,0.16701543801542598,0.13621595955514304,-0.5736020680500531,-0.11202489641522693,-0.07814863603122925,-0.09983797726559764,49.76973724365234,-0.0303750088270783,-0.0812836177254385,0,0
2005-10-20,0.7131211620114661,-0.8371655295619513,-0.7702750611316931,0.7211713828850826,-0.13798193397323977,-0.4747788731271978,-1.1531007671920595,-0.9708142864606831,-0.7563387418475992,-1.9295932870058397,-0.8078010878217105,0.1546462138481672,-0.8334351598939039,-1.023356554637218,-0.6526036975350218,-1.1514461493154209,-0.2443915880218472,-0.44392267011118325,2.6572840411728085,-0.1239550719908411,-2.2285873714033326,-0.8927949962428039,1.0284490953046395,-0.07332893006842044,-0.7961920020212044,-0.6036991392712163,0.5265110165905607,0.2753291623026643,0.3689157321838201,-1.0077470121707952,-0.6887613566940552,-0.4080357245186092,-0.19589881398915585,-0.6123356579134163,-1.3888638955262562,-0.5377381829983422,-1.4417741633495142,-0.14121937522501196,0.12145138206653479,-0.21283873016386481,52.31599044799805,0.0498949555998085,-0.1009882853557519,1,2
2005-10-21,1.4216761250456875,-0.8103375509523283,0.3164978446596301,1.3656378295645644,0.38373039687549054,-0.4747788731271978,-1.6591700175312125,-0.9545280049544805,-0.7637671271344193,0.5416658260529396,-0.585271997769721,-1.5358380131821974,-0.8334351598939039,-1.0265861817301618,-0.1113731053199205,-0.9116500475900718,1.6457917805744522,1.3930479143792218,2.539200559440733,-0.8855290486939216,-0.0715703022390234,-0.8927949962428039,1.0284490953046395,-0.06936483504700564,-0.7947163469651765,0.39581881458501456,0.9450015605609468,0.3104698304480822,-0.06181663883747415,-0.5464172603770282,-0.8293974850788093,-0.4079980636091855,-0.24523610543130334,0.07366486556152112,3.065212156888163,-0.8897891266669411,-0.28361306940647873,-0.046337774511864105,0.3223396984321989,-0.06271642203273109,47.56325912475586,-0.095241472976496,-0.1002967274279347,0,0
2005-10-24,-1.4125437270911976,-0.5870952441983925,0.3895026615514549,-0.13416826556046826,-0.644659179227976,-0.4728873687522039,2.6254725608332716,-0.9721035304075446,-0.6936408356986097,-3.038099142310268,-0.5532378959322465,-0.6905958996670153,-0.8334351598939039,-0.42501847832678796,1.2555796235975036,-0.7832819151793007,1.5450840631162583,3.571328963204349,3.9705217864170184,-0.34900588954014167,-2.2285873714033326,-0.8871808510908623,1.094315458488415,-0.10970583150943979,-0.9087861423577123,2.2839819496553995,0.1396508138586262,1.110123883227952,-0.1957388618920675,-1.2824180825177915,-0.856630479461412,-0.40213576849420885,-1.1535460223979301,-1.2455014758111258,-2.6361702408986845,-0.6512602093621095,-2.362793232154422,-0.1632273476890084,0.05955381901359729,-0.33120873668293715,48.01894378662109,0.0095349992029241,0.0079520666187977,1,1
2005-10-25,-0.7039887640569764,-0.5549584714855866,0.06079251878251843,-0.5027009760553066,-0.5585263841166458,-0.4714122797605459,-2.8136115381005626,-0.9580711638827544,-0.8361899675381659,-1.7935796573618692,-0.6412754734682778,0.8324777605674285,-0.8334351598939039,-0.0872592548249521,1.233612042443884,-0.35767967287586694,0.40257692091633707,3.71206961089506,0.9392823009749846,-0.2799965717522777,-2.0170188947961063,-0.844734945253755,1.094315458488415,-0.13674876211066675,-0.26882804060727494,2.3358171271835753,0.20905005936998391,1.2383781789030037,-0.2451283697643983,-1.316968257747013,-0.8200703284403703,-0.39841138399510384,-1.6598021631145816,-1.1137760748064889,-1.9566820537667267,0.7615156014537908,-2.0722466297823354,-0.17187333687129325,-0.10608382926879951,-0.2926859350386988,47.299442291259766,-0.0150970907245968,-0.0027507878254432,0,0
2005-10-26,0.004566198977244899,-0.643278213796942,0.21372155853989694,-0.11381822771802136,-0.720529198953176,-0.46961634888580506,0.47114262093981496,-0.9734318976208305,-0.8637933988272511,-1.7410555692899738,-0.6082692680161963,1.2086458896046435,-0.8334351598939039,0.26225723038135734,1.2235801314680115,0.10372703836063485,0.1914930164936548,3.7088449125086522,0.9815710268127783,0.8084365974255754,-1.9241189146926008,-0.7779312146935019,1.094315458488415,-0.16379367701498662,-0.7054383693603954,2.2369808120859616,0.08153286477137131,1.4507495333788698,-1.1543996021980414,-1.4029110075599223,-0.5924067983785583,-0.39469488648086243,2.6264227253159245,-1.3051712434904215,-1.4441678186029352,0.44760428901179766,-1.9455170902169046,-0.20522198389858576,0.060894825964199255,-0.27144041920731354,44.989036560058594,-0.0500796764573917,0.0123463028991535,0,0
2005-10-27,0.7131211620114661,-0.6101662218295298,1.2423142632061814,0.35900604979385164,-1.215732776558316,-0.46586789544136525,-0.8436667483067468,-0.9957798297881785,-0.8267359382171684,-3.1011939919535156,-0.4346569531499401,0.1546462138481672,-0.8051710974694786,0.8640556807635285,1.450766986082729,0.962713107525286,0.6905025357183495,3.802470307745682,2.1359844301614634,0.37379532732898824,-2.191929178232186,-0.6877568650527672,1.094315458488415,-0.2050561250515152,-0.0361046730197514,2.4047441689551676,-0.31212641328005497,1.9191374633549605,-1.6611915422594457,-1.5768368040838918,-0.5596335699212128,-0.38736505373769736,-2.8146700166639227,-1.9241344337803656,-2.1142434795523455,0.16647640516232384,-2.3733033756176596,-0.2756246712720559,0.25485950955169445,-0.3167332752655361,47.32342147827149,0.0505865135276256,0.0750339835344719,1,2
2005-10-28,1.4216761250456875,-0.4359974709368771,2.091915267393532,-0.06697350495616868,-0.7246621384179776,-0.464628370221174,-2.7109639048732355,-0.970518799706226,-0.5959756141484195,0.23213999012202333,-0.36227462745731304,-1.5358380131821974,-0.7609307424082221,1.0466980402512698,1.83107109775538,1.976856110943714,0.7597374798766275,3.802470307745682,2.7928675911442484,-0.05918053468504472,-1.2814863346591385,-0.6338671185150019,1.094315458488415,-0.2145827569595435,0.5240163243613376,3.046751641325259,0.06965997360386732,1.9977305993418009,2.629569699020889,-0.9583092222432106,-0.6497024488945676,-0.3888454978779885,0.4712971956183992,-1.2549423119921441,2.2111776041659454,-0.6951414528250298,-2.358432017018921,-0.19197230149885933,0.11521377935236977,-0.3291080925159121,47.9429931640625,0.0130073210702364,0.0195724682226903,1,2
2005-10-31,-1.4125437270911976,-0.36338315632272244,-0.3709245151371983,-1.0965762541639716,-0.6005728355447376,-0.4645371302980417,2.662386474575311,-0.9617791245046043,-0.5627565877301661,0.7920652531019675,-0.7727840318395962,-0.6905958996670153,-0.7716608251382133,1.075403380536876,1.7575479201884792,1.568681860765797,-1.137289063629439,2.0269902557098347,-0.30978060057925694,-0.1938002983039521,-1.00049527199699,-0.6869228366197393,1.1601818216721904,-0.21479199148350925,-0.7678002903636948,3.120154431507316,0.1634684120797085,1.878341256150581,-2.8172816574061113,-0.7965767151070577,-0.6159346873609598,-0.39240198567489437,-0.8439977301388419,-1.075536457205133,1.3225609097331257,1.3691727313892308,0.10087787534519359,-0.21319384631696428,-0.5509304018730568,-0.015322253380192432,47.88703536987305,-0.0011678552413169,0.0387589843085953,0,1
