2026-08-03 18:44:52,013 | INFO     | stockm.api.access | GET /metrics 200 1.2ms rid=1b56b98c4114
2026-08-03 18:44:52,014 | INFO     | httpx | HTTP Request: GET http://testserver/metrics "HTTP/1.1 200 OK"
2026-08-03 18:44:52,017 | INFO     | stockm.api.access | GET /health 200 1.8ms rid=rid-123
2026-08-03 18:44:52,018 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-03 18:44:52,068 | INFO     | stockm.api.access | GET /openapi.json 200 48.8ms rid=d04240b82b6a
2026-08-03 18:44:52,069 | INFO     | httpx | HTTP Request: GET http://testserver/openapi.json "HTTP/1.1 200 OK"
2026-08-03 18:44:52,070 | INFO     | stockm.api | API shutting down.
2026-08-03 18:54:28,758 | WARNING  | stockm.api.config | logging_config.yaml could not be applied (Unable to configure formatter 'json'); using stdlib fallback.
2026-08-03 18:54:28,758 | INFO     | stockm.api | API starting — env=development — loading model registry...
2026-08-03 18:54:28,801 | INFO     | stockm.api.registry | registry loaded: 50 ML symbols + 0 DL symbols
2026-08-03 18:54:28,802 | INFO     | stockm.api | model registry ready: 50 ML + DL models
2026-08-03 18:54:28,808 | INFO     | stockm.api.access | GET / 200 2.6ms rid=6a50fa234598
2026-08-03 18:54:28,809 | INFO     | httpx | HTTP Request: GET http://testserver/ "HTTP/1.1 200 OK"
2026-08-03 18:54:28,814 | INFO     | stockm.api.access | GET /health 200 2.3ms rid=77c3d5eda5a4
2026-08-03 18:54:28,815 | INFO     | httpx | HTTP Request: GET http://testserver/health "HTTP/1.1 200 OK"
2026-08-03 18:54:28,820 | INFO     | stockm.api.access | GET /version 200 1.2ms rid=d5c0e1afba40
2026-08-03 18:54:28,821 | INFO     | httpx | HTTP Request: GET http://testserver/version "HTTP/1.1 200 OK"
2026-08-03 18:54:28,827 | INFO     | stockm.api.access | GET /models 200 3.2ms rid=8ea1ad8755f0
2026-08-03 18:54:28,828 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:54:28,834 | INFO     | stockm.api.access | GET /models 200 2.2ms rid=3124d2b0745f
2026-08-03 18:54:28,834 | INFO     | httpx | HTTP Request: GET http://testserver/models?model_type=ml "HTTP/1.1 200 OK"
2026-08-03 18:54:28,840 | INFO     | stockm.api.access | GET /models 200 1.9ms rid=2e19dcf0143c
2026-08-03 18:54:28,841 | INFO     | httpx | HTTP Request: GET http://testserver/models "HTTP/1.1 200 OK"
2026-08-03 18:54:31,910 | INFO     | stockm.models.prediction | loaded optimized model for ADANIENT.NS
