Date,dist_sma_100,roc_10,atr,dist_sma_50,volume_lag_1,volume_lag_3,return_lag_5,volume_change_ratio,sma_200,volume_ratio_10,momentum_10,dist_sma_5,week,open_close_diff,month_sin,roc_20,return_lag_20,rolling_vol_5,price_diff_pct,rolling_var_20,bb_pct,high_low_range,day_of_week_sin,vma_10,macd_hist,macd,day_of_month,bb_width,atr_pct,return_lag_10,volume_lag_10,rsi,return_lag_3,obv,rolling_var_5,rolling_vol_20,volume_ratio_20,momentum_20,rolling_vol_10,volume_change,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2008-09-16,-1.3070252025137312,-1.3037749605760083,-1.0171520853184326,-0.5424132912538678,-1.0246222837966623,-0.6188295555463571,-0.004540536396548888,2.56814471825508,-0.8547950643110869,-0.24143571401166217,-0.6809181143101178,-1.6083724289228623,0.7446977372602149,0.7116393927450023,-1.4173383613368635,-0.7309103171547351,0.08480720938818075,0.3432810937022535,0.16464677306089376,-0.6159151279928506,-1.8054955505403563,0.8244012708657353,0.8299039480341394,-0.9206897402797445,-0.5358948134861725,-0.30982328053302594,0.02447762272980982,-0.6757247064445027,0.3891744272360137,0.9761090569367695,-0.08112417313175213,-0.7566799750936197,-0.7556009430074311,-1.4175988228360514,-0.2615278480671607,-0.26298257842627787,-0.28991357737422757,-0.41218789401687705,-0.24614201098606892,0.3585638792219943,89.2587661743164,-0.0866820872611443,-0.1959553638774058,0,0
2008-09-17,-1.8478971254063623,-2.330685123200162,-0.8598512673560841,-1.4316965323929556,-0.7362575022093674,-0.8285348860118635,0.6418110896420421,0.2917196464220741,-0.8588552846033888,0.6513891388838645,-1.175636151795956,-2.774211058184552,0.7446977372602149,-2.810137148490096,-1.4173383613368635,-1.4113995600143197,-0.38263986708031555,1.1281523169930516,-2.90112494712796,-0.5528814017413287,-2.1345190819517263,4.230958598382996,1.206121921401604,-0.9648830969442055,-0.8814467271454395,-0.4812304154578545,0.13852024552425135,0.013319723708140765,1.1426047732035494,-0.05482961147727953,-0.20009600236586855,-1.2591387609634008,-1.1671950624053637,-1.427060835360927,0.06893380992844315,0.5602346831897768,0.2731426004158465,-0.726435296325315,0.8858657020627734,0.23901944093677724,82.22510528564453,-0.0820789637448325,-0.0994919125075172,0,0
2008-09-18,-2.3110910130028732,-2.782322953930446,-0.7656190921345732,-2.1953761375179965,-0.539355662126013,-1.032113201455638,-0.7570954241728799,0.9369286097387777,-0.8626092929052522,2.3397414376098187,-1.5337417650455119,-2.774211058184552,0.7446977372602149,-1.9262193715390676,-1.4173383613368635,-2.2201777418589814,0.8081294324347833,1.4405675183831643,-2.90112494712796,-0.42242312794811204,-2.1345190819517263,1.5165365987422037,0.15198258493528533,-0.8399694857619912,-1.3087743547708521,-0.7104915919522958,0.2525628683186929,0.9881899769854242,1.784071982984759,-0.5209809261526398,-0.8347432490502138,-1.5781127122254242,-2.1096136289867533,-1.4464568392894785,0.6128644899486466,1.0091400643514652,1.9278606713785125,-1.121552440314924,1.4789049723670031,0.7673076452429088,82.5234375,0.0036216713714208,-0.0330868678204668,1,1
2008-09-19,-2.2645351862948115,-2.782322953930446,-0.6747258567129576,-2.1327452640057034,0.10513611029830985,-0.7332535503677896,-1.1701938600568713,-0.30113546030858485,-0.8663663247745919,1.5849696859408307,-1.36996159670747,-2.774211058184552,0.7446977372602149,-2.810137148490096,-1.4173383613368635,-1.9803865230975595,-1.1938200529424816,1.972440306872902,0.11270772830322404,-0.3072182985220395,-2.0104157194993904,3.3255223870865676,-1.5387256404819432,-0.7297176723479168,-1.4948381848532648,-0.8800152584769537,0.3666054911131344,1.6598799285694574,2.0532776210212735,-0.9851663635832735,-0.7981242159719828,-1.994633247035093,0.1773207616934511,-1.428196772180965,0.4985183488894532,1.0047903660704973,1.5004419193411815,-0.9843130426038104,1.5878234616862512,-0.08036663676624048,80.25423431396484,-0.0278828192484475,-0.0573774820243691,0,0
2008-09-22,-2.3960164585709487,-2.782322953930446,-0.6229725020982954,-2.3416164736310474,0.0314394555742688,-0.5359064508814906,-2.11605682907178,-0.05404072754918412,-0.8706009096765756,1.6116446353294376,-1.6148086699137425,-2.774211058184552,0.8102614675223386,-1.598631413949558,-1.4173383613368635,-2.3468998882482333,0.8368561131815533,1.985267920724338,-1.2073418033192926,-0.1817404815138607,-1.8449780596865384,2.443762994243447,-0.6933715277733291,-0.6019979523844946,-1.610155335009783,-1.0366810640603878,0.708733359496459,2.3005805852456236,2.3601592212946843,0.6668661529868317,-0.7333975268651105,-2.339053656890395,-2.99997907956717,-1.4494270225652242,0.39814391058311605,0.931546531751732,1.7536266288033877,-1.174063220591151,1.338764801449455,0.23405747996653925,80.01918029785156,-0.0029331649944022,-0.0484692276193685,0,1
2008-09-23,-2.383524911641405,-2.782322953930446,-0.5660249895327255,-2.334818863693991,0.22413729534710256,0.11004272804381234,0.1792359733162195,-0.7204312085404041,-0.8752931066488663,0.030543438795764946,-1.6326665247052274,-1.3944830165779436,0.8102614675223386,0.3951411525959197,-1.4173383613368635,-2.448845387217004,0.4389939879519759,1.8337273896041066,-0.16537895057494129,-0.07736648395887713,-1.6010333709089706,1.9300107589407176,0.8299039480341394,-0.5434368413840388,-1.5973492002642102,-1.1530639188351894,0.8227759822909005,2.8002076320410922,2.5603747446633256,-0.00419068117543893,-0.8190170203836855,-2.339053656890395,-2.99997907956717,-1.4614441135392342,-0.3395042917929964,0.8848818401053905,0.3097280473542451,-1.2338476872829014,1.3110392719710176,-0.6988759641454316,80.80571746826172,0.0097813641087442,-0.0249382766016265,1,1
2008-09-24,-2.2983252019352483,-2.782322953930446,-0.5699203957121909,-2.2202908682156686,-0.37358875419849724,0.03617942110124678,-2.9936348458136197,-0.3101046777193868,-0.8805508388030928,-0.032308370299180586,-1.686563329492013,-0.230128045105082,0.8102614675223386,-0.5536798043607604,-1.4173383613368635,-2.2004355375841707,-1.02147814603428,1.370958670160252,0.3756971098953063,0.008468528348480572,-1.3597757271831858,-0.5149445868071125,1.206121921401604,-0.5770200039101625,-1.464103522918109,-1.222284763389378,0.9368186050853421,3.1946259556032204,2.4949309197634317,0.6410028231670419,-0.16408618003310022,-2.276391990341624,0.12568202704191253,-1.4502273092411926,-0.6053059161176467,0.9233028382525958,0.13914820005967835,-1.0930128591759682,1.2351449691814922,-0.05466439289162632,79.5490493774414,-0.015673919057782,-0.0290600958232237,0,0
2008-09-25,-2.3582461673690003,-2.782322953930446,-0.5903249649237835,-2.34399989777222,-0.4255092922061725,0.2293130136585627,-2.9936348458136197,-0.9404166758404263,-0.8861757554492357,-1.1094675895325006,-1.6522357631375109,-0.5808090500103439,0.8102614675223386,-0.7519181947330553,-1.4173383613368635,-2.213861022779625,-0.6121967658646341,-0.5731196530218226,-0.7007139516492805,0.09740079502712387,-1.2981060522113759,-0.6001109861371908,0.15198258493528533,-0.6122882028920001,-1.333542081536406,-1.2823167805929692,1.0508612278797835,3.5874533719905846,2.5131719622560675,-0.7553971540829327,-0.6253934436478664,-2.2477127512197224,-1.2083303405704602,-1.4543672274417607,-0.6050036825136577,0.9242822952203491,-0.9378244684075242,-1.086079123714698,1.2405117044387108,-0.5352918911517937,77.9217300415039,-0.0206689428324815,-0.0185826789593636,0,0
2008-09-26,-2.444164955705379,-2.782322953930446,-0.6287228433838181,-2.5094166134449276,-0.8846394322340693,-0.3697646898067389,0.12740850661970132,0.20737230426438152,-0.8919329895374268,-0.8514228453261123,-1.5813240730893596,-0.9333289761406752,0.8102614675223386,0.18776510676001754,-1.4173383613368635,-2.3254141317405974,-0.2690793550768969,-0.5913899936381521,-0.9087383646439271,0.1906412848899908,-1.2659140855075162,-0.35832597298994023,-1.5387256404819432,-0.6051372088193938,-1.2220404276273753,-1.3396446674386662,1.164903850674225,3.988269421025453,2.4977555541556375,-1.1677554073140877,-0.84152267119203,-2.339053656890395,-0.15187309629560536,-1.460149471308194,-0.6075146472875734,0.9267884558677622,-0.6707642146076287,-1.1314745508965607,1.2469660111363612,0.13237743983271413,76.45713806152344,-0.0189745648434469,-0.044604497592657,0,0
2008-09-29,-2.5175842613024964,-2.782322953930446,-0.5279984660523424,-2.65465960239099,-0.7780895736445388,-0.42180263711716154,-1.2114794816651464,0.6031101424002095,-0.897847892176386,-0.26983640927114805,-1.37026457569454,-1.2906697184818763,0.8758251977844623,-1.1904978474208248,-1.4173383613368635,-2.6361368859589467,1.4504111494401122,-0.7693590929797202,-0.8382901614240517,0.26112768735976,-1.2269103074688816,2.5746447754156634,-0.6933715277733291,-0.5328558484501028,-1.119679504079056,-1.3919267874015115,1.5070317190575497,4.036603971095093,2.942856915632101,-2.11192359537412,-1.0513371950476469,-2.339053656890395,0.38650536144933856,-1.4702742471861205,-0.5690016125238709,0.6887925087257017,-0.007519784068261654,-1.3502273351973384,1.1593541259186442,0.33914440607228585,78.0483169555664,0.0205977860233398,-0.0181368375881059,1,2
