Date,obv,week,volume_lag_5,return_lag_10,rsi,dist_sma_100,atr,momentum_20,rolling_var_5,roc_20,rolling_var_20,momentum_5,return_lag_3,return_lag_1,Volume,high_low_range,volume_change,rolling_vol_10,volume_change_ratio,return_lag_20,dist_sma_200,volume_lag_20,rolling_vol_5,day_of_week_sin,volume_lag_1,return_lag_5,pct_change_1d,momentum_10,volume_momentum,macd,price_diff,dist_sma_5,roc_10,open_close_diff,bb_width,sma_200,trading_day_number,dist_sma_50,day_of_month,rolling_vol_20,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-17,-1.6361508096403132,1.0228366600625363,-0.8239470786034361,1.2027968480998428,-1.229459152002694,0.6282287817523351,-1.2268892278861097,-0.06523253318904182,-0.5533067350116124,-0.4471758691396486,-0.6010894620343115,-0.16436875830299713,-0.0004504508870407371,-0.3586860529803164,-0.552375630538004,-0.30577496688822187,0.21549406363154544,-1.0735781543571903,0.2118232308114989,-0.17256996943902456,0.4814854559957326,-0.3956813178488172,-0.9670843061628247,-0.6998355523215011,-0.7220834459823663,-0.8833077901993204,-0.2381965300036624,-0.22677257439974294,0.3568060524676722,0.03623298453725425,-0.030476767481175206,-0.6979584826191576,-1.2338121566077203,0.483836663315575,-0.456889649294128,-1.181107205290997,-1.6946971216326816,0.03788902175706597,0.13571884073874108,-0.8848014999669498,41.20412063598633,-0.0098348158248938,-0.0344993306343378,0,1
2005-10-18,-1.6375667376758813,1.0228366600625363,0.7752050459738219,0.3046357678735624,-1.3103378997174622,0.5599279511064976,-1.2239617084993517,-0.08083615252966153,-0.5536248756572122,-0.532542444188809,-0.5997883925572802,-0.1308707975866016,-0.9597353248113242,-0.21560133878182908,-0.8342893844751484,-0.6053861834103472,-0.2735702310596785,-1.2347391271653518,-0.8269411322255015,0.1417821176749952,0.44352319434846155,0.2998183309031333,-1.0358198378853622,0.8169457937536528,-0.6043645716532102,-0.7759790517772093,-0.3427965519256477,-0.2580166894563301,-1.293800113623728,0.013193031134697707,-0.046666237326662655,-0.652715402794305,-1.3881388583005783,-0.5286507646856055,-0.3445770397213736,-1.181107205290997,-1.6946971216326816,-0.04902354598098045,0.2501944452080054,-0.8862997288834721,39.81671905517578,-0.0342513659447709,-0.0161027928684509,0,0
2005-10-19,-1.6402525705172957,1.0228366600625363,-0.9502518175963977,-0.7277508261336788,-1.550188164244411,0.3773505450495186,-1.218033465827276,-0.11817922780306503,-0.5531063872723836,-0.7396230176310753,-0.5973636166281582,-0.2052260033198125,-0.3654390981602334,-0.31529386522663916,-0.7296105034692743,-0.4020504726232395,0.1993560360103026,-1.1366593745093285,0.6515006952404139,0.038453702922853036,0.32854939280104867,-0.5913919442060955,-0.9350570006149541,1.1915598495333406,-0.8859147721906953,-0.005622007242398461,-1.1442109979248845,-0.27087786393064456,-0.9815730555023968,-0.015872918381434932,-0.17077648971944165,-1.1000123598683516,-1.486771278876182,-0.7346238130512627,-0.1563793987988433,-1.181107205290997,-1.6946971216326816,-0.2921892359069812,0.36467004967726974,-0.7943924364240328,40.72429275512695,0.0225378871346383,0.0047456062824484,1,2
2005-10-20,-1.6321028467953334,1.0228366600625363,-0.6624707544749713,-0.7407386625216139,-1.3159321631826784,0.4694687507043875,-1.2124711421392145,-0.0732374336590217,-0.5551695959663975,-0.4970970635959646,-0.5960265833753727,-0.08874356134623404,-0.21845784916167602,-1.0896877738017061,-0.27921927675621044,0.34751975428834136,0.6222726525138899,-0.81259757170062,1.6998771437227276,-0.6503413236033381,0.3957169720950495,-0.4863419356204174,-0.468497484514946,0.14191459028133496,-0.7813708841127316,-0.975587208670603,0.7503833363259985,-0.19852431871751414,-0.5358904395182098,-0.03156146885543434,0.11981669319141221,-0.24113440807307515,-1.119804724643112,0.8862846814417169,-0.06035400621884521,-1.181107205290997,-1.6946971216326816,-0.1556964713286951,0.47914565414653404,-0.7438197457206531,40.39756393432617,-0.0080553034869247,-0.0312575794640589,0,1
2005-10-21,-1.6352570389741834,1.0228366600625363,-0.6695497811441934,0.024894945841077567,-2.062790471271809,0.41424281267462837,-1.215427909582468,-0.07189642550162499,-0.5565591877899282,-0.4928793750209983,-0.594581037066629,-0.08096128737396466,-0.32086523862155447,0.7114369322402507,-0.6910034117205787,-0.26379914659555015,-0.43244318659649017,-0.8458360109088799,-0.7400839895119996,-0.303167621595278,0.36400465685325284,-0.7881463605706126,-0.47339861653531623,-1.5415856949243367,-0.33156047780790093,-0.37467430483892405,-0.2836197432185982,-0.21179696788393412,-0.5876053748431296,-0.046146165878332965,-0.03647252751912716,-0.2626847596568733,-1.1922644665301527,-0.1395360643467912,0.037956907807626394,-1.181107205290997,-1.6946971216326816,-0.219635426310927,0.5936212586157984,-0.7445659741021469,40.20027160644531,-0.0048957325123868,-0.0868054487774025,0,1
2005-10-24,-1.636251172355478,1.0889695746772419,-0.551702616119197,-0.8827666568312038,-2.17843027508552,0.3747045040087468,-1.1997363440240574,-0.10842703936996483,-0.5581527143007866,-0.6853221809371958,-0.5929963561973564,-0.07656211301008894,-1.1163477228046295,-0.25885495358712773,-0.86905812636852,0.38505419572307376,-0.14651745427887675,-0.887511506076924,-0.8063084125569291,0.9288801797537264,0.34283443338024105,-0.6768708901560457,-0.4716471072981873,-0.6998355523215011,-0.7428135797165869,-0.22605662028414017,-0.17828993716918506,-0.17426902820889834,-0.9469932098108244,-0.058697733428667694,-0.020083086300425157,-0.2039263202713693,-1.0101445756524,1.4220002400107599,0.14308129272364353,-1.181107205290997,-1.6946971216326816,-0.2625296998665342,0.9370480720235913,-0.8508812764436388,40.54593276977539,0.0085617219409931,-0.0488806480955129,1,1
2005-10-25,-1.6357163566255684,1.0889695746772419,-0.8335596516595376,-0.7744315914401974,-2.0357381948734847,0.3990481841525067,-1.2032640348702213,-0.1284602576076469,-0.5590153135824089,-0.7795979003980321,-0.5921810487728774,-0.03621208760461178,0.7338258640746114,-0.15864618107913617,-0.9069199074656963,-0.6093068229295722,0.02498327993331419,-0.8650462659014397,-0.6009649727282336,0.8311192407543335,0.3646782514511933,-0.6862650002211952,-0.41142959634573184,0.8169457937536528,-0.920638676632397,-0.3296041762242622,0.27408394747924314,-0.12299891253698933,-0.9959041435609097,-0.0653098835504094,0.04866649218356564,0.13659385565454688,-0.7353254406125272,0.9576415519871021,0.20129583621038974,-1.181107205290997,-1.6946971216326816,-0.218436044998047,1.0515236764928557,-0.9316406715313699,40.00612258911133,-0.0134029667938715,-0.0513998965071895,0,0
2005-10-26,-1.6364216081375371,1.0889695746772419,-0.728901831060355,0.00314841202426214,-1.987972861749527,0.32007089710982706,-1.2145350565405355,-0.1429665188266445,-0.5590153135824089,-0.8578780370260782,-0.5912676357250229,0.009212996096657303,-0.2628893620832184,0.26816967547956505,-0.892870801684559,-0.8163311524916619,0.08848687449939127,-0.8730675327492881,0.11859675746648081,0.008069067764552759,0.3163575593523957,-0.808574822140858,-0.8168080478690224,1.1915598495333406,-0.9584516315228245,-1.1339432719162335,-0.46113686154923794,-0.1430841007848078,-1.1966122000597996,-0.07404849032321188,-0.06345320617859067,-0.2760570764438226,-0.8516933562152453,-0.4757483770879429,0.2657705111551697,-1.181107205290997,-1.6946971216326816,-0.3149146244130935,1.16599928096212,-0.9301666233488723,39.471038818359375,-0.0134652986118688,0.0008262722825042,0,0
2005-10-27,-1.6403371102818716,1.0889695746772419,-0.2786012188276311,-0.9759112980643194,-2.055289464225173,0.24275716493114982,-1.2170820161635671,-0.1593425313681376,-0.5589334439235311,-0.9447763606656401,-0.590342631952564,-0.06810354622270191,-0.1599516679602454,-0.4284611374942769,-0.6282482548626604,-0.30615903845238573,0.39501822400571024,-0.9786529557819716,4.0202768471043475,0.06508703310177982,0.2683327883706547,-0.8240080029621748,-1.152400387387715,0.14191459028133496,-0.9444206433400577,0.736829472089438,-0.4632003911083733,-0.11589256434463606,-1.6875204549424314,-0.08431694793446244,-0.06285474112686888,-0.482075166477816,-0.7127803929925537,-0.3595377817865251,0.33171095714323096,-1.181107205290997,-1.6946971216326816,-0.40890992630654627,1.2804748854313843,-0.9340955176938701,37.03872680664063,-0.0636031728002682,0.014291570894373,0,0
2005-10-28,-1.642125555782736,1.0889695746772419,-0.6903025066955443,-0.3693641636437671,-2.1506021010716916,-0.05297757996364268,-1.20567932798463,-0.22964042790504877,-0.5452250027489717,-1.31703686092991,-0.5875802742944914,-0.1809483587950141,0.27848739270952266,-0.43043804987258305,-0.8035825856325567,1.5714599724194316,-0.1431895559276035,-0.4008466827215075,-0.6758158230541033,0.20961371228562778,0.0722981046539466,1.0444133882098525,-0.03163002140337483,-1.5415856949243367,-0.6801393513352089,-0.2709828174464081,-2.0820685020071497,-0.18883386971644459,-1.5848869835587358,-0.11035507004175701,-0.30308460236873475,-1.7766081828684228,-1.1601457614077737,-1.6100076517178323,0.5028224877920375,-1.181107205290997,-1.6946971216326816,-0.8038896283348431,1.3949504899006486,-0.6481831950282132,38.282508850097656,0.0330290681695026,0.0778947436946413,1,2
