Date,bb_width,dist_sma_200,volume_change_ratio,roc_5,day_of_month,atr,rolling_var_20,rolling_vol_5,roc_10,return_lag_5,dist_sma_50,rolling_var_10,return_lag_20,High,macd,volume_momentum,week,month_cos,obv,dist_sma_5,volume_ratio_20,momentum_5,macd_hist,rolling_vol_20,volume_lag_10,dist_sma_10,open_close_diff,return_lag_3,volume_lag_1,volume_change,price_diff,high_low_range,rolling_var_5,dist_sma_100,momentum_20,return_lag_10,volume_lag_20,momentum_10,rolling_vol_10,volume_lag_5,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,0.14761894230197573,1.00116619753049,-0.43760539829289685,-0.9170650645411846,0.24779901153056624,-1.7404391798561887,-0.6718698654529637,-0.6348417153996144,-1.015813270869533,-0.22701155479267685,-0.07930085203587167,-0.6305868955840187,-0.7132413237706844,-1.5452567684233425,-0.021207829817483464,-0.3527091678718604,1.0281941802718713,0.6910273761621027,-2.085243158693618,-0.575529310846849,-0.16280039066743607,-0.2121590375540372,-0.23401766202683086,0.40521931422347873,0.46380953487108384,-1.1660866761556195,-0.284636867489572,-1.0730873524841127,-0.022020996079662108,-0.25441091911814656,-0.006354730440828426,-0.11329789362849958,-0.6182366862718706,0.6179799175959333,-0.08106330765875115,1.4514690049916898,-0.053928832796995216,-0.24953079221199478,0.06536522888562579,-0.8034205754943813,70.7441635131836,0.0002733162270641,-0.012246359186543,1,1
2005-10-19,0.15527235944090056,0.9927309982104313,0.25970546141419865,-0.9457807040066033,0.3618972013797158,-1.6796162604766418,-0.6716328715775512,-0.6610107787054381,-1.1302200825368431,0.06775960236049021,-0.09138203088126955,-0.63033648026784,-0.3082325500175325,-1.5412922588237163,-0.04287724656851573,-0.1270509592146054,1.0281941802718713,0.6910273761621027,-2.085243158693618,-0.20010608192574011,0.34858619137617375,-0.21877587453060007,-0.24221504708682362,0.4014741881327968,0.9298331114860557,-0.9685213884423991,-0.012656846740938284,-1.0185074003363568,-0.2607129521544138,0.48680805634597824,-0.007714294414288877,1.8891460338005197,-0.6348013079089806,0.5898978822970468,-0.0665224358743145,0.38863749135423153,-0.8864728560423341,-0.27717015017409863,0.01421655086741459,-0.5205058215845856,70.65714263916016,-0.0012308356602555,-0.0118278919706663,0,1
2005-10-20,0.14323681409828867,0.9749051647591629,-0.5425789697845617,-0.5226565648893263,0.4759953912288654,-1.6471393010417577,-0.6720132752994746,-0.9023529392706018,-1.6287664993579134,-1.0728972085073172,-0.1225852202504538,-0.6534577137851679,-0.7212228212486388,-1.5401754917161001,-0.06120119083130912,-0.27947368438934655,1.0281941802718713,0.6910273761621027,-2.085243158693618,-0.06619940158793777,-0.2137238082244811,-0.1237682264078709,-0.24005864143936076,0.37557942875821515,2.6358044875699607,-0.7037327903526447,-1.1092310319548822,-0.029169477149524742,0.1773431064182084,-0.42496579656005307,-0.02267271729514031,1.173559477200229,-0.6348013079089806,0.5485710207958716,-0.03620096975131699,1.667495474917314,-0.956837455942577,-0.4024078932259406,-0.6256020412292833,-0.07122776054428427,71.34386444091797,0.0096721448595502,-0.0005482449764077,1,1
2005-10-21,-0.0499144681911715,1.0237905307775141,-0.363268003997483,0.11438121780016443,0.590093581078015,-1.6422338887826344,-0.6779383384983185,-1.3567423141632584,-0.9904408546785513,-1.0182110352811005,-0.030272352946694205,-0.6634052491647571,-2.3330400665137074,-1.5485512450232208,-0.06879429887930293,-0.2428975531071653,1.0281941802718713,0.6910273761621027,-2.085243158693618,0.26977663223255804,-0.4169243152476624,0.0121242744891163,-0.21038174827911973,0.06193169663964481,0.30563939288282416,-0.2676741330266032,1.2147048054843206,0.003485169186422457,-0.2170689249891572,-0.14610282705913272,0.08615249180704254,0.49144219675743656,-0.6348013079089806,0.5992613952496862,0.09095747024115444,-1.7714180191560671,-0.8138487273354698,-0.24521076931701952,-0.838214485690666,-0.5364399006354317,69.48677062988281,-0.0263749640038821,-0.0198542734324065,0,0
2005-10-24,-0.13937468791959431,0.850801862830827,-0.5191759546041564,-0.42932551025481125,0.9323881506254638,-1.639696627939931,-0.6804832910268975,-0.507853788785559,-1.0255105022662823,-0.026947706573963625,-0.3437716355611082,-0.6642230768442,0.6937630272905366,-1.548383736773284,-0.09386919363642182,-0.5760043454375642,1.0940541309964291,0.6910273761621027,-2.085243158693618,-0.6997414931469477,-0.7671518275584676,-0.10212299745658422,-0.2321769326405311,0.15198269831289074,0.3752315575512426,-0.8163845465894307,-1.7233890636447244,-0.003051075702419136,-0.35687338803219515,-0.2778188847136217,-0.27162959084734245,0.4683045752482669,-0.6348013079089806,0.35588839730284616,-2.7794499994780406e-06,-1.1582439888828524,-1.1420754971497782,-0.24823430844458616,-0.7930141990005232,-0.015719734882151,69.8639907836914,0.0054139793909801,-0.0005572619757569,1,1
2005-10-25,-0.09764140754118344,0.8728841045042788,0.2716946229385834,-0.3261897602483758,1.0464863404746134,-1.6320848454118213,-0.6793341952869236,-0.4580164369356638,-0.8861717821222487,0.0057704907841826455,-0.2923672586735486,-0.6648730716162294,2.3840725532973384,-1.5558102312227255,-0.10953963749447028,-0.630205846672203,1.0940541309964291,0.6910273761621027,-2.085243158693618,-0.3704491925493556,-0.37242104555766126,-0.08047539704913793,-0.22511629064592262,-0.19703374669878998,-0.806924732146527,-0.5217228586667139,0.1289644415261863,-0.07491973260757744,-0.6169372932448552,0.37425946136815014,0.042621764331612105,-0.47227669408685397,-0.6340204489712312,0.37252838020221624,-0.09838916247225585,-0.22841861506778957,-0.7363840540711312,-0.2167075430327537,-0.7355655912693821,-0.25552583826565256,69.91233825683594,0.0006917834429409,-0.0068069473813972,1,1
2005-10-26,-0.07552112268283193,0.8657378979136763,0.3851316043631971,-0.31754123442020327,1.160584530323763,-1.6584723168793731,-0.6787113675614879,-0.45600200102697064,-0.9005441494357022,-0.0007784746541255045,-0.29446101218355,-0.6648730716162294,-0.494520955919873,-1.551678179292135,-0.12102155940396628,-0.6186692173397572,1.0940541309964291,0.6910273761621027,-2.085243158693618,-0.2416062563301045,0.2780750549484873,-0.07867166749413336,-0.20855748132719204,-0.20995274546383266,-0.5220768417308285,-0.3505955510790855,-1.063049188512943,0.4460267042698081,-0.2816403931987717,0.6042811848512237,-0.0036334563787165735,0.05961216530605762,-0.6339835278091908,0.35141854707549275,-0.07425679156483798,0.06623846215214572,-0.007636992876881416,-0.22016437888973284,-0.7416014284169766,0.1845749435006889,70.61841583251953,0.010048811334003,-0.007498730824338,1,2
2005-10-27,-0.053949382377686476,0.9151268561530748,2.4143926334753463,-0.08305428979870287,1.2746827201729125,-1.6610095777220766,-0.6781126130022552,-0.35393994964532727,-0.4370135723855434,-0.07278699914698966,-0.1940312141862626,-0.6648730716162294,0.7934847355656935,-1.5502263956846452,-0.12237474709501575,0.5185484698671602,1.0940541309964291,0.6910273761621027,-2.085243158693618,0.1893964101290841,3.5681929748190218,-0.02936767106200365,-0.16892702536182466,-0.23955183725067253,-0.06972889547211528,-0.00886716924926298,0.17502794209862954,-1.2763108609513878,0.26367102326665254,3.2229171509448378,0.08887483892674986,0.4483855651723942,-0.6340697355134151,0.40603542122159203,-0.08972696718512208,-1.0739769010038813,-1.0098736815438067,-0.1165178936186127,-0.8070625197670721,-0.21167809298517826,69.94135284423828,-0.0096338835964484,0.0361819385115952,0,1
2005-10-28,-0.01284491045255787,0.8437479241301752,-1.2892301797930128,-0.48279431658638083,1.388780910022062,-1.6711586210928895,-0.676945176008374,-0.4167508309752611,-0.26995212941087965,0.44917328054571604,-0.3149409712999785,-0.6648730716162294,0.083738909349601,-1.5530183134536855,-0.12990056168750416,0.5766202218374463,1.0940541309964291,0.6910273761621027,-2.085243158693618,-0.050113715868925754,-0.7153092868886345,-0.1141491259332331,-0.15330116888193418,-0.22956523206957888,-0.5381197972169804,-0.2462409631432268,-0.41457089078849146,0.24257076628511398,3.5893183337574066,-2.9579564931671873,-0.10566084561359713,0.6952528508814532,-0.6348013079089806,0.3014721571514782,-0.11602445984454589,-1.019311891975175,0.3388005302961399,-0.07980928084214024,-0.9642948656653809,-0.3521351241700678,69.44805908203125,-0.0070779525472325,0.0618036050616484,0,1
2005-10-31,0.03909564402068071,0.7896907052592069,-0.18109582267064758,-0.08324279801400106,1.731075479569511,-1.6745416355498273,-0.6754731749509754,-1.0000199045367844,-0.37037741573977595,-1.2765162215397041,-0.4011807744974025,-0.6648730716162294,0.7146819236567385,-1.5570386818573088,-0.14030019269339555,0.6962053382921438,1.1599140817209868,0.6910273761621027,-2.085243158693618,-0.34451222729563685,-0.6752654720855987,-0.029366722479539805,-0.14828622384910292,-0.27191058685667324,-0.01384158739612711,-0.3927304329393214,-0.7560675610990756,0.016943365695051463,-0.42350737379588405,0.038159439553751416,-0.07981410731151187,0.2405727024241647,-0.6348013079089806,0.2199688916064477,-0.16676449808979146,-0.028432193930705715,-0.1392026747421391,-0.10097132959844413,-0.9478520666943648,-0.6134129349741041,69.39004516601562,-0.0008357060146601,0.0814133986763705,0,1
