Date,bb_pct,rolling_var_5,volume_lag_10,volume_change_ratio,rolling_vol_10,week,volume_ratio_10,dist_sma_100,volume_lag_1,volume_lag_20,open_close_diff,vma_5,macd_signal,rolling_var_20,day_of_month,Volume,volume_ratio_5,return_lag_20,return_lag_3,atr_pct,dist_sma_200,obv,roc_20,rolling_vol_20,dist_sma_50,volume_ratio_20,rolling_vol_5,return_lag_1,volume_change,rolling_var_10,atr,price_diff_pct,rsi,momentum_20,volume_momentum,high_low_range,dist_sma_5,macd,roc_10,momentum_5,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.24269099693394144,-0.37701364433489293,0.5772889658819498,0.0023147575706481396,0.49343455728002433,1.029072156449502,-0.12248697705731637,1.1386488629759721,-0.7737078260456829,-0.04463095297985742,0.4942774389931888,-0.9063034943224114,-0.14726402637269306,-0.3950782892696511,0.2480517350290581,-0.6890380172914412,0.4395888435426814,-2.67993171671501,-1.385482013920027,2.2958409744213344,1.079834624815113,-1.1932506105483534,0.5383436380073882,1.8626598819782614,0.3501540607367459,-0.6887146645245985,0.37565099018792,-0.03381667635852939,0.09978759415322262,-0.35868663100722636,-0.6498790366545725,1.4278484253848476,-0.13205548388865232,-0.09686854785731827,-1.5233723098486747,0.047090733190131705,0.3269382385185739,-0.17590756471376828,-0.4206785339614194,-0.14951812763958897,88.47157287597656,-0.0441153648637204,-0.0468823488507955,0,0
2005-10-19,-1.4618354309580284,-0.37683179264357075,-0.43017144468512375,-0.4403107494048248,0.7746517253645793,1.029072156449502,-0.4438314478090006,0.6347890332175057,-0.6942873946698953,-0.3525953623450198,0.6051433663671616,-0.9192131932198334,-0.15830694635636083,-0.394895677373967,0.36205433981907187,-0.7756451500697978,-0.27880026663143237,2.3336692608299057,-1.1441197503508809,2.819474210187921,0.7295575164743804,-1.1932506105483534,-0.5404665660213435,1.9765292068745126,-0.32527808293223176,-0.8027257984600825,1.2795186297197316,1.422410370448323,-0.08431875869875499,-0.358359843480637,-0.6333103299766419,-2.539062066821919,-0.4601414541176146,-0.19026345516904422,-1.5412047600072907,1.5282177738303444,-1.450771849202509,-0.19509277919541343,-1.6351581495943006,-0.2349363438989562,85.74113464355469,-0.0313485953534724,-0.0296391166321097,0,0
2005-10-20,-1.9557419575300778,-0.37247389457164204,-0.48863218534914166,-0.0928971038890108,0.9045685795743176,1.029072156449502,-0.03689662140254038,0.2857311351948665,-0.781306429480015,-0.43461405267530634,-0.972875754192389,-0.9028352170066861,-0.1726445629561193,-0.3942550767165411,0.47605694460908565,-0.7280902715388107,0.05073993531744348,0.08005541576520353,-0.030301633398705386,2.4064908459565073,0.48867568593354965,-1.1932506105483534,-0.9564366591683047,2.110924695461964,-0.7836930330521783,-0.7303988775432025,1.4379616507614705,-2.6161674805485933,0.06478981699255523,-0.35648815563382513,-0.6643630317077234,-1.9949426548608635,-1.6308524724981275,-0.22742950220994618,-1.4922157066518658,4.265834899240908,-2.402144772709656,-0.2212759273833629,-1.8118963997736162,-0.2548149312675742,88.37754821777344,0.0302852633280612,0.0178673888061876,1,2
2005-10-21,-1.1841751705912855,-0.372543978062237,-0.7041166526073814,-0.4991084112165288,1.3517230649998047,1.029072156449502,-0.612446224937629,0.5633384187758529,-0.733525380765825,-0.5364802145438513,2.419537639976334,-0.9288472968746261,-0.1862600076426116,-0.39407746989511444,0.5900595493990994,-0.8213627781274405,-0.6899776877594511,-0.14169062058724308,1.4310596584546407,2.1090597929228623,0.7017547598890158,-1.1932506105483534,-0.5602755562670693,2.268730313299466,-0.3907882823343876,-0.8629437054819559,2.184223042663058,-2.018224675033341,-0.0917267006757755,-0.3564991033852796,-0.6724566277996822,1.8584990921691311,-0.9159747583303222,-0.19204010414093206,-1.547311301630751,1.231702089829667,-0.5362198746859644,-0.23148293984527094,-1.283093012098386,-0.1444010039059984,89.38546752929688,0.0113401554167623,-0.0136681242208075,1,2
2005-10-24,-0.9024991161839468,-0.3729942338092294,-0.7519442221780925,-0.3638097928853243,1.3813606386807578,1.0949517240907152,-0.712805725339627,0.6481993709758896,-0.8272414897892543,-0.39417428174856783,-0.08573585940915006,-0.9456613430426746,-0.19799196830314428,-0.39401424519459677,0.9320673637691407,-0.8389234745121985,-0.8078855859615836,-0.11537610307020808,-2.621757076768349,1.5580896258995343,0.7754831594792546,-1.1932506105483534,-0.40197229076548385,2.290727869863189,-0.25901450403610854,-0.8860507021771946,2.273871332552746,1.8422210739056522,-0.00758007770602973,-0.35654769359421373,-0.6999802892746704,0.6486421403781433,-0.6849233076154914,-0.17792305538547026,-1.5767070843376736,-0.23878538218452258,0.205819148802467,-0.23547755712167978,-0.778451103427033,-0.1188155848683532,88.22711181640625,-0.0130438073784263,0.0151991194596484,0,0
2005-10-25,-1.1226069431657677,-0.37748494033189123,-0.5913182376216483,0.015463319272671893,1.12352081392171,1.0949517240907152,-0.32815618564141935,0.48238131728798606,-0.8448857045435509,-0.8083423798747423,0.8758134219174212,-0.9725962686291262,-0.20897977820919453,-0.39379076242423533,1.0460699685591546,-0.8025202790868606,-0.1397866671553732,0.7181938053116256,-2.0217060938957028,1.5068118564197255,0.666252772999994,-1.1932506105483534,-0.7197837025440564,2.286165033141524,-0.4668746277539156,-0.8304820807930285,1.8957008886596112,0.6555914702446841,0.052395760223309384,-0.35742566327599823,-0.7057575414269831,-0.875188507952604,-1.1191873967353396,-0.20668550116239112,-1.6387860368146994,0.8345807356490536,0.01288670073505055,-0.24310059624591354,-1.4480941801756337,-0.2055126328929209,85.88783264160156,-0.0268721326450345,0.0407623322601009,0,0
2005-10-26,-1.5084680014952965,-0.37660709509329493,-0.7239073710504343,-0.39503148716228786,1.2386930044992734,1.0949517240907152,-0.5283035280029059,0.18402465272803456,-0.8083093761477828,-0.8003683405370755,-2.2275272661675203,-0.9858304847022886,-0.22093016497872525,-0.39323255271255536,1.1600725733491684,-0.8314035655980442,-0.4421842280212323,0.2088503866456857,1.8523504958165125,1.4970925971082196,0.45874543655073363,-1.1932506105483534,-1.10024780018236,2.3679025405019654,-0.8600903688731035,-0.8743205824916247,1.3855770111145638,-0.8717016041896771,-0.02016408170545559,-0.3577637566150971,-0.7122160516406215,-1.722995534560237,-1.146955726152434,-0.24125821931582292,-1.6387860368146994,1.1660500095561246,-1.1398433019004253,-0.2581356979400218,-1.778004000620578,-0.16231143604934106,87.28687286376953,0.0161579100848249,0.0676344649051355,1,2
2005-10-27,-1.1088968694354826,-0.3776220649664777,-0.8009436106039842,0.21922385774327624,1.341454880055261,1.0949517240907152,0.11431067557222577,0.3179195978776812,-0.8373300310721247,-0.8542588261707574,0.6717487088088531,-0.993334944391285,-0.23173717246548234,-0.39294147458147277,1.2740751781391821,-0.7597080703824141,0.8785523910735775,-0.31786868939217117,0.661537171507052,1.39204455430056,0.5664064647745216,-1.1932506105483534,-0.8499841338701843,2.419964164019343,-0.649534733752794,-0.765999397797015,1.013415418336342,-1.7378407788640964,0.09161986325548206,-0.35814095056908796,-0.7143416383332611,0.9541397603984606,-0.9374076062694561,-0.2184019941163723,-1.6387860368146994,-0.6080866488229147,-0.44886794754301224,-0.26406715639882294,-1.1285837164838584,-0.054259734144776604,87.17781066894531,-0.001250249698934,0.0640832782116588,0,1
2005-10-28,-1.0978800344647948,-0.37766582922448433,-0.7142724160189481,3.5445750818798447,1.2917199378391584,1.0949517240907152,5.141130275526359,0.27725035382359103,-0.76529355331614,4.605663349337826,-0.0016264982669261518,-0.6907226780133793,-0.2413659222895088,-0.39369980164962126,1.3880777829291957,0.45360359686326596,4.140778891169187,3.009005041135746,-0.8711407067044079,1.344475464705927,0.5465210827071694,-1.1932506105483534,-1.848002656371967,1.1589815164720998,-0.6790247582270232,2.9502529689566157,0.35698083819609266,0.9573522381994204,1.360419874050424,-0.35822824634219663,-0.7171757608537741,-0.14281093204681122,-0.8074819112687709,-0.32048805506693634,0.02290418187866181,0.04575717174978574,-0.3670435668186259,-0.2687446937666175,-0.8406823065055337,-0.1260976993127776,90.75442504882812,0.0402073990972184,0.0808122636174352,1,2
2005-10-31,-0.18090296143723084,-0.37585935919529967,-0.7714745364311052,-0.6109883265438384,1.7922765530882248,1.1608312917319286,-0.0709793903704532,0.6560934367317904,0.45378860332074644,0.002117947972287738,2.1910875736898983,-0.648241351476615,-0.24677999682230953,-0.39392650381206257,1.730085597299237,-0.6599410970042874,-0.5493687243554003,-2.67993171671501,-1.7403336433432801,1.237804391776501,0.8351199430103354,-1.1932506105483534,-0.8034834750920429,1.1775235053163589,-0.13850161242827158,-0.21591580344599948,1.3742078581782367,-0.1330103948024603,-1.2256641780429083,-0.3581139256718094,-0.7144370065612742,2.5013434482243317,-0.6355735946668665,-0.2159050030672263,0.46652130506511674,1.4132774209716943,1.7158684715034234,-0.2578545947094918,-0.10901961826137799,-0.058885368055401024,91.89775848388672,0.0125194054220262,0.0302856777726647,1,2
