Date,month_sin,return_lag_10,price_diff_pct,roc_5,vma_5,day_of_week,rolling_vol_10,return_lag_3,return_lag_1,dist_sma_100,momentum_20,momentum_10,volume_ratio_5,volume_momentum,rolling_vol_5,vma_20,atr,price_diff,rolling_var_5,rsi,volume_lag_10,volume_lag_3,macd_signal,dist_sma_10,volume_lag_20,volume_ratio_20,open_close_diff,volume_lag_1,week,rolling_vol_20,dist_sma_200,return_lag_5,atr_pct,dist_sma_5,obv,return_lag_20,dist_sma_50,High,momentum_5,volume_lag_5,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-1.2439814894983876,0.5667236149769891,0.2641178863364639,-0.34682255792456873,-1.2145800626245515,-0.7039887640569764,-0.5014173392024318,-0.43799596121821704,0.243081532608718,-0.061820891896761904,-0.12790377182685017,-0.12925759614762247,2.91909128285754,-1.2740598187174208,-0.5933575432605047,-1.0163533680206942,-0.9263924834210074,0.04343462804473878,-0.4300138892646502,-0.014651233877765709,-1.1689073912476646,-1.179872779795731,0.004709571653926272,-0.44948962387754665,-0.23298326779390408,0.6381252160501817,0.11690552952949429,-1.0163944844772699,1.0284490953046395,-0.6530515803979178,-0.2504386012417258,-0.7987868021505734,-0.29922517839658025,-0.1697608459881356,-1.3830114685539188,2.467658609395637,0.4046856619911691,-0.9064728164360072,-0.11483701524029526,-1.138913940299005,13.875425338745115,-0.0275092389232077,0.0012380634507951,0,0
2005-10-19,-1.2439814894983876,-0.43409703223368457,-1.2460503930413036,-1.003044436637119,-0.9814793180217047,0.004566198977244899,-0.3179659229303549,-1.125622641597137,0.2746638946086598,-0.2997340507166473,-0.16763884340371765,-0.1885877796996643,1.8757011148285962,-0.5359534315675992,-0.4036925650953995,-0.9752402941882741,-0.9002594556217435,-0.31354546414649237,-0.4292091597556599,-0.9444236348089982,-0.9013684078363072,-0.8414168476071576,-0.011371949143387818,-1.0607217601051697,-0.8310556858209199,0.8981724766354492,-0.6074870709929762,-0.42254887981076666,1.0284490953046395,-0.5469794878531283,-0.42342262958479915,0.3183262138465185,-0.10980288587727102,-0.8776066633622337,-1.3830114685539188,-0.4776109602513125,0.061717948584000204,-0.9098851105833645,-0.27752556203030715,-1.1808538270758766,13.940813064575195,0.0047014154338457,0.0239093102613518,1,1
2005-10-20,-1.2439814894983876,0.7265380167483159,0.17390845858276113,-0.7453437065376255,-0.8698719682578467,0.7131211620114661,-0.43017980362047875,0.24358728662788606,-1.2521061468208579,-0.26067479143501254,-0.1401740366056035,-0.23020051136925687,-0.4788354092316953,-0.08578313495939659,-0.29246659412345405,-0.9956740202990965,-0.9048569101711282,0.021208231445573534,-0.4327670719276644,-0.7248098897142797,-0.6634816617530419,-1.0123960343861373,-0.029168621082965016,-0.824780907031217,-0.5265689395131887,-0.4025420911817879,-0.5766416629577166,-0.27973235891201725,1.0284490953046395,-0.5460806139315815,-0.38797056889406883,-0.438336685895855,-0.14343683741720492,-0.41362477588030594,-1.3830114685539188,-0.3374774151075053,0.0958309106951892,-0.9141780406553138,-0.21233139618637226,-1.1808538270758766,13.984986305236816,0.0031636177656998,-0.0239896617025427,1,1
2005-10-21,-1.2439814894983876,1.1577184273023642,0.10507220841043668,-0.2209054900841434,-0.7991366007749868,1.4216761250456875,-0.7730265482252029,0.2751911979031055,0.1849154608024915,-0.23641815338263786,-0.08904506889568965,-0.31136766226553564,0.1576733905368655,0.2981027305804816,-0.5448699787101751,-1.034624193151193,-0.9174393765503824,0.005510168442381608,-0.43255150391710895,-0.4613335192000702,-0.3489137459300583,-0.41941677961512724,-0.04684492571467869,-0.5630004167593192,-0.026314986571744938,0.30118687554323614,-0.0981277401606781,-0.8140074361448174,1.0284490953046395,-0.6006611522142199,-0.3633703943992047,-1.1266068134680274,-0.21224637748821545,-0.23165513456665804,-1.3830114685539188,-0.8636112248557041,0.10652305492657026,-0.9120315504252005,-0.08310749621968172,-0.8409235795975593,14.340177536010742,0.0250808681629034,-0.0414065741601145,1,2
2005-10-24,-1.2439814894983876,-0.9107517570160996,1.096219200224069,0.14711099519191162,-0.7202914273498492,-1.4125437270911976,-0.5294746298980981,-1.2526205891662228,0.11630932654696208,-0.024267180114778856,-0.04872517340609683,-0.15974761383518973,-0.4404595195657823,0.5701740366722633,-0.16672114651887734,-1.0294756780282395,-0.903647012902229,0.23565386342905367,-0.42927163713918004,-0.27032713940883907,-0.5800472287853332,-0.2768086109833358,-0.059561938665556334,0.15430251190847158,-0.7684693405387806,-0.07473866590512117,0.8594239220971197,-0.5674866460934533,1.094315458488415,-0.5069431009526564,-0.1961164152953489,0.24388435399687508,-0.20275866412906743,0.6859927447496661,-1.3830114685539188,0.3339370475289469,0.37837288270837094,-0.9045464725899725,0.005160164390260764,-1.0118755932746188,14.280095100402832,-0.0041985989884462,-0.0987416642356229,0,1
2005-10-25,-1.2439814894983876,-0.797609498737211,-0.2230192546993706,-0.06426168266950832,-0.9068685197035282,-0.7039887640569764,-0.6106419943192818,0.18538152695115853,1.0941088475174572,-0.06518954181854399,-0.05836727830959807,-0.11483918085536748,-1.6072706132577914,-0.00885576797110083,-0.16567965689021566,-1.0630732355611068,-0.9083654239486963,-0.07163580806958905,-0.42893948738329285,-0.19725577961875582,-1.1364940144112887,-0.8103042446138127,-0.06939719454429974,0.07678377721556089,-0.6889144860071033,-1.2292464606680769,-0.46936486413971135,-0.7068797709765415,1.094315458488415,-0.5030114158681989,-0.2201369154371154,0.2755178386562957,-0.21573513695145558,0.5038253399298896,-1.3830114685539188,-0.027229207030918755,0.30219506295560183,-0.8977218339069803,-0.04560812461701135,-0.4189905785455108,14.211174964904783,-0.0048379921126509,-0.0659833473506258,0,1
2005-10-26,-1.2439814894983876,0.31787123608042717,-0.2513994769058388,0.3775039998921094,-0.9799676665362423,0.004566198977244899,-0.6401332333771222,0.11672858136236634,-0.2121430059775318,-0.11178000816576629,-0.08174131358122146,-0.15686415312873664,0.7516239603868198,-0.4066245441572589,-0.7704142263544942,-1.0218795035755195,-0.9180443805678431,-0.07817543269762214,-0.43143348877244775,-0.558686274337437,-1.1784190499943654,-0.5641430989868909,-0.07788534520516752,0.016073263510117456,-1.1200950921626327,0.2767330646003986,-0.2735461297177492,-1.1549761518552515,1.094315458488415,-0.5021726019247306,-0.24903965048708435,-1.2537235994638987,-0.2512531271354136,0.11377106518068882,-1.3830114685539188,0.2083080509492197,0.2185855949809029,-0.9086192562778431,0.05823552266329221,-0.27640507411264253,13.610357284545898,-0.0431975565300488,-0.0611453552379748,0,0
2005-10-27,-1.2439814894983876,-0.43768605787922443,-1.9212577013344254,-0.5442114085601125,-0.7084277841602105,0.7131211620114661,-0.1667762100510948,1.0951952744412599,-0.2406684039735757,-0.4812595765938707,-0.2725269884995158,-0.26563252455818465,2.2947064816697607,0.5687567912724475,0.340715903747015,-1.017535746408602,-0.9118740484922877,-0.4717631678778612,-0.42014931234149105,-1.5732397883352782,-1.1784190499943654,-0.7033328659294202,-0.09228937833843115,-0.9425905264188678,0.20462494912511184,2.3870047467587314,-1.6318195576410766,-0.5666904630825605,1.094315458488415,-0.48702084926597655,-0.5233555549480109,0.18562412823591345,-0.12189844115666437,-1.4149608859195193,-1.3830114685539188,1.6958405022986462,-0.30202997785155467,-0.910875794505857,-0.15926008540328077,-0.8098159212173457,13.41774082183838,-0.0142532946918717,0.00930465240916,0,0
2005-10-28,-1.2439814894983876,-1.1249505124715562,-0.6672146747777489,-0.8685679293104327,-0.47622294111341945,1.4216761250456875,-0.2506722870929179,-0.2119478607372491,-1.9520128031211128,-0.5997311482248343,-0.2748647073806342,-0.22855355012213333,1.6631255886129903,1.3209306337722757,0.3250788340296531,-0.9969111059561088,-0.8856201195789521,-0.169706889736452,-0.40165792498808095,-1.5149430439228597,-0.8386091740852171,-1.1507755276432587,-0.11202225639747519,-1.181214576000639,0.0746875885254261,2.537310474912468,-0.6353317076333183,0.2519498729279955,1.094315458488415,-0.4807820147111973,-0.6093448155074017,0.11690694060066194,0.04554792640923554,-1.6542819603060444,-1.3830114685539188,-0.5686528422168033,-0.4730853954074395,-0.9252956094102551,-0.2365646524928586,-0.5636938970883378,12.991867065429688,-0.0322542219126049,0.0401420956687768,0,0
2005-10-31,-1.2439814894983876,0.24353814772037888,-1.451387618662282,-1.8972798378823121,-0.3384754018108958,-1.4125437270911976,-0.11309432352456136,-0.2404927221810814,-0.6607155442357039,-0.8589458852336143,-0.30671088437635086,-0.34762348960602135,0.18789289508936233,1.8103427599361284,-0.30913305355760184,-0.9965974509465749,-0.871827645164776,-0.34231007399468655,-0.3786848155628223,-1.6111040801614769,-1.0095006525133792,-0.5633480775120319,-0.13913250005356118,-1.768574333263542,-0.1598483607043857,1.2419494953561,-1.0758471967013206,0.3440569823488052,1.1601818216721904,-0.37907232417679115,-0.8030333016999065,1.0962892346376294,0.20082943837550415,-2.145051501972503,-1.3830114685539188,-0.7467695139644592,-0.8340184005213832,-0.9394952527364359,-0.49155838678058206,-0.7028615431061241,13.368260383605955,0.0285597178965509,0.0825922942412,1,2
