Date,rolling_var_20,obv,bb_width,dist_sma_5,volume_momentum,volume_lag_5,dist_sma_200,volume_ratio_10,momentum_5,day_of_week,dist_sma_10,return_lag_5,rolling_vol_10,day_of_month,rsi,macd,month_sin,high_low_range,price_diff_pct,bb_upper,roc_10,day_of_week_sin,bb_pct,Volume,momentum_10,volume_ratio_5,month_cos,macd_hist,momentum_20,dist_sma_100,roc_5,return_lag_3,return_lag_20,rolling_vol_20,price_diff,volume_change,volume_ratio_20,rolling_vol_5,volume_lag_20,volume_change_ratio,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.3299721969115834,-3.521087458720975,-0.23635498213227385,-1.5140095562047522,-1.2509409878145117,0.3197161680962151,1.189784501114156,-0.5052306420888721,-0.16539806568946397,-0.7039887640569764,-1.6390176169021153,-0.5663625542149003,-0.7670357060926654,0.24742021660706257,-1.1420290876681651,-0.21424592522729574,-1.2439814894983876,2.912317813648971,-1.037511380535826,-0.9182463322515726,-1.5541129659203912,0.8324777605674285,-1.6709963485336339,0.5161471628155649,-0.22866651797967227,-0.37022135530375133,0.691274609705019,-0.07311843989829923,-0.20973272664707818,-0.3160868412971048,-1.177422912895177,-0.6692513969458539,3.1449420689140783,0.42214539766455694,-0.10399170394115458,-0.8438592779373675,-0.8558227330240502,-0.5293952126313554,4.755498182566823,-0.5434796565178814,18.928861618041992,-0.0608514515140145,-0.0766674490336859,0,0
2005-10-19,-0.329769667440169,-3.521087458720975,0.025659768573836724,-2.8092293977117,-1.0167321924433863,0.8545692802779602,0.7556498607387364,0.46951029399456506,-0.2507994090209641,0.004566198977244899,-2.6701089870859054,0.5292937013832334,-0.291428690404285,0.361508427598097,-1.6528527365046832,-0.23063085271774184,-1.2439814894983876,1.4873532550962567,-2.5624910908303877,-0.9182463322515726,-2.3737268382456103,1.2086458896046435,-2.220741816339362,1.2317491903183593,-0.2859897267159977,0.6199611814760381,0.691274609705019,-0.10748924165324372,-0.23974014109622682,-0.7989309193781079,-2.464032821322082,-0.8477652989380259,-0.018260892401131115,0.6586505552562014,-0.2005011599852069,1.434062221904084,-0.2861462588087306,-0.130283969613306,5.3820756807318535,0.47408132599982195,18.29353713989257,-0.0341399913013588,-0.0225084903168372,0,0
2005-10-20,-0.3293522981337773,-3.521087458720975,0.46866489303286535,-2.972759131262084,-0.5735882276404257,0.7511981994659672,0.5155185314406628,1.2896175827191025,-0.269359707945193,0.7131211620114661,-3.01652220801578,-0.6708891432364281,-0.2363633193721624,0.47559663858913137,-1.7817191350772636,-0.2481166774638724,-1.2439814894983876,2.9864666641100195,-1.481019811196464,-0.9182463322515726,-2.590829971974152,0.1546462138481672,-2.220741816339362,2.082940043406276,-0.29851282745499425,1.264417159995844,0.691274609705019,-0.13815917094731106,-0.23509796896325522,-1.0639316814753677,-2.78539437345828,-0.6043066606101042,-1.6059026614086032,0.6484490297566989,-0.12559470007533632,1.7022356237802314,0.4179651714730438,-0.20011479774792865,4.366024346085033,0.2742041540555817,19.531417846679688,0.0654765049331765,-0.0450479057878869,1,2
2005-10-21,-0.3292502409710172,-3.521087458720975,0.5654101834277289,-0.0080920525611259,-0.040106783941888505,0.6165741853061691,0.9151640001829093,1.5818637456226974,-0.1747424947239944,1.4216761250456875,-1.2273108374427912,-0.8495080029055923,0.8908251720252321,0.5896848495801658,-1.0031572332368373,-0.251449407224795,-1.2439814894983876,2.870622255337405,2.8167884362416533,-0.9182463322515726,-1.4696373290601383,-1.5358380131821974,-1.2881173079273174,2.6637862042782454,-0.21975072072249605,1.1885746024956512,0.691274609705019,-0.12189944095140416,-0.1607290652160469,-0.6098506205420496,-1.345841997353211,-1.0402500107509323,-3.069564270986592,0.5860220043351577,0.12846511264404578,1.1675362820177673,0.8505987877054273,1.928488949273585,2.6164424419594936,0.0012182976764746997,18.61254501342773,-0.0481885241910896,-0.1239557054994354,0,0
2005-10-24,-0.32894078611810545,-3.521087458720975,0.838033536168697,-1.0721013114804971,0.13977948062479298,0.9438431209019608,0.5775786157374673,0.15367025153660274,-0.21212230753486375,-1.4125437270911976,-2.0421160912332565,-0.6059062224871256,1.0572503549563994,0.9319494825532689,-1.8290443769812044,-0.26071466429199924,-1.2439814894983876,1.6608384262427425,-2.0534054293519484,-0.9182463322515726,-2.0248636851687256,-0.6905958996670153,-1.6974069413765027,1.2834275948115912,-0.2560981918041908,-0.2775127829068953,0.691274609705019,-0.12599190583038095,-0.19231781190995761,-0.9815709795561985,-1.9584382397084377,-2.636886063891991,0.6775240300552252,0.7166496886280979,-0.16405190837987174,-2.7114187333957265,-0.1276984965056255,2.11531149106806,2.5736180023691104,-0.6952957428891333,18.63183784484864,0.0010360130396004,0.1802944995694278,1,1
2005-10-25,-0.3286970000168381,-3.521087458720975,1.0462629574691598,-0.4330484220140714,0.5089071060500451,0.5105584251978246,0.5617619177791332,0.251066297821115,-0.18346421195226975,-0.7039887640569764,-1.6985906379808384,-1.0421058865666453,1.0878398334380153,1.0460376935443032,-1.949414478109387,-0.2671017860902633,-1.2439814894983876,0.4533718457898008,-0.012052815862405055,-0.9182463322515726,-1.868924694173333,0.8324777605674285,-1.4945435813239794,1.5144193451028007,-0.2445004681278887,-0.22616785031904535,0.691274609705019,-0.12096977948472683,-0.21557481780612328,-0.9922378848769227,-1.5335573945033414,-1.498462297642682,1.8794866993883446,0.4980903928750582,-0.03681000504581815,0.47557920486235244,0.10073812315564264,2.1748769601419604,2.6890569308374253,-0.10057029550329884,18.50756072998047,-0.0066924927971659,0.1760732818785703,0,1
2005-10-26,-0.328456635950139,-3.521087458720975,1.242379188653834,-0.5178274813157708,0.5561485934128412,1.2215112988412324,0.4978222803597544,-0.032423097825619064,-0.12194386087308301,0.004566198977244899,-1.482867480703693,-2.639680685706022,0.9886534370231326,1.1601259045353376,-1.9090650692921156,-0.272296755531544,-1.2439814894983876,-0.2446210517641157,-0.3392427318862101,-0.9182463322515726,-2.1049568338102205,1.2086458896046435,-1.4050033988614257,1.2588028816696686,-0.2615177968804977,-0.4608427410973226,0.691274609705019,-0.1135157517046439,-0.21415075117921567,-1.055967857066025,-0.5535837397543762,2.7471231522365795,-0.40277981650938555,0.498058821552815,-0.05628216642976688,-0.48685541681233013,-0.0839318513425187,1.6671100737611546,1.6793024717676557,-0.367064882910268,17.48773765563965,-0.0566794067724084,0.1827657746757363,0,0
2005-10-27,-0.3279952943994573,-3.521087458720975,1.586814323747355,-2.3226778362055156,0.5335785514157422,2.067172098788414,0.13350955902886502,0.8648299199661501,-0.14418933803049935,0.7131211620114661,-2.3710787565523717,-1.50058758047188,1.1975101073566745,1.274214115526372,-1.9753464716323932,-0.2835819345807357,-1.2439814894983876,2.5574764141265116,-2.3954746018416966,-0.9182463322515726,-2.5817946703107872,0.1546462138481672,-1.7036756539814117,2.4671554670737783,-0.290595537840756,0.5405416169298807,0.691274609705019,-0.12510729065128462,-0.24181467433593376,-1.4567869653765,-0.9678780382520575,-2.097200951212327,0.1307476123587096,0.6786584961466181,-0.17774362755258058,2.4086454356646176,0.7908262085470532,2.017362706437329,0.8782574562034348,0.47714829986257484,17.254425048828125,-0.0134312947783719,0.3045993104370089,0,0
2005-10-28,-0.32753063369931007,-3.521087458720975,1.9130983326128874,-1.901405260296096,0.4388200275186169,2.6442445934789847,0.03596568357543028,0.6420771833916603,-0.2293064166778047,1.4216761250456875,-2.2393994888947293,2.747494071559242,1.201987016434476,1.3883023265174064,-2.0100172305801878,-0.29328903533699696,-1.2439814894983876,0.7700360917471836,-0.6224766569232631,-0.9182463322515726,-2.5211379414744646,-1.5358380131821974,-1.595577767004941,2.460413159454198,-0.2838258478911138,0.5800701115320204,0.691274609705019,-0.1298317805788888,-0.2438894459291082,-1.5560993696572192,-2.346866811982618,0.0007144236832344594,-0.34235812762960693,0.6782469578340067,-0.07107047519895987,0.005378576037429446,0.7566620949715359,0.3268969407114684,1.8947750154979466,-0.23727284996360012,22.289825439453125,0.2560616808777736,0.3634673919376862,1,2
2005-10-31,-0.3273702039186172,-3.521087458720975,2.0002775308669336,2.8892862408015065,2.6045438203523514,1.272853956865809,1.6959469381664694,4.306377112096605,0.11518287483792926,-1.4125437270911976,2.844802787393064,-2.0996782638694698,3.9018513025935153,1.7305669594905095,0.007551462640656505,-0.25997557527619186,-1.2439814894983876,4.086823877982423,3.3169600473669023,-0.9182463322515726,0.9323642982354525,-0.6905958996670153,0.6971412459760145,6.653041574771081,-0.06498305832248633,3.7840803825705205,0.691274609705019,-0.009606499258076792,-0.11727622700677916,0.32895925799165016,2.938381107376074,-0.3286690938079839,-0.1037013539910978,3.9991922842081413,0.6435166123048855,5.164398193522219,4.517736168165634,4.222251529966496,1.5639687281283934,4.872180302552533,22.21894073486328,-0.0031852046512567,0.1106547403246221,0,1
