Date,bb_pct,macd_hist,day_of_week,dist_sma_100,rolling_vol_10,rolling_var_5,volume_change,momentum_20,open_lag_20,month_sin,Volume,dist_sma_50,sma_100,atr,High,atr_pct,volume_lag_10,momentum_5,volume_lag_3,rolling_vol_5,bb_upper,open_close_diff,volume_lag_1,macd,volume_lag_20,return_lag_10,day_of_week_sin,return_lag_1,month_cos,vma_5,obv,volume_momentum,dist_sma_10,volume_ratio_5,dist_sma_20,return_lag_3,volume_ratio_20,bb_width,trading_day_number,return_lag_20,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-1.3516966391529637,-0.8809967630153582,-0.7039887640569764,0.09268410612286715,-0.02994955192460657,-0.2757525517905042,0.1173595737534309,-0.23578466803429415,-1.731514228857296,-1.2439814894983876,0.034647900926704396,-0.22078294667965337,-2.102408309051896,-0.9870825638165837,-1.808293445184008,-0.10882445400843095,-0.41674239388718637,-0.5579483251895776,-0.35496445870360444,0.4833759744741404,-1.9536579382761428,-0.3371881883835828,-0.06697468919187842,0.01870884452115282,-0.85398130744993,0.5299247486263358,0.8324777605674285,-0.1699503815161331,0.691274609705019,0.2792685926229509,-1.0955939677389332,-0.2618815074970447,-1.494673229918253,-0.32883568882250575,-1.1139945394912678,-1.1273293158883821,-0.377700620073723,-0.10342539186846872,-1.6979970924330727,-0.07329829595223739,43.85051345825195,-0.0343420665833112,-0.0538186460026923,0,0
2005-10-19,-1.768648412030276,-1.0808983774876357,0.004566198977244899,-0.22287277726350543,0.05357846963175894,-0.3286308714718579,3.3350198768978827,-0.48831676333481217,-1.7376337782186053,-1.2439814894983876,2.9816058933588523,-0.6455061922904778,-2.102408309051896,-0.5077836415905156,-1.8973001482613467,0.6741238592939834,-0.2671467522482418,-1.2502417176901777,1.852992368653631,-0.2688848838104547,-1.9536579382761428,-1.2052834103067152,0.032369278864750384,-0.11914590617137757,-0.10357798679245134,0.29580683837128546,1.2086458896046435,-0.3771657198568085,0.691274609705019,1.0611100655773675,-1.1654639946219694,0.6829294493779172,-2.1187335446406728,2.3207644125862594,-1.7079849836098986,-1.9262228387111522,2.5792312230928074,0.17760364628127165,-1.6979970924330727,0.46554562425876794,43.38371658325195,-0.0107022514046372,-0.0190460134508443,0,0
2005-10-20,-1.6457469029030987,-1.2070165795660204,0.7131211620114661,-0.32126070712546484,0.033095940411823906,-0.4352400694049498,-1.1500088062496867,-0.6092487698567983,-1.7156656346842252,-1.2439814894983876,1.9592730889078367,-0.7745076377046551,-2.102408309051896,-0.4833914780805261,-1.9132600827950073,0.7428054111849254,-0.6726603029940047,-1.0935208550061033,-0.06263985153655159,-0.2081486774927468,-1.9536579382761428,-0.7963363436546531,2.9806430676146114,-0.24462713074023304,1.1279132030325945,-0.23383459240143428,0.1546462138481672,-1.7271470303553302,0.691274609705019,1.6236802241571213,-1.21922217152005,1.4417441897624295,-2.043238880323661,0.557466504831672,-1.817716279204622,-0.16811935505944317,1.4275390844485782,0.4533575838123332,-1.6979970924330727,0.5026909320861077,44.22487258911133,0.0192031823026976,-0.0033079115405742,1,2
2005-10-21,-1.209967823072746,-1.1338891130779345,1.4216761250456875,-0.15639463004677243,0.17044574416103733,-0.49522296756308554,-1.2980271607704537,-0.23489415252235027,-1.652898771469657,-1.2439814894983876,0.8059427069883209,-0.547966343021328,-2.102408309051896,-0.4839257290555596,-1.9433382507374313,0.6834197172601505,1.0501375400001138,-0.4218422298055381,0.03728267031456763,0.06581584607702425,-1.9536579382761428,1.8076194102082204,1.9578537986523852,-0.30640807988146523,1.0771006714743494,-1.6097105173885584,-1.5358380131821974,-0.5401153989402914,0.691274609705019,1.3725644715107204,-1.1836403516905045,1.083612770067436,-1.2464063213992786,-0.3461869978027643,-1.4084879777550783,-0.37532584096949634,0.25708693857518233,0.5750500545714246,-1.6979970924330727,-2.2389583361233254,42.805999755859375,-0.0326090850969647,-0.0407938356561362,0,0
2005-10-24,-1.5375600220343273,-1.1853045503081794,-1.4125437270911976,-0.44394479268852216,0.2381935585441107,-0.507468324930307,-0.7280200063106252,-0.3756841656664487,-1.8066772846561774,-1.2439814894983876,0.15707379280843387,-0.934568285954499,-2.102408309051896,-0.40558570896460816,-1.9371998792229663,0.9016357884244791,0.07809909155811798,-0.7447193813391758,3.0027264495635553,0.33028702561475637,-1.9536579382761428,-1.0030484191535083,0.8040084627112872,-0.40842398888664855,0.15240695464029907,0.28817685661026526,-0.6905958996670153,0.9615332177466986,0.691274609705019,1.4264595196540395,-1.2089960704308051,1.1625168181115817,-1.8420758445542178,-1.0234910476393804,-1.9775985322675846,-1.7252494790196935,-0.4127603378230736,0.8149945156645937,-1.6979970924330727,-0.35635871972620353,43.00471878051758,0.0046315747795232,0.0030722712044841,1,1
2005-10-25,-1.295910871609121,-1.1317442356962202,-0.7039887640569764,-0.4061179581857291,0.298498093490429,-0.6240864935305397,1.1764968115083243,-0.5315948386268128,-1.8098154985215464,-1.2439814894983876,1.1937194230244346,-0.8791239594769679,-2.102408309051896,-0.3438038014728597,-1.9688124819852078,0.979330336068543,-0.4702546300484748,-0.6074432191911855,1.973980718179928,0.4659231357847467,-1.9536579382761428,-0.703537394492647,0.1548498330586487,-0.475777913618302,-0.2198753106018757,-0.8303722181944655,0.8324777605674285,-1.640128421055639,0.691274609705019,1.7081962116851404,-1.1673029331816964,1.4109422348933864,-1.4160957259370333,-0.2125750712635609,-1.8052649801549234,-0.5382685586922008,0.5613446092770452,1.0306767862318844,-1.6979970924330727,1.5431661843553268,43.02323913574219,0.0004305659685367,-0.0003759101525855,1,1
2005-10-26,-1.1470835666774406,-1.032398011034488,0.004566198977244899,-0.4035088503635094,-0.03448638683483656,-0.629392578537845,0.8759484397781235,-0.6566711673389993,-1.7533254940222474,-1.2439814894983876,1.9643770361716817,-0.8738482427400087,-2.102408309051896,-0.3128240911576781,-1.9841585161439026,1.024351655866732,-0.22970883045768886,-0.21209195722609422,0.8134156828909719,0.08745917898076247,-1.9536579382761428,-0.1469000042363006,1.1919583183633593,-0.5224509137700469,0.930635707435165,1.2346133102682193,1.2086458896046435,0.22984564236424257,0.691274609705019,1.460937360269476,-1.1134643186489355,0.9224695045611666,-1.0277424131196107,0.7213534583735223,-1.6920048089823374,0.9633159061790757,1.2406491971562037,1.197340924257879,-1.6979970924330727,1.056356362630944,43.24044418334961,0.0050358505056329,-0.0008064761211223,1,1
2005-10-27,-0.9770460601786067,-0.8853848184898,0.7131211620114661,-0.3614043003357061,0.00685985088572129,-0.6299231466739799,2.6363579755433864,-0.7968706023386383,-1.652898771469657,-1.2439814894983876,4.293012950620354,-0.8137086802770813,-2.102408309051896,-0.34932333534489884,-1.958684074151061,0.9530104676435209,-0.3517933212497634,-0.03769365195282152,0.16047651984754255,0.07575185631476997,-1.9536579382761428,0.21737387348422163,1.9629600247933068,-0.5444024725997454,0.2876928940557448,-1.1354761512264655,0.1546462138481672,0.018899393216199444,0.691274609705019,2.0282018786057,-1.0229266640777166,1.2652084194362998,-0.5796749303394502,2.15740914075231,-1.465007680122617,-1.6382345872353552,3.0156256391326877,1.2511139526317756,-1.6979970924330727,1.3604699403892315,42.45707321166992,-0.0182827418128642,0.0105787504422157,0,0
2005-10-28,-1.0931211611869813,-0.8240551496845527,1.4216761250456875,-0.5196824242667417,-0.25062200976416266,-0.6744723854300642,-3.358209004395252,-0.9385506417004423,-1.5618871214977048,-1.2439814894983876,1.3164030738489116,-1.0136329369391015,-2.102408309051896,-0.331874722951156,-2.005029021442096,1.040252325186647,1.875959707666423,-0.4518953411432932,1.2036248590176557,-0.16830649297340314,-1.9536579382761428,-0.8443770403618566,4.292635659037576,-0.5869554916502554,4.313339630740356,-1.9377562873125893,-1.5358380131821974,0.25014563502824677,0.691274609705019,2.1522799984028307,-1.0665532818618182,1.7579494563102378,-0.8930883746819944,-0.3844951126295528,-1.6663928742463558,0.23165958916557106,0.5367957115004064,1.2975378320886393,-1.6979970924330727,0.3269734641992455,42.93771362304688,0.0112570217636556,0.0472518605790211,1,2
2005-10-31,-0.863651245454472,-0.6789551569531233,-1.4125437270911976,-0.4251363856868976,-0.1414286471151007,-0.6750851398682436,-1.2070305061732913,-0.7823478600803913,-1.5744406234359778,-1.2439814894983876,0.24360555117215768,-0.8725158442685655,-2.102408309051896,-0.3840420689599479,-2.019300888003399,0.9240602385089849,-0.056847776584106204,0.032418927221050435,1.9791166816724692,-0.6886708716936586,-1.9536579382761428,0.29821499278972513,1.3146967465875865,-0.594354707870621,-0.28707326077204776,-0.17219997495969633,-0.6905958996670153,-0.9207563569255002,0.691274609705019,2.173313360790087,-1.039833832344592,1.7204579497132089,-0.36411915044108617,-1.2536853220018167,-1.3176638924836583,0.020722351836105483,-0.4924870981970232,1.308510405094145,-1.6979970924330727,-0.7581289821924522,42.988555908203125,0.0011833934224534,0.0260818731507867,1,1
