Date,rolling_var_10,dist_sma_50,vma_20,price_diff,dist_sma_20,return_lag_10,high_low_range,rolling_var_20,bb_pct,volume_lag_3,vma_10,day_of_week_sin,volume_ratio_5,volume_ratio_20,volume_change_ratio,obv,open_close_diff,roc_10,dist_sma_5,macd_hist,bb_width,atr,volume_ratio_10,day_of_month,return_lag_5,month_sin,return_lag_1,volume_lag_20,rolling_vol_10,log_return,momentum_5,vma_5,dist_sma_200,roc_20,volume_lag_10,return_lag_3,volume_lag_5,return_lag_20,Volume,rsi,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.4589500266833286,-0.002563751762787833,0.08571720757354374,-0.1426166084671172,-0.3969308243761483,0.5062242804910627,1.8540373623537987,-0.46721388440403216,-0.4689582612625594,-0.47412851455689486,0.6483118248386384,0.8324777605674285,-1.361901912795284,-0.771135122744893,-0.7027356072208203,-1.736068660762224,-2.0555612816422446,-0.533124590658761,-0.33959575540688103,-0.04085918127368458,-0.39983180282547687,-1.0832761197342022,-0.9668256635411666,0.24742021660706257,-1.979585827397499,-1.2439814894983876,1.5634483333327005,-0.7009975966522776,0.2122900237183352,-1.4517648912892007,-0.11071822234849676,1.9355498921693866,0.9448709316239613,-0.4496429443497579,-0.9099681577471812,-0.148694601436048,-0.5157436622312933,0.34353911458204434,-0.693971112545446,-0.5446947245574603,39.7542610168457,-0.001796330828539,0.0,0,1
2005-10-19,-0.4588508347985667,-0.0601380781304352,0.08817048771455788,-0.057795863027087856,-0.43185586032332246,0.12149950844104378,0.46577810201409875,-0.46720865455818045,-0.5188976558161383,3.4877815543722277,0.5702459615151946,1.2086458896046435,-1.4640773024558482,-0.9459970255160756,-0.4339035100720873,-1.736068660762224,-0.21736346739438042,-0.625034002551053,-0.4168801040087812,-0.04617470738729344,-0.3952215359373144,-1.0883360733503333,-1.1008062990903504,0.361508427598097,-0.17716842267325886,-1.2439814894983876,-1.4488897595086025,-0.8888207431558689,0.20190992463850277,-0.18044805319173202,-0.1107178707458889,1.868824432048037,0.9048197868673261,-0.43483667211226806,-0.3224892090430472,-0.2722619471544777,-0.6071716254618054,-0.2436905530156513,-0.8648871838308025,-0.5432127924254773,39.992523193359375,0.0059754857284991,-0.0124634692619344,1,1
2005-10-20,-0.45905691542229327,0.014030169961196444,0.093230786885423,-0.026140908039458143,-0.29669061886661985,0.9526154635304878,2.5297012923305475,-0.4672239687146251,-0.3236034607793052,4.381789261918404,0.5203293277423341,0.1546462138481672,-1.3854293665196478,-0.8284852925797649,-0.0493748902873259,-1.736068660762224,-2.8782354076458336,-0.82356502360974,-0.12884867593163835,-0.043701625268493804,-0.40789752305148747,-1.087735198429697,-0.9930835418474929,0.47559663858913137,-0.1464828672492167,-1.2439814894983876,-0.17974481209298787,-0.8052254758451481,0.06972074550254959,0.29951770253536303,-0.09735925705146349,1.7973166379922565,0.941376880350401,-0.17105180226418437,-0.4000831049474509,1.5647732305805535,-0.4730589617418566,-0.8735263156005825,-0.7485997431208044,0.02716214887137188,40.10371017456055,0.0027763366127329,-0.0276858706140814,1,1
2005-10-21,-0.45964373650299684,0.028588875926600258,0.1069866012227715,-0.03912787612345146,-0.2927530060839455,0.57245073532306,-0.379640667188901,-0.4675058564581739,-0.3287198924480844,-0.6915935388925519,0.7789862482564406,-1.5358380131821974,0.04469168159510169,0.876404859650425,1.8154609084149664,-1.736068660762224,-0.5665307703926991,-0.9650066271533672,-0.09554692866875439,-0.03875511968909206,-0.6510081019527211,-1.0972225752684726,0.3012092325004251,0.5896848495801658,-0.2702890160304031,-1.2439814894983876,0.2994009803320929,0.7811347382627143,-0.00258807084259522,0.10194715879396828,-0.08619517103608236,1.1259216752729349,0.9461481611662151,0.44249527571181363,-0.8349336632682464,-1.4495401163042665,3.4975661220872354,-2.5562029649869378,0.9426271195236922,-0.2588729735201128,39.66690444946289,-0.010951654139175,-0.0653640347788048,0,0
2005-10-24,-0.45981535886004804,-0.17630160104286752,0.10355637041226909,-0.09513222669291267,-0.6006487998400976,-0.8295739506662908,0.0844575389302842,-0.46765362264403415,-0.971300093562744,-0.8615600565890857,0.7327555135998661,-0.6905958996670153,-1.4765133601328746,-1.1476472785209553,-0.7113781199791219,-1.736068660762224,-1.4137187061299625,-0.9386585065702066,-0.42209325281589144,-0.04272318742676364,-0.8169479869880589,-1.0929848677341099,-1.244320766284934,0.9319494825532689,1.5702963684706994,-1.2439814894983876,0.10216796191098175,-1.0288376300906992,-0.01336906717397189,-0.7458553346767671,-0.1553714019865492,-0.6553678781822494,0.8159007665076428,0.09412381729716514,-0.755096851060878,-0.1795629636009553,4.393540378685864,0.751264176770515,-1.0788389817516042,-0.6662439397319903,39.82573699951172,0.0039961626264821,-0.0219668088245768,1,1
2005-10-25,-0.45981535886004804,-0.13694165043057227,0.1074903414117264,-0.034258542809057956,-0.508925220623602,-1.977212146136514,-0.4757194234729512,-0.46765362264403415,-0.791724960134468,-0.7459186707282938,0.6604074937780293,0.8324777605674285,-1.287748387800214,-1.102174357651935,0.2044502196354704,-1.736068660762224,-0.947711072741594,-0.2752930022298726,-0.1911981679124176,-0.040760575361316706,-0.8337397552253242,-1.09368061256271,-1.2356624245898427,1.0460376935443032,-1.4498423625814307,-1.2439814894983876,-0.7441861637882882,-1.0599801515106733,-0.448319500241027,0.17728021770598068,-0.10650883592319643,-0.7398269249971113,0.8327802815707754,-0.24511928620605933,-0.5134535799175488,0.29989701489313647,-0.6910023439640721,1.679832637176166,-1.0167804163086915,-0.646062467983245,39.26185989379883,-0.0142598000904735,0.0006451892975312,0,0
2005-10-26,-0.45981535886004804,-0.38625778714895576,-0.09522038042671765,-0.10811880491835399,-0.8219761243852771,-0.17676161981286562,0.34442148534097694,-0.4676342100939624,-1.3828211638820216,0.935912290612946,0.6087629072995416,1.2086458896046435,-1.1300116483091736,-1.029659736277252,-0.057843513973293945,-1.736068660762224,-1.4391718013985109,-0.5146035776781641,-0.8695759040689183,-0.04867026139360905,-0.778153464884255,-1.096937941416933,-1.1901881866941,1.1601259045353376,-0.1774108848140551,-1.2439814894983876,0.17737232342531678,1.6120122313694205,-0.3424974294311647,-0.9501572195601176,-0.12920126825604852,-0.7662343526501313,0.6744320301674654,-0.7512787412154743,-0.6050278621030084,0.10253466659432094,-0.8613427370662688,1.3456135683533632,-0.9658185068368015,-1.283782395561318,38.900482177734375,-0.009246915623648,0.0149049893880048,0,1
2005-10-27,-0.45964563260222707,-0.5548150694186499,-0.113698486448836,-0.08742355354435359,-1.0010045365724043,-0.14610954983787403,4.633773632945391,-0.46754345533501523,-1.616578583313742,-1.074323208550365,0.5482705629857587,0.1546462138481672,-0.8821257237076869,-0.9436621618372137,-0.051499713301470906,-1.736068660762224,-2.8782354076458336,-0.6656705894500323,-1.0831664058146149,-0.05842258334596358,-0.6847808072635531,-1.029925452752515,-1.1221827300503016,1.274214115526372,0.302975685658427,-1.2439814894983876,-0.9481390236711301,-0.6507851209524881,-0.3117235186971023,-0.6405754295327075,-0.15683582684967795,-0.8038149858302005,0.5663765815304347,-0.8503998975165918,-0.47070056793404424,-0.744374431474421,-0.7454469748104311,-0.18098020558016872,-0.8922359607829881,-1.7022096681196748,37.56620407104492,-0.0349018275519902,0.0378408338560769,0,0
2005-10-28,-0.45853125955700436,-1.1031822232932555,-0.10681294685305637,-0.18685307864466746,-1.781486182722275,-0.2697805958180889,4.633773632945391,-0.4671829156568402,-2.3073039514078264,-1.012609420126315,-0.07541036675632817,-1.5358380131821974,1.3067081152717286,-0.8287781565350059,-0.054498791485256194,-1.736068660762224,-2.5695736480431006,-1.2543862058907584,-2.322834297464327,-0.08696998327777865,-0.3743398150571657,-1.0058907695864798,-0.9137051393404101,1.3883023265174064,0.10523191997969929,-1.2439814894983876,-0.6390861165979005,-0.869889077159446,0.1697639935709784,-2.224951373229916,-0.22345045699814642,-1.2571304719181164,0.22406096493799657,-0.9559385373797473,3.506279001899394,0.17778834120519196,0.9400835106573824,-1.7476574107642497,-0.7899813098599479,-1.8993850295840942,38.80504989624024,0.0324455718150529,0.0752202320998419,1,2
2005-10-31,-0.4588221449509114,-0.6111595429805392,-0.22455403842079405,0.07611782057267022,-0.9677344260770717,1.568796259677617,2.281945687388492,-0.4670971783981,-1.236006560312171,-0.9619306382951927,-1.0261623445056907,-0.6905958996670153,0.47616152083915764,-0.8403668837877836,-0.29638897361683164,-1.736068660762224,1.350089123627721,-1.1446489383354037,-0.22847088370624033,-0.07720246709075797,-0.30785991056039613,-1.0037086893203613,-0.39250400603946634,1.7305669594905095,-0.7433138927511528,-1.2439814894983876,-2.2207553460870137,0.6769345167265222,0.34784079697306425,1.9342365329983315,-0.14622762455785113,-1.190372552516669,0.5048542681395572,-0.7695234345591978,4.403687152596208,-0.9484610275776851,-1.0745739042038764,1.0891858778235923,-0.8236848177470917,-0.7729857386134876,39.8514404296875,0.0266081607485902,0.0565381244126554,1,2
