Date,volume_lag_20,rolling_var_10,atr,day_of_month,high_low_range,High,roc_20,rolling_vol_20,Volume,dist_sma_50,return_lag_10,macd_hist,vma_10,dist_sma_10,volume_momentum,rolling_vol_5,momentum_5,macd_signal,rolling_var_20,month_cos,momentum_20,return_lag_20,month_sin,volume_change_ratio,price_diff_pct,volume_lag_1,macd,return_lag_1,week,vma_20,volume_lag_5,dist_sma_5,volume_ratio_20,return_lag_3,volume_lag_10,volume_lag_3,obv,dist_sma_20,vma_5,rsi,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.03445930649749011,-0.5897763155000522,-1.3989342534888813,0.24742021660706257,0.23481923791615603,-1.430252084396574,0.22801480179552827,0.028703515067219618,2.166699276043779,0.4211059279936609,0.5156959625352707,-0.4205473519787885,-0.04152817911784677,-0.5668665802157128,1.6939303360240574,0.9713885400403962,-0.28314891456553026,0.19478526321345835,-0.7713283805307852,0.691274609705019,0.038028594685129403,0.972225420267076,-1.2439814894983876,2.5663673542839525,1.5832338100839902,-0.30176436287350217,0.043484037670004784,0.4590914990285033,1.0284490953046395,-0.3118521518193895,-1.0130121266631282,0.6359120106029164,3.3436593472951803,-2.0211489188941947,-0.7937873415655653,-0.1160792219248771,-2.0304497554238985,-0.31866834388111454,0.5486463461904325,-0.04993889645951422,363.1740417480469,-0.0396477634912589,-0.0011868812203819,0,0
2005-10-19,-0.7318865708158712,-0.595732253576495,-1.3481969435157692,0.361508427598097,0.4517586575974144,-1.4466832165561196,-0.4337494985873117,0.3080071365067736,0.17525934047032457,-0.2423091384104344,1.0608695607843066,-0.4798516042414321,-0.057006066985892646,-1.525906338811861,1.3145017589708694,1.3589116108895123,-0.41240575521511136,0.15244297829138906,-0.7669645526860186,0.691274609705019,-0.13766658284961292,0.5378665963799109,-1.2439814894983876,-0.9468993656253811,-2.1606384021578116,2.1688438953044855,-0.015347583542655021,1.5688096913011702,1.0284490953046395,-0.24588119086628507,0.6096047477544505,-0.7844851807904449,0.42351899050552644,-1.0657708382677458,0.31531162848029465,0.05374725187525266,-2.0304497554238985,-1.1986670088818174,0.4483108701525357,-0.6783314000430073,368.3427734375,0.0141317809824545,0.0240335845639057,1,2
2005-10-20,-0.009448479613168538,-0.6165239039225688,-1.3858405543500367,0.47559663858913137,-0.5866703958642712,-1.4484911843992685,-0.32687226802696034,0.3399019086057806,-0.335547331249129,-0.06275287128752399,-0.4936008864505898,-0.4589133575270112,-0.06465717621823519,-0.7993306480489814,1.2592198188274675,1.1384235098779576,-0.07689008979108074,0.11193812130013278,-0.7649716425632015,0.691274609705019,-0.10943271773114367,0.31291860346539785,-1.2439814894983876,-0.6495042075561577,0.7522272755300152,0.1738216817942748,-0.04623099803280101,-2.194924281247101,1.0284490953046395,-0.26819493177322334,-0.11246785244810212,-0.0031689201571457252,-0.2613985956900835,0.46045738022857574,-0.27158251898538327,-0.29918185892896176,-2.0304497554238985,-0.8644484348061472,0.39588907501717324,-0.8224123416782061,391.91790771484375,0.062038444567034,0.0319160951651796,1,2
2005-10-21,-0.6713470116268574,-0.6171611681668681,-1.1218427938316269,0.5896848495801658,4.026661496016661,-1.396911295719615,0.8438756092080396,0.8364517561067397,-0.09175726212513186,0.879400045652611,-0.9799774895979668,-0.24776137297647327,0.019227588831536874,1.3140050940028962,1.0901490585446791,2.1144310227088603,0.4644080994746673,0.08996282694854747,-0.7681132320261883,0.691274609705019,0.19885246635048492,-1.3247523545968007,-1.2439814894983876,0.04511346064269152,3.0333861323131486,-0.3379038484040922,0.002339216824299681,0.7554072840283994,1.0284490953046395,-0.22607677121808406,0.0588324638337222,2.4339856277613143,0.03708522230578257,1.5700560257771128,-0.7447076168659036,2.1884176793724244,-2.0304497554238985,0.50398462737395,0.36163818321635843,-0.04559538856799625,383.3475036621094,-0.0221105006834101,-0.0650498868381723,0,0
2005-10-24,-0.7363090193341775,-0.6192879059786158,-1.0108753069417975,0.9319494825532689,2.422282249411923,-1.3763857035159037,0.37882129953534055,0.9181685653035098,-0.5261465574372163,0.4678210537160394,-0.9669482988602637,-0.17232452888204983,0.03902169413203694,0.5670210631242877,0.9461388189611172,2.500940885112195,0.2562878128916869,0.07460746435352189,-0.7715827756431411,0.691274609705019,0.07836014562931842,0.5937735281207301,-1.2439814894983876,-0.6586110225101554,-1.2279244623229901,-0.09367524042676446,0.012701359860968589,2.9599803964751232,1.094315458488415,-0.21127024835877115,-0.2971595493842944,0.8222992859201224,-0.563706088956423,-2.1932724906201755,-0.6844690554614985,0.17967496558866833,-2.0304497554238985,-0.06683854360264557,0.30703043162779303,-0.3510261966937894,377.41412353515625,-0.0155988425952016,-0.0264173085593181,0,0
2005-10-25,-0.6862127934864133,-0.6353564369624346,-1.0202043453107983,1.0460376935443032,0.06435937149264369,-1.4197766071961626,-0.09814682927097218,0.9084965163441213,-0.727410045950771,0.18795762189399592,0.901804910637562,-0.16545470871302312,0.07485582939133646,0.1677987412897864,-0.4632452046377181,2.4292066231580316,-0.039560949229810426,0.059854960232292864,-0.7718503956190036,0.691274609705019,-0.04792853923443066,1.0686932020184712,-1.2439814894983876,-0.529567074865586,-0.8774183428252798,-0.5288459317331556,0.001205877516914974,-1.2328346886917303,1.094315458488415,-0.2147566706364006,2.212028671735221,0.03637479669359015,-0.8338923392801247,0.75674124398788,-1.0181454117350437,-0.33556988897086115,-2.0304497554238985,-0.43424303064124375,-0.3901864034106398,-0.698743294349718,372.0081481933594,-0.0144272977069711,0.0001397965820516,0,0
2005-10-26,-0.7824594095171478,-0.6416198286748863,-0.9912350579199475,1.1601259045353376,0.45383060516284074,-1.4297735600387063,-0.3241395272656789,0.9366448239579155,-0.6137749221150811,-0.046458246028290705,-1.065346992932558,-0.19752787876816869,-0.08186429715568315,-0.204727503457098,-0.8637417464105825,1.9091261067866288,0.12469428954831124,0.04228788718880307,-0.7702228821919948,0.691274609705019,-0.10918271853284452,0.13011075174628706,-1.2439814894983876,-0.031554954948569185,-0.8141144243627283,-0.7304714606685667,-0.025644410290115525,-0.875606850711188,1.094315458488415,-0.20313609895278048,0.1858530437530978,-0.9244048469978224,-0.6866710667665633,2.9610768641635636,0.6210126693870408,-0.08966163118318642,-2.0304497554238985,-0.7501038782045316,-0.5802718183311601,-0.7368979379059244,380.2884521484375,0.0220142915837284,0.0145670942890227,1,2
2005-10-27,-0.48134708081947747,-0.6398972350655521,-0.5907377265324368,1.274214115526372,4.026661496016661,-1.3049182983837384,-0.24708531261551367,0.9701279322785642,0.646857064018485,0.28505628027697233,-2.027773655232051,-0.1477997556668631,0.01756175828242818,0.4563479008789554,-0.5020249808443006,1.9824668668221461,0.17975510939101824,0.029084686802822477,-0.770131880279606,0.691274609705019,-0.0887641725761231,0.8807880153348404,-1.2439814894983876,1.758569749714608,1.192484444307804,-0.6166319256479421,-0.02168347930706435,-0.8113362084491834,1.094315458488415,-0.1201714226123063,-0.33386337367959185,-0.1349993513995355,0.8938713837561438,-1.2312865411878164,-0.108420850280803,-0.5278251511150809,-2.0304497554238985,-0.2325050382903557,-0.3436018079791389,-0.3606892213916002,367.2351989746094,-0.034927537436318,0.0380974770237276,0,0
2005-10-28,1.641159100029838,-0.6435629038916619,-0.558167806737291,1.3883023265174064,0.5035655731226267,-1.4327513550627415,-0.9925786112963471,1.0364914159850305,-0.7049601118330451,-0.2747342292063356,-1.0698007186611012,-0.21128748516700946,-0.08063864970924801,-0.7479391253501698,-0.5713471136762135,0.46867848145123525,-0.4684024361875497,0.010310144697617474,-0.7681468945921393,0.691274609705019,-0.29974891022262323,1.27546475446935,-1.2439814894983876,-1.073687185186686,-1.9112012676703454,0.6462677332733524,-0.059930037353235,1.1878397277789101,1.094315458488415,-0.2856559959913745,-0.08582099611178483,-1.230402316692122,-0.766409974750583,-0.8740971863267686,0.0646257278480651,-0.730837332843718,-2.0304497554238985,-0.9593705248874873,-0.4913278620230311,-0.49386115498850325,373.3530883789063,0.016522077595444,0.1246050575401427,1,2
2005-10-31,-0.33626547975741666,-0.6472954577972873,-0.5449106786057316,1.7305669594905095,0.11732750811772914,-1.4406212372754734,-0.7383153994757032,1.0890947563830047,-0.3845693888541978,-0.02822102016801724,0.46057281407859524,-0.19614086521200602,-0.09170137990616513,-0.2539490666289136,-0.49503684177495416,0.754572874831752,-0.20848577322938935,-0.007135211495208152,-0.7690277383609331,0.691274609705019,-0.22740287617869218,-0.22383235389800735,-1.2439814894983876,0.3321367235262267,0.8853646624699109,-0.7079811427550583,-0.0712276192319318,-1.9359739301162002,1.1601818216721904,-0.28858775499813005,-0.5277871269979906,-0.13673470558352643,-0.3136848306882032,-0.8098334677547544,-0.294995322864034,-0.6162148815423555,-2.0304497554238985,-0.5293202830204318,-0.45722065513800375,-0.5043034053947346,377.4668884277344,0.0109582625461681,0.0950657943587779,1,2
