Date,day_of_month,day_of_week_sin,volume_lag_20,log_return,month_cos,volume_ratio_20,roc_20,rolling_vol_20,dist_sma_200,rolling_vol_10,volume_change_ratio,week,roc_5,volume_lag_10,rolling_var_10,vma_10,return_lag_10,dist_sma_100,dist_sma_20,macd,obv,volume_change,bb_pct,volume_lag_5,day_of_week,macd_signal,rsi,momentum_10,volume_ratio_10,volume_lag_1,return_lag_3,rolling_vol_5,price_diff,return_lag_1,open_close_diff,return_lag_20,dist_sma_5,volume_ratio_5,macd_hist,volume_momentum,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,0.24742021660706257,0.8324777605674285,-0.28634502786250404,-1.2302898126613808,0.691274609705019,-0.8036379327005296,-0.6077909259192003,0.9616989520909168,0.5573125272182797,0.5326427071528764,-0.4373262203089363,1.0284490953046395,-1.714384285045073,1.002647148623827,-0.3954471403009666,0.24341272688029386,2.3713368421795016,0.42586251946093245,-0.9741688935686107,-0.2478563198392101,-2.6720508004389805,-0.14327981505385626,-0.8392927773358504,0.26560893346740644,-0.7039887640569764,-0.2066146313089513,-0.378648167193477,-0.3204418129211909,-0.9163819570343134,-0.22042345418527645,-1.847339583466938,0.5484645706697227,-0.17702827685250097,1.2296667375656305,-1.7269465155235482,-0.442340096749409,-1.1289496195811148,-0.9180801238446399,-0.2011645578624949,-0.41700454131975306,59.69962310791016,-0.0152790724876437,-0.1032989807087171,0,0
2005-10-19,0.361508427598097,1.2086458896046435,-0.34962672786358945,-0.8096761307586705,0.691274609705019,-0.833848460054958,-0.6854038855184463,0.9749955799552364,0.4643356376754,0.0013823199751268461,-0.2922626624875898,1.0284490953046395,-1.7627119329338394,1.1817954474255783,-0.3957167367585923,0.06994562053561199,1.6959505129497074,0.2828973885159545,-1.1953517294637248,-0.27081560295690726,-2.677315608226536,-0.017654201988504644,-0.9868860068262887,-0.22470029870029992,0.004566198977244899,-0.22332141748268972,-0.5154099861812549,-0.40248780357815944,-0.8267030562592447,-0.32755798334266367,-1.7048113055515808,0.5436484150861868,-0.13365254716873712,-1.2284478077177035,0.8493178354582988,-0.39393953607152077,-1.0679691177549158,-0.9353444106866552,-0.22599279783991685,-0.4818845596117233,58.70876693725586,-0.0167366400244312,-0.0652216555702464,0,0
2005-10-20,0.47559663858913137,0.1546462138481672,-0.11192039829490562,-0.8817826395409621,0.691274609705019,-0.8081306112739335,-0.6548428755917547,0.9655940244049135,0.3645162660652817,-0.0015788843792613856,-0.21936558593023883,1.0284490953046395,-1.388247843139951,0.5661993536250877,-0.396219658738488,-0.03224947632177173,-0.6657690863308826,0.13434836120941054,-1.4410723649168824,-0.2942927624331633,-2.6827278232617804,0.03002686745018981,-1.1390449105394524,-0.2789496399224787,0.7131211620114661,-0.2417607068099183,-0.9720625159797268,-0.40562949671972176,-0.7068222809666509,-0.3480163912534979,1.2301992514328899,0.3413539777151217,-0.1394146604777083,-0.8092848508432732,-1.566152365990278,-1.0376877801911402,-1.241033376473775,-0.890588432616731,-0.24722716971754852,-0.4871873863103145,58.255489349365234,-0.0077507414908106,-0.0616507715933697,0,1
2005-10-21,0.5896848495801658,-1.5358380131821974,-0.25521523091674536,-0.43724627660894433,0.691274609705019,-0.6640258783873311,-0.14086121466501583,0.6243787377922767,0.3170106692912828,0.010222273011358397,-0.03169045302558086,1.0284490953046395,-0.8861423145625711,-0.15094889269978165,-0.39763855917300367,-0.04200285945626218,-0.6125354491188622,0.05724711406083707,-1.577287448466376,-0.3149809174758094,-2.6892950793735606,0.15327003680287205,-1.2480895818498852,1.36387496628219,1.4216761250456875,-0.26098324179181676,-1.1086723511200482,-0.3976986110637952,-0.49172907273538213,-0.33557696841954876,-1.2279047440648698,0.07636420314354951,-0.09621092044897733,-0.8811426594013613,-0.6053797124264343,-3.053941534248073,-1.2556314304167036,0.21492170339614142,-0.2568269961128398,-1.3436073592978444,55.60340881347656,-0.046593816790972,-0.0396793639304352,0,0
2005-10-24,0.9319494825532689,-0.6905958996670153,0.05301642021213682,-2.358830340175146,0.691274609705019,-0.771944836742017,-0.5542368116824009,0.8276976001451469,0.0531277911347198,0.10070399482875596,-0.3966796540184525,1.094315458488415,-2.2730469136132196,0.28225740377063263,-0.3991780028330421,-0.11017071807254711,0.08257120738137429,-0.3032077372712471,-2.304059592506119,-0.34522102955357453,-2.6912591124835927,-0.1062231567662551,-1.7092555223296468,-0.21912658414984276,-1.4125437270911976,-0.28289673276477323,-2.009371886409547,-0.4671248012586491,-0.5808097079251501,-0.23810520521353276,-0.8087435861624704,-0.31753309633971255,-0.2729227798600053,-0.4381395324420032,-2.1484275545393294,-0.23006105151431766,-2.2787037678403417,-0.03313430867731658,-0.2898086158607502,-1.372516365669216,54.66949081420898,-0.0169387099148594,0.0163211020812835,0,0
2005-10-25,1.0460376935443032,0.8324777605674285,-0.20315447842287493,-0.8917791261263531,0.691274609705019,-0.8021491613664508,-1.0452477616938505,0.69742177288642,-0.04046444867449919,-0.007703718663279247,-0.2972278759922302,1.094315458488415,-2.1467156455418626,0.26542825387699925,-0.39885271919465914,-0.17905162433209237,-2.0470925542932283,-0.4374705040003518,-2.508041941565913,-0.3732445797419173,-2.6912591124835927,-0.021517624225265843,-1.7124052579688833,-0.32622628644806956,-0.7039887640569764,-0.3064839473765476,-2.3186257982046063,-0.42365543990821336,-0.5400153410326759,-0.3196722777961423,-0.8806010863197666,-0.3081715060599345,-0.1348386932923033,-2.3530959226468693,-1.1853713436931195,1.7524475578529548,-2.1320332337777455,-0.11753562251212743,-0.310322558415744,-1.3717075536911725,55.93017578125,0.0227982526508268,0.0394328301833293,1,2
2005-10-26,1.1601259045353376,1.2086458896046435,0.4062651795580833,1.0740259346390608,0.691274609705019,-0.2832600995080061,-1.1243131106887767,0.6418697228062633,0.0829115524505765,0.35316885395220704,0.48052427232700684,1.094315458488415,-1.4277132601985336,-0.2247928934203945,-0.4011478372265341,-0.1556167970177303,-0.6807698559458611,-0.2863982035502773,-2.0792560656470083,-0.3872621831674492,-2.6910634398913746,0.48072726655368997,-1.3688145779003797,-0.3466780438224562,0.004566198977244899,-0.32838318959585655,-2.307361346255284,-0.37256385439764905,0.20481349517388053,-0.3427962763142514,-0.4375998606501622,0.5097859741751435,0.04153562492409023,-0.8911046674286162,0.8193917801961519,1.5100317330151245,-0.6279214842681047,0.8456473406469542,-0.28963397644775124,-1.1589945323765818,55.198638916015625,-0.0131657560475545,0.0166345775325026,0,0
2005-10-27,1.274214115526372,0.1546462138481672,-0.03350708393260564,-0.7051294345672133,0.691274609705019,1.2775475402834895,-1.255844923999801,0.64354230582395,0.008723830967793235,0.23912864273382067,1.2012706685896948,1.094315458488415,-1.3588706344370924,-0.2790324886580545,-0.40180231324761245,-0.0005251552041356826,-1.843672531533495,-0.39390173432557507,-2.2070151464968486,-0.4009946913597771,-2.6912591124835927,1.6156397437875982,-1.3697673403280581,-0.33424266474573905,0.7131211620114661,-0.34887043940255286,-2.3050343851195088,-0.33388405834116186,2.115777817501454,-0.01939349588663362,-2.3525480322065766,0.5030213424087812,-0.11857386768012988,1.0679201987661608,-2.7027532329403505,0.03807221820387144,-0.6573436956644559,2.537266927995467,-0.27232793465647837,-0.49123527245341075,55.98920822143555,0.0142206661721238,0.0745308862048037,1,2
2005-10-28,1.3883023265174064,-1.5358380131821974,1.2942087523963468,0.6496889491154627,0.691274609705019,-0.2555834812899347,-1.4198464331132254,0.5292476133099748,0.08334859612702405,0.24954254333952278,-0.8380063558857078,1.094315458488415,-0.9298338666814251,1.3634969813695037,-0.40215809558610477,-0.15615599205539005,-1.7013314558595927,-0.3050210741074061,-1.8803826023722294,-0.40605922451135973,-2.6912591124835927,-1.576545074521648,-1.1486441489337607,-0.23680258726603362,1.4216761250456875,-0.36635478112248043,-2.150692751278922,-0.2643025122545521,0.23119906995844722,1.0870487386830237,-0.8905630515918747,0.7359834606100648,0.003753697817366991,-0.7050987432758069,0.6095850562092961,1.5850705438850574,0.30315043880399273,-0.21054050225569693,-0.23552288359475848,-0.21188032384802194,56.51836395263672,0.0094066492207468,0.0555484443604047,1,1
2005-10-31,1.7305669594905095,-0.6905958996670153,0.15413826596527572,0.4115374077140754,0.691274609705019,-0.8140110634531031,-1.4042587584324184,0.5348573617958898,0.1321382432113131,0.0406168650632936,-0.7221115500426456,1.1601818216721904,0.20728969922914614,-0.21922018019704098,-0.4046589951220936,-0.17381588934023726,1.2298241429159025,-0.25129973212240636,-1.6261798524925195,-0.40569833278871653,-2.6912591124835927,-0.5201244590646048,-0.9926339031105212,-0.3183431443547935,-1.4125437270911976,-0.38026425893776644,-1.8297730529719374,-0.2904149765754144,-0.629834458755455,-0.008975479263201193,1.068453406820477,-0.10338988723859677,-0.01725540571214088,0.6450467801967791,-0.31480694082811694,0.32228906829024273,0.5695579527121335,-1.0385037837547566,-0.19170767355594234,-0.17404808084598958,56.86833190917969,0.0061730181871864,0.0164261623220536,1,1
