Date,price_diff,momentum_20,week,volume_lag_1,macd,rolling_var_20,volume_lag_3,year,return_lag_1,return_lag_20,vma_10,obv,vma_20,bb_pct,dist_sma_20,sma_200,momentum_5,return_lag_3,dist_sma_10,rolling_vol_20,volume_lag_10,bb_width,return_lag_10,rsi,open_lag_20,volume_change,rolling_vol_5,Volume,rolling_var_10,dist_sma_100,day_of_month,vma_5,open_close_diff,high_low_range,atr,dist_sma_5,macd_hist,rolling_var_5,volume_momentum,volume_change_ratio,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2018-09-05,0.24502234521186605,-0.7528579253105263,0.5773776632700954,-0.9763331176213113,-0.5595069360022517,-0.7883349281149158,-0.9877573430480414,-1.8168353149809304,-0.9449899587907628,-0.13554013304935011,-1.4404903891283987,-1.488384782859732,-1.6304961319892755,-1.2382444512933657,-0.4855875308630037,-1.242094966174785,-0.5655795483235039,-0.6335859625602444,-0.5118962692385238,-0.8885978345214387,-0.8999299770887588,-1.1285899274802969,-0.03709069606257528,-0.9979587213097155,-0.8019860901638963,0.13004364731934487,-0.7574425883429968,-0.8447582094650861,-0.6531301493387449,-0.708626946144585,-1.2255702009978802,-1.2649430198811944,0.767637613303378,1.4038944053589417,-1.245224826617922,-0.4991878770196044,-0.22400032112572596,-0.5113375668442197,-0.6952084403618389,0.5245314239634311,443.388916015625,-0.0035197199676494,-0.0421587578351666,0,1
2018-09-06,-0.17903734478119734,-0.6191652349509408,0.5773776632700954,-0.8437747878723265,-0.5821346362122564,-0.8088842533771294,-0.9974632091762452,-1.8168353149809304,0.3046202480505184,-0.9051223903907469,-1.4959370463777266,-1.491204531953652,-1.637559238763551,-1.5233810400268375,-0.5067908298476771,-1.2356903151271945,-0.6633400692452416,-0.21960162016292123,-0.5332828111335319,-0.9373257135286172,-0.6587152178406568,-1.2385943813072091,0.5988878999636105,-0.6900835443340503,-0.8387909110698142,-0.17970027119685617,-0.8104371685279832,-1.0145088992038411,-0.6492383433326564,-0.7345894817125705,-1.111469183597152,-1.3229553547432165,-0.7746592682277168,-0.3895414163933124,-1.2401224099541688,-0.38684755745128047,-0.24161750479049712,-0.6176896391999973,-1.0262355189594272,-0.786010278290279,440.99517822265625,-0.0054133575087032,-0.0642740729953473,0,1
2018-09-07,-0.26693691258148267,-0.43973150367770514,0.5773776632700954,-1.0134655817271327,-0.6124672703153117,-0.7983389269549162,-0.97432332739993,-1.8168353149809304,-0.2226993920290386,-1.2693862347112286,-1.4958593675809633,-1.4957312667201685,-1.6635968980956015,-1.6474871169318044,-0.5921269774831984,-1.2300490914798317,-0.5435862936284382,-0.9447679594585653,-0.6401876881496787,-1.0528819568941816,-0.9175157923206101,-1.1776255145844499,-0.6540771817083961,-0.8526780082998651,-0.9169382642189795,0.08591211156973946,-0.8609394979478836,-0.924982676658179,-0.6195459290409575,-0.7789980859550176,-0.9973681661964239,-1.3053379411413732,-0.29518926825207575,-0.6134382126106952,-1.217528535294006,-0.4325262701554061,-0.27698276420126994,-0.6494663764238285,-0.8414070926688749,0.4079521594119985,439.77386474609375,-0.0027732906125317,-0.0889165244062101,0,1
2018-09-10,-0.1428308634910247,-0.42096577936796165,0.6417855654620921,-0.9239709481679086,-0.6394914599249863,-0.7845615031537785,-0.8418594226324584,-1.8168353149809304,-0.33334612224309046,-0.2725842293349868,-1.483625355852493,-1.501765993992417,-1.6792943197479366,-1.5599225753010617,-0.6169912244948486,-1.2262114119382441,-0.5264753399548097,0.3049156898800788,-0.6555041510450563,-1.0528819568941816,-0.9147895858794693,-1.1053448399560883,-0.18929161886939655,-1.0385004426798268,-0.9885313847780332,0.07522050375382218,-0.8576377742060984,-0.8458930423204655,-0.5877978719429009,-0.7971396008134296,-0.6550651139942395,-1.2639539564195843,0.22479012388331532,0.2718242889371793,-1.1242370522391492,-0.3434075253350333,-0.29614113368484607,-0.7042703194961871,-0.5201374885923945,0.12277387879139161,435.7190246582031,-0.0092630542873407,-0.0917286089183715,0,1
2018-09-11,-0.44277158273720957,-0.49367774124445396,0.6417855654620921,-0.8449092203062579,-0.6853654408888474,-0.7588557315510348,-1.0114293410198154,-1.8168353149809304,-0.17908493800126518,-0.147171422755123,-1.48603020845784,-1.5057469016458422,-1.7281543359924645,-1.7497834961755272,-0.7861449306436529,-1.2231866474091062,-0.3749545475606305,-0.2224349420008127,-0.8594469403692245,-1.046417036854272,-0.9305267017452786,-0.9863882174572778,0.0643892347334897,-1.2321008548821435,-1.0298739170212807,-0.11615038073339422,-1.0940594909470265,-0.9536096536636423,-0.5352049616573185,-0.8746435788007845,-0.5409640965935114,-1.2575969043043638,-1.1499353929333997,0.17022637981465807,-0.9915884541457293,-0.675506312534383,-0.363507675113595,-0.6346529712144039,-0.2728751830463312,-0.5827025691038711,426.5835571289063,-0.0211893354589413,-0.1084923630193816,0,0
2018-09-12,-0.9805773837856087,-0.694221538728317,0.6417855654620921,-0.9525878242536338,-0.7844833467120836,-0.6912386396956886,-0.9219984569747512,-1.8168353149809304,-0.5582869314724879,-0.1157937665101528,-1.47680615705954,-1.5145614265518859,-1.7194017982252312,-2.0000166542672515,-1.2079478466597746,-1.2195280243968045,-0.9541652147673224,-0.3330881751804674,-1.363749365097354,-0.9247060480031368,-0.7503726988710488,-0.7316481334554372,0.5874634050435985,-2.03895572947905,-1.049032561409645,0.2539013906250326,-0.8675078533203521,-0.7001010854281112,-0.43409780702629064,-1.0637666904769447,-0.4268630791927833,-1.2188831942960274,-1.4983126319751723,1.2383323135637498,-0.899755185722413,-1.3572090959519285,-0.564394877029812,-0.3845357514316572,-0.039365355416062266,1.0457244735551827,415.78704833984375,-0.0256350351278301,-0.1173679690966149,0,0
2018-09-14,-1.1564055931131374,-1.0472244834883575,0.6417855654620921,-0.699168705550275,-0.9369370043217229,-0.5653594405203471,-0.842993046978646,-1.8168353149809304,-1.2551489162199305,0.48976098071153357,-1.4354017633374017,-1.526473132049256,-1.6906304162436943,-2.0000166542672515,-1.6849703424567624,-1.216270474603733,-1.4160632568679379,-0.1788179246501668,-1.9231231048949602,-0.8257717812335784,-0.7900045457673771,-0.3657223487294593,0.03208387038551245,-2.1597997205839237,-1.0581076763594073,0.16060522336326305,-0.6055083496314256,-0.5376633547930185,-0.22282525880121415,-1.288209759266192,-0.1986610443913271,-1.0912679092004292,-1.5799877897095935,0.9200814700257597,-0.8348882116094823,-2.035824834400337,-0.8723521199100616,0.1683042354866566,0.6781665348564048,0.1418830856660368,403.4761657714844,-0.030055808919566,-0.1423147870514216,0,0
2018-09-17,-1.3167084322514468,-1.1809179064547857,0.7061934676540889,-0.5367882904493814,-1.1410647394052715,-0.3209676328791577,-0.9505949484644992,-1.8168353149809304,-1.5149146428766262,-0.8873123120244121,-1.3163046427731604,-1.5440085754756503,-1.6198249207694801,-2.0000166542672515,-2.2350086559505593,-1.2143015049832548,-1.9121786262960883,-0.5580422047042399,-2.5592474060986845,-0.6789063671290682,-0.9827450407005458,0.16815773069332382,-0.6358156484843487,-2.210707501333581,-1.018781973093839,0.2963534030860512,-0.4585044439607475,-0.24271535291171262,0.2290407592894928,-1.5432378372807123,0.14364200781085723,-0.9086768374124046,-1.7080004260162596,0.9522510319783244,-0.6847472658218902,-2.6847810246281205,-1.2613779031359316,1.0474879934859451,1.3817120225505624,0.2683689219259971,401.2288818359375,-0.0055853751246931,-0.0571798815261219,0,1
2018-09-18,-0.25143415529101704,-1.2372121489566403,0.7061934676540889,-0.24194435984648258,-1.3061045185038882,-0.08399842663286206,-0.6973563472408336,-1.8168353149809304,-1.7732239309357058,-0.001842854322803485,-1.2738059403617763,-1.5521848258191133,-1.6112853232141733,-1.8604334528243243,-2.234783494917279,-1.2125728716725337,-1.9635038539507736,-1.2549451456508212,-2.373894829457459,-0.6880187710443051,-0.9924446278342264,0.5850893030559002,-0.2212324975086913,-2.210707501333581,-1.0651662700563878,-0.5086572655568481,-0.5527477832482898,-0.7335766508368704,0.5453101094144814,-1.5742797454994875,0.2577430252115854,-0.8786182817897498,-0.4817389445881482,-0.2533854684974567,-0.6038457137974511,-2.023939220658475,-1.4646858655651172,1.0337558138972176,1.5028117162636787,-0.7852921458625411,390.9208984375,-0.0260268083883508,-0.0173170222904442,0,0
2018-09-19,-1.104693124118388,-1.511640811874284,0.7061934676540889,-0.7326324592333562,-1.5005121000777437,0.24063671154500393,-0.5350916002214783,-1.8168353149809304,-0.34339724677767636,0.1317448819090947,-1.236680845500905,-1.56015917291964,-1.5946658135758927,-1.8480892356540057,-2.649878495220176,-1.2112018586458007,-2.2763237808411656,-1.5147261393432618,-2.832280615022844,-0.6115742358654301,-0.9693197158904867,1.0703053976365762,-0.9474477552783406,-2.210707501333581,-1.0606285587190578,-0.016649659623891564,-0.657950866156569,-0.744165863710772,1.0761317691530188,-1.7780320926014783,0.37184404261231346,-0.8225661087546366,-1.7412920777545924,1.0603710652374996,-0.5069100287103823,-2.2468627857516834,-1.708409839223534,0.8085586023408159,1.7153741964379434,-0.2520592405691355,379.3428039550781,-0.0300649415361747,0.0098242612202354,0,0
