Date,week,month_sin,day_of_week_sin,atr_pct,roc_5,price_diff_pct,rolling_var_20,volume_lag_20,rsi,macd,dist_sma_10,volume_momentum,volume_change,vma_20,dist_sma_200,rolling_var_5,volume_ratio_20,return_lag_5,open_lag_20,atr,volume_lag_5,volume_ratio_10,rolling_var_10,momentum_5,month_cos,dist_sma_20,volume_lag_10,bb_width,return_lag_20,obv,momentum_20,roc_20,volume_lag_1,Volume,volume_ratio_5,roc_10,price_diff,return_lag_3,momentum_10,High,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,1.0284490953046395,-1.2439814894983876,0.8324777605674285,-0.27843592889838487,-1.4135029095257416,0.31763276083230013,-0.24555277196385686,-0.8523074431624463,-1.6362040371083535,-0.6291964162798607,-1.5826588655693818,-0.18141859293484427,-0.3903798947317919,-1.4960210336127306,-0.10773465091913173,-0.08249571338843519,-0.6677583256269477,-1.074298261107115,-0.4192629307304457,-0.8156406057715343,-1.2946488855118277,-0.30162276748337247,0.36638249573000475,-1.0961714013248434,0.691274609705019,-1.5341729052477238,-0.9987757343128311,0.38162369996372925,1.3246935854850865,-1.552142725194527,-1.3559202311839038,-1.5333325176413843,-0.8962987487640768,-1.2338970255161277,-0.764185698824361,-1.6379606693234878,0.22680520616626784,-1.1859670569564202,-1.3569917310918898,-0.8409042110743776,89.68266296386719,-0.0295052325015498,-0.0652018789861341,0,0
2005-10-19,1.0284490953046395,-1.2439814894983876,1.2086458896046435,-0.2136971903827671,-1.6879126884169027,-1.1028772219922218,-0.21151847225087222,-0.5294437868444833,-1.762828064585244,-0.7740317477666517,-1.8021261960231734,0.0025346877368580107,0.006558339788366967,-1.5461528079831706,-0.22358176828288115,-0.3812697858208333,-0.5795682792353463,-0.4095152653724344,-0.30396473061528856,-0.8169103548345896,-1.2202888683438755,-0.2998134079126983,0.3336818553017857,-1.2991743274418441,0.691274609705019,-1.7695819556344954,-1.2450436072768967,0.46443526137734265,0.2131535814424476,-1.552142725194527,-1.5738902041036655,-1.7610590203017293,-1.2377278105488425,-1.2322894966836295,-0.7509856215172521,-2.00555530794884,-0.7723208007975361,-1.3236400878442265,-1.6843311168935626,-0.8891330192873385,86.82044219970703,-0.0324353692377823,-0.043073819604265,0,0
2005-10-20,1.0284490953046395,-1.2439814894983876,0.1546462138481672,0.05183657188508497,-1.699455437359448,-1.209207679222082,-0.06691336067816037,-0.48594823610972004,-1.8205036738562568,-0.9395114274005626,-2.0605835565318706,0.16310795231987407,0.08415628999187526,-1.5944181769198544,-0.3470373119799841,-0.38742860542057467,-0.24967689613718588,-1.1866995071943611,-0.30396473061528856,-0.6759402046872475,-1.1232188567481904,-0.046917559603313584,0.42133290684186553,-1.267599579310997,0.691274609705019,-2.042060847791801,-1.2649377337416132,0.7171378563689556,-1.254560579746852,-1.552142725194527,-1.5182385624316006,-1.7560223034548939,-1.2361191604805648,-1.1636678397093607,-0.42670506672478176,-2.1000701606652763,-0.8227843734682683,-0.731371571124942,-1.7264643733227667,-0.8882718071115111,87.56250762939453,0.0085108080764882,-0.0314204236174107,1,1
2005-10-21,1.0284490953046395,-1.2439814894983876,-1.5358380131821974,0.05064515490050158,-1.044673195457992,0.30528932362158173,0.10902873438051904,-0.2649859630806149,-1.6934510489974508,-1.0429168692482187,-1.5633931461609265,0.10484405975905853,0.10931061564843929,-1.6518482767911449,-0.31280947587073304,-0.4355220621358654,0.22335023800150283,-1.324675891822189,-0.41052807150155607,-0.6607002561425619,-0.8179506554833615,0.3071922334000492,0.37924871601218385,-0.7442956367801328,0.691274609705019,-1.8376659325219673,-1.1327508129817438,0.9891187943337174,-2.7077626002359603,-1.552142725194527,-0.9709953332479497,-1.223672828639853,-1.1674496405656813,-1.073322732586629,0.20433633700987505,-1.7967653480117243,0.20662326350569407,0.32831417529603923,-1.4380176548465853,-0.9942029118659725,85.51301574707031,-0.0236843159114215,-0.04879030357878,0,0
2005-10-24,1.094315458488415,-1.2439814894983876,-0.6905958996670153,0.12211879958674722,-1.108535639173201,-0.8907180093296889,0.3124756603249923,-0.8824536853921402,-2.206731121297807,-1.1556540085814384,-1.6447165777947974,-0.40845535778064507,-0.37255594391117575,-1.6889626423092963,-0.4017268013329395,-0.3540354138153966,-0.9415924419197825,-0.731102349213046,-0.5729939164137243,-0.6530803957082202,-0.890106801137236,-1.07204145929013,0.17648867579614594,-0.775874280983797,0.691274609705019,-2.030035413766371,-1.4462661648206674,1.2846171866045117,0.27416313092109673,-1.552142725194527,-1.1541830927049197,-1.4339744015811966,-1.077041518606414,-1.3991209293124345,-1.019855715575991,-2.0871716345085565,-0.5906637058089385,-1.1059024198172775,-1.6875724057573926,-0.9778395717363764,86.53775787353516,0.0119122305881313,-0.0539062135788641,1,2
2005-10-25,1.094315458488415,-1.2439814894983876,0.8324777605674285,0.09455901649741554,-1.0617232961108516,0.43391138540226787,0.40047382217173216,-0.983394503504214,-2.206731121297807,-1.209284809297592,-1.0823330497621115,-0.43940398203213216,0.07909241754422798,-1.714271834036387,-0.35539924996258426,-0.6358838187744775,-0.6399653866391628,0.33091834714222146,-0.5660061229841381,-0.6505402145541049,-1.2316824560095039,-0.7934872218882484,-0.06380832135096542,-0.748807289102742,0.691274609705019,-1.7450772311889469,-1.296468367377558,1.4283863137296742,1.225610099781276,-1.552142725194527,-1.3095432790228465,-1.5698822077761738,-1.4030669564165916,-1.3348724677152373,-0.5650586701346988,-1.694713085756223,0.2873575711624711,-1.2155040271462922,-1.3245830410142931,-1.0045376123703393,85.90170288085938,-0.0073771731196807,-0.0143945293689836,0,1
2005-10-26,1.094315458488415,-1.2439814894983876,1.2086458896046435,0.034032305649414334,-0.7205217312758799,-0.2897413034895326,0.47301233347815597,-1.135223754406666,-2.206731121297807,-1.2511827885158664,-0.9155004125707389,-0.6342930002416436,-0.1091087987538488,-1.7358976553767271,-0.3824913105312979,-0.7409988041114234,-1.0030536929566196,-1.1064584527354062,-0.4926343702680834,-0.7089602829307334,-1.2300731152648703,-1.1580469934983144,-0.3598338743389338,-0.48715775288281987,0.691274609705019,-1.7085730292510624,-1.2216823156835803,1.5526432694205452,-0.238390156108228,-1.552142725194527,-1.3072252324675988,-1.5767349382590081,-1.3387736821401675,-1.433155882183836,-0.9845206983476474,-1.6597316492786878,-0.18697691449129963,0.3160855373028923,-1.2824497845850893,-1.0105662519955687,84.13491821289062,-0.020781973250928,-0.0070173562493028,0,0
2005-10-27,1.094315458488415,-1.2439814894983876,0.1546462138481672,0.1296164463590246,-0.5377751180856921,-0.7844719147169185,0.5477713451952249,-1.370944340553151,-2.206731121297807,-1.3073672998064942,-1.0534151272668608,-0.512240975798697,0.5066159315351059,-1.7094924472398079,-0.45989667600019896,-0.6841675357447161,0.69717205585058,-1.2163015602135878,-0.525826428205922,-0.6784803858413646,-1.161374111987062,0.6572115295853239,-0.5112571647227334,-0.34730724508212574,0.691274609705019,-1.8350318106315682,-1.1240561560670035,1.6829555718435902,-0.04969561032939188,-1.552142725194527,-1.4138894187532136,-1.7029520486695917,-1.4371256483377324,-0.9996951479033137,1.4674530475356435,-1.5514999087104941,-0.5099206821328737,-0.8881713472303745,-1.1592934034416595,-1.0157336794449714,83.39285278320312,-0.008859071884881,0.0455652427642733,0,1
2005-10-28,1.094315458488415,-1.2439814894983876,-1.5358380131821974,0.15476317735800815,-0.8093911082566199,-0.3447603157657861,0.6235862820237182,-1.038637322742986,-2.206731121297807,-1.3523943074231486,-1.0019397287899494,-0.9366392336881,-0.5220278255438556,-1.739522277188421,-0.4920580416429374,-0.6798422552316205,-1.0865376872665589,0.3186627641254437,-0.5135977505568434,-0.677210181426305,-1.0709271731629852,-1.1297108040842532,-0.5550334183587996,-0.5367810583405194,0.691274609705019,-1.809411119529211,-0.8170389665906369,1.813668312528464,-0.5470192868556025,-1.552142725194527,-1.3628763734816605,-1.6665848370015197,-1.0033625793964276,-1.4545782985880076,-0.9310089467851507,-1.282841185829564,-0.21725418649181022,0.4433155637625167,-0.9194611196021089,-1.0708521850645512,81.02537536621094,-0.0288002259115057,0.0588287163775425,0,0
2005-10-31,1.1601818216721904,-1.2439814894983876,-0.6905958996670153,0.2285364478797763,-0.8884942438053498,-1.0772470107543781,0.7163494772608836,-1.2234049113615588,-2.206731121297807,-1.4226036019211692,-1.3449003200265133,-0.1788679766932267,0.792924394085458,-1.7072866783546985,-0.595188409805362,-0.4982875931554158,1.5940636899351162,-0.8882476236213007,-0.5398020150650945,-0.6797501349044193,-1.39709259049126,2.0176801446315804,-0.5087746374306898,-0.5773771630801795,0.691274609705019,-2.0249419704262492,-0.8896085200204137,1.9695656465961096,-0.05049795276201378,-1.552142725194527,-1.5089603683145707,-1.8415740871256077,-1.4585630066697064,-0.7738595897462556,2.2930495862177978,-1.3781333204511825,-0.6814824477815387,-0.2782035464728564,-0.9713133443019814,-1.1121911414764554,85.30101013183594,0.0514239147980118,0.0771867708254606,1,2
