Date,dist_sma_100,high_low_range,roc_10,momentum_10,macd_signal,vma_5,dist_sma_5,return_lag_10,volume_lag_5,roc_20,volume_ratio_20,volume_lag_20,open_close_diff,dist_sma_200,price_diff,High,volume_lag_3,rolling_var_10,volume_change_ratio,week,momentum_5,month_cos,month_sin,rolling_vol_10,price_diff_pct,return_lag_1,rolling_vol_5,volume_ratio_5,volume_change,rolling_var_20,volume_lag_10,bb_pct,macd_hist,atr_pct,return_lag_3,Volume,volume_lag_1,atr,return_lag_5,roc_5,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,1.7662783939255204,4.4999122580590525,0.20259080493427917,0.059742478299670186,0.252352772602924,0.698631454685551,2.6402689497114147,1.6068554048915582,-0.5521891535944785,0.9156504475523228,3.324316936759903,-0.7801617279206987,1.7234649067041474,2.011163596713536,0.5444963255506754,-1.516481597670456,-0.4245685087695718,-0.5510825264814366,0.08629656131419597,1.0284490953046395,0.8073524273898233,0.691274609705019,-1.2439814894983876,0.7305141740990294,1.4852612157213672,2.6409558065051804,0.3087609294990969,2.6353512970562414,0.8095006532462051,-0.5650222520153044,-0.13008523796727087,1.4397914703232482,0.1551032547259351,1.6469270487462853,0.021579048057568283,2.622624966967173,1.9293351984083462,-0.7754274318807437,-0.6144785345461834,2.3408680905634083,132.65933227539062,-0.0359197166435682,-0.0765729085363524,0,0
2005-10-19,1.2910596409773678,1.0049649750005671,0.0022652127931703818,-0.014699639663985036,0.2636472774238895,1.449515662986712,0.23634660710645602,-1.512014390281516,-0.7619497818076911,0.506406978867221,2.258666480625058,-0.9639512024925749,-1.7037000871884853,1.6653323837145844,-0.7994865897704251,-1.516481597670456,-0.6327669385111541,-0.5482944634206366,-0.3992657159106879,1.0284490953046395,0.3344508284675108,0.691274609705019,-1.2439814894983876,0.9405735597500787,-2.083172754976336,1.472087724708808,1.7197823995413013,0.9783262042841668,-0.5385130237563169,-0.5614488468353499,0.8907730287377945,0.5704151266382793,0.12465044617668826,1.8461664607148687,0.13977198369118238,2.1514147062676345,2.6432902147911586,-0.7584623386064989,0.7323770576293016,0.9796797642423527,129.85231018066406,-0.0213867016325014,-0.0236581392928134,0,0
2005-10-20,1.0066595421042424,1.5158597945736454,-0.3369626020398333,-0.13578092569520103,0.2645596624490626,1.5161291782994109,-1.0781502630085373,-0.23202273332113732,-0.4246905282411915,0.6113459282348248,-0.44902684721287395,-0.2995531501853735,-1.755913621338977,1.4624303886685532,-0.47045695843345575,-1.516481597670456,1.9473515757555886,-0.5499484853552379,-1.1853328281774504,1.0284490953046395,0.12259201377706082,0.691274609705019,-1.2439814894983876,1.0706711078476867,-1.2624069179207733,-2.112351305111857,2.0439743233079772,-1.2998893430033827,-2.64818478253551,-0.5693552488465221,0.032719233095066996,0.06068186537764153,0.0019304320481845227,1.9243954269576162,2.6446433436236267,-0.16594126131124484,2.1683973530058345,-0.7652482347149601,0.023219344147466126,0.38344288666150034,127.9982452392578,-0.0143811743418896,-0.0412726027327066,0,0
2005-10-21,0.8112177688388124,-0.6331073496880134,-0.4928047705750737,-0.19049038925842451,0.2532423618906641,1.5903146118654679,-1.8273666667065012,-0.37925759194512476,-0.635240002534083,0.6639660821399996,-0.6655183333707894,-0.7159119989279221,-0.7826848643285812,1.3239428900245234,-0.31710705122534055,-1.516481597670456,2.666128236001216,-0.5467184892668023,-0.4483120399807856,1.0284490953046395,-0.03882517785351992,0.691274609705019,-1.2439814894983876,1.1123579555858618,-0.8624819858740606,-1.268102014305111,2.1556226682593143,-1.4882816910902914,-0.20106945881928104,-0.5861502223076355,0.4945307414539059,-0.3369265363882934,-0.14262840729513535,1.93375806947433,1.4741027962011681,-0.3418591448292906,-0.16706920832303743,-0.7862234431162438,0.14154252241946144,-0.07018379848599074,126.35211181640624,-0.0129440070429873,-0.0605484042366498,0,0
2005-10-24,0.6378282603365001,0.42410862187196413,-0.2177575638159824,-0.09183462046698916,0.22975035245980643,1.18215186835738,-1.8949772423965427,-1.6293603103005034,1.9740140512380628,0.5791747597485619,0.04622877675407033,-0.8238508624830808,-1.1708226030507984,1.1996315142883982,-0.28364670207437653,-1.516481597670456,2.188028219423251,-0.5418612930436418,0.775909906749129,1.094315458488415,-0.5962172172331568,0.691274609705019,-1.2439814894983876,0.9472422537859646,-0.7800914297405548,-0.8611381845476566,0.8071673435173952,-0.640135132225271,0.7744187624006861,-0.6060746602853089,1.1754475779834461,-0.7919923043990532,-0.28653740413064954,1.9007545731783044,-2.115464999781855,0.33585974439817023,-0.344361924782732,-0.8201538650001279,2.6491741239261946,-1.5620753291183933,127.37445831298828,0.0080586911245941,-0.0117250363353639,1,1
2005-10-25,0.7021373158272802,1.2926890632467543,0.1305139346159098,0.027454977823777697,0.20181820989146754,0.7534521666496752,-0.6576782923818527,-0.6153718852757271,2.700907371886827,0.17252192996170732,0.6233904574712708,-0.6470644891696937,0.5012458712643084,1.2585937667660183,0.14576520443798544,-1.516481597670456,-0.16321074738474092,-0.5512298303221526,0.31923904406383985,1.094315458488415,-0.7765491846280627,0.691274609705019,-1.2439814894983876,0.9326171995396203,0.4375681738681635,-0.7776505206358687,-0.009073710085127541,0.4514273800409875,0.718749100912769,-0.6113758747687756,-0.5616364694486293,-0.6263883915696169,-0.33902121399623997,1.9219196609532847,-1.270007721571986,0.9648628530158471,0.33865347117533634,-0.7988703672316831,1.4773437000114464,-1.9944841947679373,129.5576934814453,0.0169950525999708,-0.0227017444348014,1,2
2005-10-26,0.8681378820521324,0.3212533803907926,0.20800299702821634,0.05525634809656194,0.17763913584887153,0.30799333084863584,0.5091912304194709,0.7311438995941552,2.2174084940381427,0.40731841455835627,0.012052492506378024,-0.43724987258359527,0.9959138417763966,1.3947707027118026,0.3325754607970624,-1.516481597670456,-0.34170079745597126,-0.5570241110133174,-0.5650846475977436,1.094315458488415,-0.26455760438155845,0.691274609705019,-1.2439814894983876,0.9660930314357896,0.9634718202235465,0.44243443898925416,0.04480592324222878,0.2633426148449833,-0.6125706042388414,-0.6184480719401031,-0.7783891153941599,-0.20160625633190288,-0.29465873007546217,1.9118244405861744,-0.8624615908458171,0.42884578827168296,0.9725723630939097,-0.7738852790387553,-2.116179618168321,-0.6805249289598453,124.60205841064452,-0.0390011650723945,-0.0396967970347722,0,0
2005-10-27,0.4019318497665868,2.057227922693823,-0.5490617320160289,-0.2066353242138536,0.14345768177639395,1.2203239634564889,-1.1293429059644777,0.02216510430760773,-0.16038142979964579,-0.2750354742688555,2.519315640506671,-0.7317360277290187,-2.4304171343508423,1.0412160328000477,-0.8162118534558884,-1.516481597670456,0.3459272938632341,-0.5341530175613302,2.186904959524714,1.094315458488415,-0.42093030055290337,0.691274609705019,-1.2439814894983876,1.392058118957421,-2.255673061360939,0.9615639404887297,0.6854563969520803,2.5133617942112347,3.3518031807451223,-0.6153353863709862,-0.4298878918668898,-1.3284671218420945,-0.41289009734240667,2.0599235839732306,-0.7788544692721516,3.361999514270973,0.4323662193137841,-0.7852983396793665,-1.2697906887902803,-1.125662986465358,120.47811889648438,-0.0336569758458328,0.0442037899197044,0,0
2005-10-28,0.01537913269599075,2.335942913642126,-1.217148371927678,-0.4389288047352737,0.09343876840516359,1.9052450612464418,-2.257722650163398,0.14045843002478384,-0.340887047712592,-1.3202320764964388,1.4592167419288267,1.4172011410952057,-2.058522676348366,0.7452387852282347,-0.6823753677420565,-1.516481597670456,0.9841273114334312,-0.457378518431336,-0.5508646589241786,1.094315458488415,-0.5861282263146811,0.691274609705019,-1.2439814894983876,1.6056639120958416,-1.956165019960016,-2.2913582523085076,1.021556121227051,0.6846157503732316,-1.2059781750737728,-0.5952938358746055,-0.647455678749357,-1.8502509352086156,-0.6000939889494193,2.3775336825631577,0.44297623924256524,2.30669937396412,3.3884431199487564,-0.7297754246536924,-0.861795462836522,-1.6038835456765796,124.87928009033205,0.0358793608582987,0.0905524943802555,1,2
2005-10-31,0.384666111373209,0.5337591388149052,-1.396395516432613,-0.5223396289526959,0.047259189245863524,1.8196511544417826,-0.25903920871675856,2.64745736419665,0.35450596421350633,-0.8354070756163291,-0.6081895868554386,-0.2769644235728852,2.1606530914732454,1.0326075918416597,0.6894842147773173,-1.516481597670456,0.4402729243073747,-0.4729003926212959,-1.1380445357323052,1.1601818216721904,-0.1460155702496979,0.691274609705019,-1.2439814894983876,1.3553689133844662,2.0903908823440798,-1.9809045741814266,1.9548304111629085,-1.2449510548391098,-2.630439546385793,-0.5920210504349245,2.048773470242055,-0.8960775586951573,-0.5547118167148929,2.2316956599694433,0.9628485330727297,0.004872026607334935,2.3248956009945148,-0.7189794134181923,-0.7780962104426613,-0.3744753190643729,124.51541137695312,-0.0029180169748435,0.0406499947854374,0,1
