Date,dist_sma_200,month_cos,volume_ratio_10,macd,rsi,momentum_10,volume_lag_5,week,return_lag_5,volume_lag_10,dist_sma_10,rolling_vol_10,high_low_range,return_lag_3,volume_lag_3,rolling_vol_20,obv,day_of_week,rolling_vol_5,bb_upper,month_sin,vma_10,momentum_5,rolling_var_5,day_of_month,macd_signal,atr,dist_sma_20,return_lag_10,bb_pct,volume_momentum,macd_hist,volume_lag_20,vma_5,volume_ratio_20,atr_pct,volume_change_ratio,return_lag_20,dist_sma_5,price_diff,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2018-07-19,-1.0518125473199091,-1.2653099160101677,0.15059564127991887,-0.8230716206790833,-1.9828866814369617,-0.7973993518873776,-1.0156279535988006,0.11042242838160338,0.1991890111210873,-1.0133214909813648,-1.5446389729749115,-0.5776100653947995,0.9221782476296192,-0.5073831544850312,-1.079186440130421,-0.7648188823349688,-1.5149965963651202,0.7045277856326463,0.002565375996351751,-1.3618084086096314,-0.6447550328463351,-1.304066747263839,-1.0071171961441896,-0.2977588077712643,0.3631905996500686,-0.7121841256234003,-1.679315245330089,-1.4716618578206764,0.054007812930430145,-2.311697766958168,-0.5162089149141067,-0.4367017566518962,-0.9498686104005353,-1.1464811743111947,0.18449186810951818,-0.8273623198079777,-0.43059135207204685,-0.11596641987508573,-1.7637352080509878,-1.0520877063428737,623.3408813476562,-0.0011051564796813,0.0603879329093389,0,1
2018-07-20,-1.056236015471452,-1.2653099160101677,0.9405893350570017,-0.9084178760381041,-1.8942438655040046,-0.875395538500259,-1.0517723638140066,0.11042242838160338,-0.3903246645345728,-0.9841147853583303,-1.3897396044443406,-0.6272546681092194,-0.7186135061500297,0.7433003260268917,-1.079186440130421,-0.8737779995926809,-1.5196853045641103,1.4121546670965213,0.050880043559771326,-1.361923975839197,-0.6447550328463351,-1.2895059939038247,-0.9196983425706653,-0.18143046748491146,0.4766100483668669,-0.7581793286428319,-1.679315245330089,-1.4007891255060463,0.2324711242795653,-2.014142841331262,-0.02401828205409394,-0.5673103968291044,-0.9802740303024391,-1.1086197461424525,0.9468768106859571,-0.9564773152916515,0.11498509752065515,0.8568568617574058,-1.344151714379895,-0.0917504349147708,642.7387084960938,0.0306447482810469,0.0919946152134423,1,2
2018-07-23,-0.8138982488888105,-1.2653099160101677,-0.499778779020748,-0.8687110460163154,-0.8453583211165856,-0.3860490743724308,-1.0763006946646938,0.1756568944802651,-0.5065084903632613,-1.0138183298679588,-0.17587710406662252,0.025308055087942607,0.9693538308711945,-1.507847305710845,-0.8962512566963423,-0.5348059757350004,-1.5176508049259283,-1.4183528587589787,0.9833161506911502,-1.3784316716343739,-0.6447550328463351,-1.2901496604398295,-0.19218817660182877,-0.2159693108728858,0.8168683945172616,-0.7866847572331512,-1.679315245330089,-0.5432534435807955,-0.34619497654378134,-0.8183815490095132,0.22255566801365387,-0.3553371038198925,-0.96756170003296,-1.0946905258947768,-0.34386973308305463,-0.8217440622457163,-0.5966894778525347,0.3709003714439665,0.4631203684292181,1.2364463333580207,644.609619140625,0.0029066134185289,0.0545548773857634,1,1
2018-07-24,-0.7885801776467631,-1.2653099160101677,-0.6356077614298066,-0.8211108966126921,-0.5670667486362925,-0.27065355468070457,-1.0763006946646938,0.1756568944802651,0.7449192183743345,-0.8358848492690888,-0.026303874797569644,0.027183313656588097,-0.677874814243798,-1.5526636102730347,-0.9715251166379281,-0.5331487380723408,-1.5160878229462664,-0.7107259772951037,0.8628384849243005,-1.39264860431843,-0.6447550328463351,-1.3163552448278022,-0.38332450087728154,-0.4007905096695658,0.9302878432340599,-0.7995502515866537,-1.679315245330089,-0.40785913139623375,-0.37610844529415755,-0.6382614007914015,0.38137364276695407,-0.16578358064195875,-0.9966513964648046,-1.0867009809917927,-0.5687602834415839,-0.8250468211118122,-0.38468552940249834,-0.5090124333861944,0.8100025298219445,0.07753354154872136,649.6314086914062,0.0077602465759858,0.0467769116213367,1,1
2018-07-25,-0.7244810303626376,-1.2653099160101677,1.4212767059402518,-0.751755811811316,-0.40211267835655523,-0.17770028398330698,-0.8934755643942174,0.1756568944802651,-1.5075679749981417,-0.8688255389469259,0.284467601036073,0.05919887359680363,-0.39444297433331316,-0.11616220121796031,-0.8757393993736794,-0.5272026511763258,-1.5111788090177494,-0.0030990958312286615,0.522644795802051,-1.4017458760842627,-0.6447550328463351,-1.3146105697433679,0.22268721683942339,-0.2772145468844373,1.043707291950858,-0.7953613966851097,-1.6768693034790585,-0.16759774282694226,0.026012898332099545,-0.22312932664408142,0.40869122989977796,0.04091242829592625,-0.9279832912099014,-1.0796951510816628,1.0512822081728848,-0.7777955739786395,1.1198188683572299,-0.6888260440964784,1.0722731609948295,0.28587560040895404,662.8751220703125,0.0201814811134585,0.0525541821369072,1,2
2018-07-26,-0.5594141835694113,-1.2653099160101677,1.422731029851131,-0.6241008418246555,-0.03759587070374058,0.05415438792935791,-0.9687041398461406,0.1756568944802651,-1.5524109478255999,-1.0100137566817278,1.0168943790478893,0.2289074520931664,0.5524323972918768,1.8684611665501187,-1.0274494155621674,-0.48365371217992015,-1.505636202150846,0.7045277856326463,-0.2333497313168935,-1.3979351599819398,-0.6447550328463351,-1.290734267748057,1.079103959413694,-0.13234832778759112,1.1571267406676564,-0.7653561231182681,-1.5190601821429996,0.3578220077222704,0.20070879658976584,0.7166048581052578,0.780107540077483,0.3538033292259377,-0.8932165418948737,-1.049094923778124,1.290072819986562,-0.6409993072153821,-0.1558746933522551,-1.1100415856642414,1.5455606423480228,0.8295247183568895,683.4053344726562,0.0305015258244221,0.0321571291173923,1,2
2018-07-27,-0.3054246892150377,-1.2653099160101677,1.2442640355846053,-0.4149619231520876,0.604335971235611,0.5776933926662635,-0.8729760469328504,0.1756568944802651,-0.11505473824625533,-1.046142722129092,2.0269861858330054,0.5075506998421301,0.6054866493383693,0.13460555213746495,-1.0544005574820166,-0.28337529264329725,-1.4996316189239247,1.4121546670965213,-0.27171515023023757,-1.3784919066225947,-0.6447550328463351,-1.2590583082717186,1.7177129113872072,0.09410425597686375,1.2705461893844545,-0.6976839734262362,-1.38053894932473,1.1519985688866012,-0.3904012213116701,1.7817863158670388,0.8097950553635456,0.8103198956338077,-0.9773278948622653,-1.0331775677916257,1.3463991451425916,-0.5505999596954053,-0.18486521608800588,0.7010768238825332,2.259880379171102,1.3113217831107307,678.77734375,-0.0067949895466319,-0.006142388711477,0,1
2018-07-30,-0.3627172975502726,-1.2653099160101677,-0.7895876357274999,-0.2730212566798622,0.5630852442662126,0.5808975359890093,-1.0245947949086398,0.24089136057892685,1.870749593970973,-1.0706605718466449,1.5546897556846446,0.5022411679221234,0.05370458606434007,0.4379965026129333,-0.8631471011321366,-0.28584282770397845,-1.5014025283039942,-1.4183528587589787,-0.05484383228600157,-1.3641372634666908,-0.6447550328463351,-1.2527319696144197,0.9946461529280755,0.1191176139064767,1.6108045355348493,-0.6139092294112772,-1.2985660920063746,0.9223499765772122,-0.5068996609603688,1.2822497809008375,0.7775800150792829,1.005480785698848,-1.010870252714434,-1.036366062051255,-0.5564122499406217,-0.4510867593693187,-0.6848257823482059,-0.5102197607132298,1.2118597827122337,-0.3521860800094658,675.4788208007812,-0.0048713523458978,-0.0039972463115304,0,1
2018-07-31,-0.4035058984806093,-1.2653099160101677,0.37509293595886567,-0.17854763497879794,0.4362231176220372,0.33088296124259325,-1.0515297231162042,0.24089136057892685,0.13586223626947444,-1.0706605718466449,1.2338857431791599,0.5045076040218407,1.023037577685511,1.2144231566571975,-0.8269320137577538,-0.2761982763847258,-1.5061637313523983,-0.7107259772951037,0.10903098679684935,-1.3543375569568108,-0.6447550328463351,-1.2252392780023447,0.8390699468751827,-0.1754074941135905,1.7242239842516476,-0.5271634663847344,-1.0789479700623867,0.7559316928380962,0.747916784971102,0.9824240198521899,1.1058413352404257,1.041489065052644,-1.0477557237410415,-0.9976790878370578,0.677795502715446,-0.20845353060854585,0.8330438241546791,0.03389540730848245,0.3890791521209656,-0.26427916217873615,684.685302734375,0.0135375170915564,0.0001456470639917,1,2
2018-08-01,-0.29019045977259633,-0.7516885449227322,-0.619108721755738,-0.05839103315122303,0.5737733900707611,0.8586937155519896,-0.8603913241736859,0.24089136057892685,0.4394337217182401,-0.8879135640763235,1.4944915511698451,0.20160785302998632,0.2492491884007721,1.8595086157834686,-0.8005262361214593,-0.27172687642866106,-1.5039153925125777,-0.0030990958312286615,0.11651013224713218,-1.3355754622310323,-1.1684847911925527,-1.240069693763759,0.9650099657591729,-0.48457450639640864,-1.6783594772522998,-0.4326783157161564,-0.9360426154345389,1.063724181062047,-1.510669911455057,1.2341253913840862,0.6761589961209014,1.1352892161641588,-1.0030292642547203,-1.0298636886936947,-0.39771750560168184,-0.08931964952744878,-0.5723986228623182,-0.6315573924930852,0.5702741407328966,0.5625753571030356,684.5377197265625,-0.0002155719060562,-0.0264485014967876,0,1
