Date,Adj Close,Close,High,Low,Open,Volume,daily_return,pct_change_1d,log_return,price_diff,price_diff_pct,high_low_range,open_close_diff,typical_price,weighted_close,sma_5,dist_sma_5,sma_10,dist_sma_10,sma_20,dist_sma_20,sma_50,dist_sma_50,sma_100,dist_sma_100,sma_200,dist_sma_200,ema_5,dist_ema_5,ema_10,dist_ema_10,ema_20,dist_ema_20,ema_50,dist_ema_50,rsi,macd,macd_signal,macd_hist,roc_5,roc_10,roc_20,momentum_5,momentum_10,momentum_20,vol_std_20,vol_ann_20,atr,atr_pct,bb_upper,bb_lower,bb_mid,bb_width,bb_pct,hist_vol_21,volume_change,volume_change_ratio,vma_5,volume_ratio_5,vma_10,volume_ratio_10,vma_20,volume_ratio_20,obv,volume_momentum,year,month,quarter,week,day_of_week,day_of_month,month_sin,month_cos,day_of_week_sin,day_of_week_cos,trading_day_number,close_lag_1,open_lag_1,volume_lag_1,return_lag_1,close_lag_3,open_lag_3,volume_lag_3,return_lag_3,close_lag_5,open_lag_5,volume_lag_5,return_lag_5,close_lag_10,open_lag_10,volume_lag_10,return_lag_10,close_lag_20,open_lag_20,volume_lag_20,return_lag_20,rolling_mean_5,rolling_max_5,rolling_min_5,rolling_median_5,rolling_var_5,rolling_vol_5,rolling_mean_10,rolling_max_10,rolling_min_10,rolling_median_10,rolling_var_10,rolling_vol_10,rolling_mean_20,rolling_max_20,rolling_min_20,rolling_median_20,rolling_var_20,rolling_vol_20,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2018-09-05,444.9522399902344,455.3999938964844,462.0499877929688,441.5,450.3999938964844,951095,0.005519940993734096,0.005519940993734096,0.00550476195210388,2.442626953125,0.005519940993734205,0.04512513849009837,0.011101243489690526,452.9833272298177,453.5874938964844,448.83115234375,-0.008642252956953422,450.8829833984375,-0.013153619955894924,452.92015838623047,-0.01759232449353998,460.6848449707031,-0.03415047217685063,471.14180847167967,-0.0555874431233363,444.1728939819336,0.0017546005595119318,447.4956768328481,-0.005683712657549966,450.0877883051446,-0.01141010364722117,454.2147299314975,-0.020392315200037814,460.2733288184838,-0.0332869359768867,34.772128906615734,-5.0264920597480796,-4.351125205593318,-0.6753668541547615,-0.023270765216926503,-0.01492537010914119,-0.06180474822116888,-10.60107421875,-6.74169921875,-29.311767578125,0.009071353687588093,0.14400327547240085,8.792857578822565,0.01930798791539124,463.0666225675043,442.77369420495666,452.92015838623047,0.044804648207428,0.10735492415665432,0.14041178319608358,397056.0,1.716657130635208,719092.2,1.3226328974226116,838929.1,1.1337012865568736,964442.25,0.9861606539945756,79922811.0,0.7456042080280079,2018,9,3,36,2,5,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,200,442.5096130371094,461.9500122070313,554039.0,-0.015881122597148904,451.1565246582031,465.0,513771.0,-0.010555922604581795,455.5533142089844,463.3500061035156,1210750.0,0.0103482014355975,451.6939392089844,463.4500122070313,762167.0,-0.00032445011546660866,474.2640075683594,489.5,1237540.0,-0.002058021934111206,448.83115234375,455.9441223144531,442.5096130371094,449.59326171875,27.89758228902748,0.1365213079742426,450.8829833984375,456.4815368652344,442.5096130371094,451.00999450683594,20.740724814684214,0.14306792795994627,452.92015838623047,467.1315002441406,442.5096130371094,451.76722717285156,25.737683845468087,0.14400327547240085,443.3889465332031,-0.003519582553452767,-0.04215868924898067,0,1
2018-09-06,443.3889465332031,453.7999877929688,460.0,450.7999877929688,460.0,442815,-0.0035133960828370725,-0.0035133960828370725,-0.003519582553452767,-1.56329345703125,-0.0035133960828370265,0.020273275571854783,-0.01347828740658955,454.8666585286458,454.59999084472656,446.3201171875,-0.006567417737671666,449.5737243652344,-0.013756982441008425,451.73303070068357,-0.018471273075909345,460.41126831054686,-0.03697199210568014,470.74170288085935,-0.05810565790169431,444.7123252868652,-0.002975808580993222,446.1267667329665,-0.00613686602983432,448.86981707388253,-0.012210378894282559,453.18370293929286,-0.02161321411728212,459.61098292861976,-0.03529514523793709,39.83511085139815,-5.261648863908533,-4.533229937256361,-0.7284189266521723,-0.027536654530203597,-0.028681533150149097,-0.0508262741830271,-12.55517578125,-13.09259033203125,-23.7425537109375,0.008625898275117597,0.13693189002301304,8.81786019461497,0.019431160052471898,460.3134528742372,443.1526085271299,451.73303070068357,0.0379889075644725,0.013771933437123405,0.14036167847858622,-508280.0,0.4655844053433148,589279.6,0.7514514332415376,734643.8,0.602761501560348,953264.15,0.46452496928579556,79479996.0,0.6181703151219942,2018,9,3,36,3,6,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,201,444.9522399902344,450.3999938964844,951095.0,0.00550476195210388,449.59326171875,462.1000061035156,484678.0,-0.003471029430409402,455.9441223144531,469.9500122070313,1091878.0,0.0008575079067842317,456.4815368652344,464.7000122070313,1485668.0,0.01054342939876269,467.1315002441406,485.8500061035156,666377.0,-0.015153341496247417,446.3201171875,451.1565246582031,442.5096130371094,444.9522399902344,14.771775914180171,0.12858298754095565,449.5737243652344,455.9441223144531,442.5096130371094,450.54591369628906,21.593524309869718,0.12635135402237063,451.73303070068357,457.3609008789063,442.5096130371094,451.62066650390625,18.40591116910276,0.13693189002301304,440.9951477050781,-0.0054134955383304375,-0.06427406842622567,0,1
2018-09-07,440.9951477050781,451.3500061035156,455.0,447.25,454.0,710881,-0.005398868976869586,-0.005398868976869586,-0.0054134955383304375,-2.393798828125,-0.005398868976869591,0.017170709859750315,-0.005836990961419328,451.2000020345052,451.2375030517578,444.287841796875,-0.007411173077525479,448.51849975585935,-0.01677378314356348,450.91962890625,-0.022009423775240622,460.07222839355467,-0.041465403715169824,470.35136810302737,-0.06241338367175531,445.18745666503906,-0.009416952111288346,444.41622705700365,-0.007697917275839572,447.4380590068272,-0.014399560278913981,452.02288815315575,-0.02439642048466617,458.8807242783584,-0.038976526201677686,37.161209614170936,-5.576884992527937,-4.741960948310676,-0.834924044217261,-0.022522952451642486,-0.023369077617689027,-0.035576964147467915,-10.161376953125,-10.55224609375,-16.268035888671875,0.0074606532823651974,0.11843419921929638,8.92857360839845,0.01978192863112693,460.33629277896796,441.50296503353206,450.91962890625,0.041766484619704815,-0.026963759953521987,0.13381802374194696,268066.0,1.6053679301740005,628701.6,1.1307128850952504,734789.9,0.9674615832362421,912056.85,0.7794261947596798,78769115.0,0.6893228201728873,2018,9,3,36,4,7,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,202,443.3889465332031,460.0,442815.0,-0.003519582553452767,442.5096130371094,461.9500122070313,554039.0,-0.015881122597148904,451.1565246582031,465.0,513771.0,-0.010555922604581795,451.5473937988281,467.0,709420.0,-0.010867917231829748,457.26318359375,478.1000061035156,1535027.0,-0.02135168392740253,444.287841796875,449.59326171875,440.9951477050781,443.3889465332031,10.8502125265185,0.12101747429138549,448.51849975585935,455.9441223144531,440.9951477050781,449.9108123779297,28.10037061195524,0.11951436289999441,450.91962890625,457.3609008789063,440.9951477050781,451.3519592285156,22.16838962293774,0.11843419921929638,439.7738952636719,-0.0027731520171210508,-0.08891645520459372,0,1
2018-09-10,439.7738952636719,450.1000061035156,457.0,443.75,449.0,947697,-0.0027693103830316312,-0.0027693103830316312,-0.0027731520171210508,-1.22125244140625,-0.0027693103830316525,0.029437902289103094,0.002449902235001392,450.28333536783856,450.2375030517578,442.3239685058594,-0.005765170833499034,447.4730529785156,-0.017205857790979495,450.1453125,-0.023040153808839503,459.8641168212891,-0.043687299840845406,469.9307452392578,-0.0641729665085694,445.51068511962893,-0.012876884994164839,442.86878312589306,-0.006988272779979154,446.0445746898899,-0.014058414297668964,450.8563174000249,-0.024580829210207322,458.13121410662313,-0.04007000238730485,34.10554683247746,-5.857732450716355,-4.965115248791812,-0.8926172019245433,-0.021840555211036006,-0.023220366888737742,-0.034016431327405394,-9.819366455078125,-10.4544677734375,-15.486328125,0.007439972167893751,0.11810589670493375,9.385716029575905,0.020852512557881068,460.5537574808445,439.73686751915545,450.1453125,0.04624482224656971,0.0017787356605413684,0.11548345919887663,236816.0,1.333130298882654,721305.4,1.3138637254067418,757799.9,1.250590030428877,887214.05,1.0681717675683788,77821418.0,0.8130004253201355,2018,9,3,37,0,10,-1.0,-1.8369701987210297e-16,0.0,1.0,203,440.9951477050781,454.0,710881.0,-0.0054134955383304375,444.9522399902344,450.3999938964844,951095.0,0.00550476195210388,449.59326171875,462.1000061035156,484678.0,-0.003471029430409402,450.2283630371094,463.0,717597.0,-0.002925409543139148,455.2602233886719,471.0,1444553.0,-0.004389944206230488,442.3239685058594,444.9522399902344,439.7738952636719,442.5096130371094,4.0862728368603936,0.12151208996608696,447.4730529785156,455.9441223144531,439.7738952636719,447.2727508544922,35.05758012769253,0.11949680260280202,450.1453125,457.3609008789063,439.7738952636719,451.00999450683594,27.083931729817028,0.11810589670493375,435.7190551757813,-0.009263053641555946,-0.091728602251896,0,1
2018-09-11,435.7190551757813,445.9500122070313,455.75,443.25,454.7999877929688,625164,-0.009220283722069178,-0.009220283722069178,-0.009263053641555946,-4.054840087890568,-0.00922028372206913,0.0280300474444138,-0.019459049743787878,448.31667073567706,447.7250061035156,440.9658569335937,-0.01189843085425668,445.9586120605469,-0.022960778439626517,449.21954956054685,-0.030053220965054916,459.6647967529297,-0.05209392093173337,469.36844848632813,-0.07169078667103246,445.7654460144043,-0.022537392542306578,440.48554047585577,-0.010820980173208983,444.16720750550655,-0.01902020722594766,449.4146733767102,-0.030474345882002152,457.25205486804293,-0.04709218791477221,30.921799294842998,-6.334477826684292,-5.238987764370308,-1.095490062313984,-0.015345560099184974,-0.03358979020696917,-0.040761470940954614,-6.790557861328068,-15.1444091796875,-18.515258789062443,0.007628616099484058,0.12110052628091034,10.035714285714297,0.022504123805372245,461.2620263985461,437.1770727225476,449.21954956054685,0.0536151057975099,-0.06053644804055744,0.11803575321198442,-322533.0,0.6596665389887274,735530.4,0.8499499136949336,753276.8,0.8299259979863975,809888.0,0.7719141412145877,77196254.0,0.9081877988067486,2018,9,3,37,1,11,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,204,439.7738952636719,449.0,947697.0,-0.0027731520171210508,443.3889465332031,460.0,442815.0,-0.003519582553452767,442.5096130371094,461.9500122070313,554039.0,-0.015881122597148904,450.8634643554688,461.9500122070313,670395.0,0.0014096264203434872,454.23431396484375,466.8999938964844,2171685.0,-0.002256000045762241,440.9658569335937,444.9522399902344,435.7190551757813,440.9951477050781,12.678293084923443,0.08609635873866057,445.9586120605469,455.9441223144531,435.7190551757813,444.17059326171875,46.582720361195896,0.12207886605423926,449.21954956054685,457.3609008789063,435.7190551757813,450.7901916503906,36.255312098436946,0.12110052628091034,426.5835571289063,-0.021189405498520556,-0.10849235499309873,0,0
2018-09-12,426.5835571289063,436.6000061035156,447.7999877929688,429.1000061035156,447.7999877929688,1384238,-0.020966487323326954,-0.020966487323326954,-0.021189405498520556,-9.135498046875,-0.020966487323326916,0.04283092402206589,-0.025011125490765455,437.8333333333333,437.5250015258789,437.2921203613281,-0.02448835168484964,443.06163635253904,-0.03719139250982528,447.8760955810547,-0.04754113618081002,459.239775390625,-0.07110929847908243,468.7914956665039,-0.09003563189129216,446.07359313964844,-0.04369242275375074,435.85154602687265,-0.02126409549868824,440.97018016430656,-0.03262493402624134,447.2402813504376,-0.04618708350499767,456.04903863063055,-0.0646103357441552,17.65320778015871,-7.364566083741522,-5.664103428244552,-1.7004626554969704,-0.041282369680240794,-0.06359246256473994,-0.05925443456293977,-18.368682861328068,-28.969757080078068,-26.869079589843693,0.008741259850472532,0.1387631982584638,10.48571123395649,0.024016745504740974,463.41702750763505,432.33516365447434,447.8760955810547,0.06939835405333807,-0.18504702783398735,0.13532829533893215,759074.0,2.2141997939740614,822159.0,1.6836621626716972,770625.6,1.7962522916446066,823739.8,1.6804311264309433,75812016.0,0.9980809474059648,2018,9,3,37,2,12,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,205,435.7190551757813,454.7999877929688,625164.0,-0.009263053641555946,440.9951477050781,454.0,710881.0,-0.0054134955383304375,444.9522399902344,450.3999938964844,951095.0,0.00550476195210388,455.5533142089844,463.3500061035156,1210750.0,0.0103482014355975,453.45263671875,465.0,1107202.0,-0.0017223502855065636,437.2921203613281,443.3889465332031,426.5835571289063,439.7738952636719,43.54769203133212,0.12003579733524032,443.06163635253904,455.9441223144531,426.5835571289063,442.94927978515625,68.7393605566388,0.12512967287222468,447.8760955810547,457.3609008789063,426.5835571289063,450.6680603027344,60.38014128665136,0.1387631982584638,415.7870788574219,-0.025634961730697795,-0.11736812999372573,0,0
2018-09-14,415.7870788574219,425.5499877929688,438.4500122070313,422.1000061035156,437.0499877929688,1870621,-0.02530917587201309,-0.02530917587201309,-0.025634961730697795,-10.796478271484432,-0.025309175872013086,0.03842088255791468,-0.026312779593183667,428.7000020345052,427.9124984741211,431.77174682617186,-0.03702110683769522,439.0459320068359,-0.052975899453389985,445.79740447998046,-0.06731830495416502,458.5802606201172,-0.09331666763158986,468.1266076660156,-0.11180635313499487,446.34796020507815,-0.06846873755985095,429.16339030372245,-0.031168342287617,436.39143447214565,-0.047215307146545094,444.2447382525339,-0.06405851762488424,454.4697219483053,-0.08511599612192311,15.66598025622605,-8.948946027824888,-6.32107194816062,-2.6278740796642683,-0.0622520427980815,-0.08807448433195497,-0.09089937933389669,-27.60186767578125,-40.15704345703125,-41.57382202148443,0.009645664803941238,0.15312018180670264,10.80356924874444,0.025387309502169237,466.31977744898086,425.27503151098006,445.79740447998046,0.09207040132025715,-0.23116119826615544,0.15624081561326267,486383.0,1.3513723796052413,1107720.2,1.6887125467243445,848499.9,2.2046213558775904,869273.5,2.151936070753336,73941395.0,1.2743057277140049,2018,9,3,37,4,14,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,206,426.5835571289063,447.7999877929688,1384238.0,-0.021189405498520556,439.7738952636719,449.0,947697.0,-0.0027731520171210508,443.3889465332031,460.0,442815.0,-0.003519582553452767,455.9441223144531,469.9500122070313,1091878.0,0.0008575079067842317,457.3609008789063,464.1000061035156,959947.0,0.008581972019181745,431.77174682617186,440.9951477050781,415.7870788574219,435.7190551757813,111.77841725043415,0.15928220914954672,439.0459320068359,451.1565246582031,415.7870788574219,441.75238037109375,115.03760812047818,0.1494125919566257,445.79740447998046,456.4815368652344,415.7870788574219,450.4237823486328,105.29194806968962,0.15312018180670264,403.4761657714844,-0.030055882316698396,-0.1423148604485539,0,0
2018-09-17,403.4761657714844,412.9500122070313,425.2999877929688,409.25,425.0,2753776,-0.029608695680894526,-0.029608695680894526,-0.030055882316698396,-12.3109130859375,-0.02960869568089453,0.03886666017319838,-0.028352912454043984,415.8333333333333,415.1125030517578,424.2679504394531,-0.04900625806505721,434.27789611816405,-0.07092631382348491,443.44025268554685,-0.0901228218954716,457.6608489990234,-0.11839484051574323,467.28047546386716,-0.1365439239228743,446.51379653930667,-0.09638589244360263,420.6009821263098,-0.04071511261874017,430.4068401629345,-0.06257027509426949,440.3620170599565,-0.08376256320819331,452.4694680681919,-0.10827979732175808,12.935658003991009,-11.070354082045412,-7.27092837493758,-3.799425707107832,-0.08507799264649762,-0.1056847375150819,-0.10461834674374526,-37.51898193359375,-47.68035888671875,-47.143035888671875,0.01098826300948049,0.1744332675819333,11.539282662527926,0.02794353389374097,471.1882208025624,415.6922845685313,443.44025268554685,0.12514862125830617,-0.2201263664699793,0.17305796882737218,883155.0,1.4721186172934015,1516299.2,1.8161165026005421,1072500.4,2.56762235240192,981330.55,2.806165567758998,71187619.0,1.5451462302890702,2018,9,3,38,0,17,-1.0,-1.8369701987210297e-16,0.0,1.0,207,415.7870788574219,437.0499877929688,1870621.0,-0.025634961730697795,435.7190551757813,454.7999877929688,625164.0,-0.009263053641555946,440.9951477050781,454.0,710881.0,-0.0054134955383304375,451.1565246582031,465.0,513771.0,-0.010555922604581795,450.61920166015625,468.0,512635.0,-0.014850156062693043,424.2679504394531,439.7738952636719,403.4761657714844,426.5835571289063,220.28691284611457,0.18130424848631035,434.27789611816405,449.59326171875,403.4761657714844,440.384521484375,214.05984737754284,0.18266236360613533,443.44025268554685,456.4815368652344,403.4761657714844,449.9108123779297,192.4874336557278,0.1744332675819333,401.2289123535156,-0.005585299064423465,-0.05717980143856056,0,1
2018-09-18,401.2289123535156,410.6499938964844,418.1000061035156,409.0,414.2999877929688,1284003,-0.005569730280527985,-0.005569730280527985,-0.005585299064423465,-2.24725341796875,-0.0055697302805279465,0.02216000545177052,-0.008810026560532707,412.5833333333333,412.0999984741211,416.5589538574219,-0.03680161322172271,429.44146118164065,-0.0656959128969431,440.96585235595705,-0.09011341760396663,456.6622967529297,-0.12138813471917842,466.30390594482424,-0.13955489705678914,446.65939056396485,-0.1017116827054445,414.1436255353785,-0.031184140924944925,425.10176237940385,-0.05615796531227191,436.63505470356984,-0.08108863905599917,450.45954544488364,-0.10928979880478895,11.63134574617905,-12.785536094080499,-8.373849918766165,-4.411686175314333,-0.08764727357690505,-0.10757356367028792,-0.10979842227267589,-38.54498291015625,-48.364349365234375,-49.488006591796875,0.010904961069112512,0.1731108902742765,11.935712541852698,0.029065415120550137,474.25455908775047,407.67714562416364,440.96585235595705,0.15098088232429416,-0.09685316588898049,0.17001664580837678,-1469773.0,0.46626995078757316,1583560.4,0.8108329811733105,1152432.9,1.1141672543364565,994845.35,1.29065587932838,69903616.0,1.59176539348553,2018,9,3,38,1,18,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,208,403.4761657714844,425.0,2753776.0,-0.030055882316698396,426.5835571289063,447.7999877929688,1384238.0,-0.021189405498520556,439.7738952636719,449.0,947697.0,-0.0027731520171210508,449.59326171875,462.1000061035156,484678.0,-0.003471029430409402,450.7169189453125,463.3999938964844,1013707.0,0.0002168276257993764,416.5589538574219,435.7190551757813,401.2289123535156,415.7870788574219,218.591865227295,0.16718627890265936,429.44146118164065,444.9522399902344,401.2289123535156,437.74647521972656,283.36694464911466,0.1804623832048579,440.96585235595705,456.4815368652344,401.2289123535156,447.2727508544922,277.03449896883666,0.1731108902742765,390.9209289550781,-0.026026806382758578,-0.0173170209618362,0,0
2018-09-19,390.9209289550781,400.1000061035156,415.0,398.8500061035156,412.0,1252296,-0.02569102844053106,-0.02569102844053106,-0.026026806382758578,-10.3079833984375,-0.025691028440531026,0.04036489290206603,-0.028883480331272755,404.65000406901044,403.5125045776367,407.5993286132813,-0.040918614157059,424.2825927734375,-0.07863076257803048,437.919873046875,-0.10732315883450694,455.3217724609375,-0.14144028992460356,465.0049072265625,-0.15931870206132848,446.7748640441894,-0.12501584037992552,406.4027266752784,-0.03809471911484119,418.8870653931628,-0.06676295056242898,432.2813284382234,-0.09567935684979745,448.12415176281013,-0.12765039014904378,4.030533529319342,-14.80592474078054,-9.660264883169042,-5.1456598576114985,-0.10281424621796809,-0.11658206412276284,-0.13482541768793688,-44.79812622070318,-51.58868408203125,-60.91958618164068,0.01160379208535915,0.18420448873895937,12.410712105887297,0.031019025035146697,477.56124364558514,398.2785024481649,437.919873046875,0.18104394451387187,-0.09280170415356635,0.18267741637581938,-31707.0,0.9753061324623074,1708986.8,0.7327710196474309,1222258.6,1.0245753230944743,1021147.45,1.2263615798090668,68651320.0,1.6735945430799442,2018,9,3,38,2,19,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,209,401.2289123535156,414.2999877929688,1284003.0,-0.005585299064423465,415.7870788574219,437.0499877929688,1870621.0,-0.025634961730697795,435.7190551757813,454.7999877929688,625164.0,-0.009263053641555946,442.5096130371094,461.9500122070313,554039.0,-0.015881122597148904,451.8405151367188,463.8500061035156,726254.0,0.00248980669688459,407.5993286132813,426.5835571289063,390.9209289550781,403.4761657714844,190.79796917384425,0.1514269604686365,424.2825927734375,444.9522399902344,390.9209289550781,431.1513061523438,399.6908977122806,0.19420953994527682,437.919873046875,456.4815368652344,390.9209289550781,444.17059326171875,392.8595657360697,0.18420448873895937,379.3427429199219,-0.030065180499147574,0.009824105851689777,0,0
