Date,day_of_month,volume_change,rolling_vol_20,return_lag_5,high_low_range,atr,dist_sma_50,volume_lag_5,vma_20,dist_sma_5,price_diff_pct,rsi,roc_10,volume_momentum,month_cos,dist_sma_200,dist_sma_20,momentum_20,volume_lag_20,vma_10,macd_hist,momentum_5,High,return_lag_20,day_of_week_sin,rolling_var_20,trading_day_number,obv,open_lag_20,price_diff,volume_lag_3,volume_lag_10,return_lag_10,volume_ratio_5,rolling_var_10,roc_5,volume_ratio_10,rolling_vol_5,volume_change_ratio,atr_pct,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,0.24742021660706257,-1.2265079982233171,-0.5318905856477649,-0.6740940926479151,0.12909247294887208,-1.510677785203965,0.5001170147449108,0.06413394903770842,0.7654939680838584,-0.4282295434351429,-0.6031729032716349,-0.3291444022802597,-0.553932722651347,0.802898092264325,0.691274609705019,1.2463046166158656,-0.275935491664633,-0.03798028673368501,-0.3831008515976417,0.6547087793836621,-0.34033123198603127,0.055347787482226615,-1.8842411705824003,0.5283901875585381,0.8324777605674285,-0.7450009398538375,-1.6979970924330727,-2.2434301045627363,-1.8652949259581115,-0.21952227799232224,0.6208867262721962,-0.3469717086973099,0.33692530374439295,-0.7839980835467182,-0.7059190955447376,0.14316906410199678,-0.25277475390342546,0.3052088273482086,-0.8790240029276456,0.08163782321610623,63.93105697631836,-0.0255922145556287,-0.0303830935112437,0,0
2005-10-19,0.361508427598097,1.2607639329444997,-0.42869590136309416,1.697313787712586,0.11020704655654234,-1.4594371176383087,0.20576920213540645,1.8133682866042542,0.8386200397512091,-1.0182656224236721,-1.166440258025776,-0.7687997984021387,-1.065953388929115,0.5176606981040222,0.691274609705019,1.0628186818203724,-0.6843876934302727,-0.12891923302960315,0.39736565050432743,0.8943183942148993,-0.4218869589746577,-0.38913963857853706,-1.9145862579424713,0.04375464996144256,1.2086458896046435,-0.7415878707199166,-1.6979970924330727,-2.2867704023111792,-1.8518770212414877,-0.4238970202889661,0.6189132683837798,-0.4451973942690698,0.6197502564406171,0.6011443876775929,-0.7083945125301223,-1.0560907221325657,0.7130941082474949,-0.45872186692409317,0.910631015651716,0.26532626076212146,62.43560028076172,-0.0236696379681265,-0.0050171165513258,0,0
2005-10-20,0.47559663858913137,1.4531349638984554,-0.366015435860846,-0.7230772992156054,2.21557312630979,-1.5263015850741202,-0.062240515883814004,0.6245268081639367,0.9006706812309797,-1.4677909761155914,-1.0811718137799617,-1.051144207789959,-1.2115314322993143,1.11637988101182,0.691274609705019,0.8973852751642599,-1.028183599490319,-0.23004372249775035,1.7896135368142758,1.2937022268280245,-0.5278987396494338,-0.4370652001968108,-1.9078279435541778,0.290703679912916,0.1546462138481672,-0.7325099225298903,-1.6979970924330727,-2.3124941332563487,-1.8584173910667487,-0.38265078373808437,1.3015371712354271,-0.4279023772318135,-0.561597699774348,1.410762638935718,-0.6936150814677752,-1.2026482500148106,1.5190256627003904,-0.36327440746635437,0.6542354547520972,0.17581406502335942,63.74773025512695,0.0207979495514099,-0.0440830256986792,1,2
2005-10-21,0.5896848495801658,-1.7406917392548,-0.41678814251770346,-0.6443072508798459,0.0792157002415792,-1.5774099219563014,0.12725706615676388,0.6225476492456914,0.8784088948188297,-0.4447644659352005,0.9374616509942051,-0.7173596197731131,-0.6481389687984296,1.311162748731579,0.691274609705019,1.0201547372289939,-0.6820121671090182,-0.05816818705717867,1.428416584398291,1.436110520403892,-0.5148428692081223,-0.19704119444754253,-1.9410791476343434,-1.388179484453413,-1.5358380131821974,-0.7315105436670626,-1.6979970924330727,-2.307297314726606,-1.8516747440106924,0.3330775166239785,0.2826777136587154,0.02532040565269684,-1.052100153008021,-0.2528286512402554,-0.6904943979770132,-0.5556846316803912,-0.007770356277075987,0.14621056888093034,-0.8887563978862933,0.00396216495165009,62.140811920166016,-0.025530609701299,-0.0897993180761062,0,0
2005-10-24,0.9319494825532689,-0.6929948247858523,-0.32108352289764674,0.6700324266553076,0.6291271444518789,-1.5176951657198934,-0.15002129095197983,1.3071435522372525,0.8341484017244799,-0.9215817201856257,-1.163710554673067,-1.0257848519459385,-0.8587794861580967,1.079897693524769,0.691274609705019,0.8420694350716419,-1.0779491691001026,-0.1360881128533153,1.1230025755639383,1.365843166895412,-0.5593126007660306,-0.475328624729366,-1.936618598931354,-0.09616684292722491,-0.6905958996670153,-0.7245141808396971,-1.6979970924330727,-2.3124941332563487,-1.8759484478834219,-0.4110653116246363,1.3148129836510394,1.026948387747093,-0.4350087144527475,-0.7318119960272033,-0.6716813430473134,-1.3057506206280596,-0.5178005200925786,-0.032092461233251976,-0.6074486388614098,0.20868578898124918,63.62550354003906,0.0236114191624008,-0.0295900768234424,1,2
2005-10-25,1.0460376935443032,2.061508474737773,-0.35320073327624757,-0.5987012432527854,0.46318132707568865,-1.4619526853882523,0.07726075296744399,0.28534075941473364,1.0553275210861517,0.265105289313298,1.0682254237041076,-0.9104477277501164,-0.3543237367250998,1.4212621399252712,0.691274609705019,0.9822192710399441,-0.6637959126508338,-0.15155842257789381,-0.7125774223063123,1.6536147448219238,-0.4956875064921253,-0.22371399184526433,-1.9375647891771648,1.2456735919303765,0.8324777605674285,-0.7210375846565866,-1.6979970924330727,-2.2832198283536553,-1.8813426527637302,0.37706805646025154,2.5055766550173675,0.07174862571723745,-0.6724253046086283,0.6515478593540871,-0.6684429087981886,-0.6282664742548092,0.8484537356796142,0.517793638453364,1.441268266525194,0.2728749982088975,63.61111068725586,-0.0002262375957109,-0.0639848936772679,0,1
2005-10-26,1.1601259045353376,-2.2392951059052004,-0.3999562624694662,-1.174371291480369,-0.8444207142271942,-1.4697646923869894,0.05728808875080926,1.320457716523978,1.0339120088855702,0.2969264343277541,-0.02813555657215355,-0.8138828590041781,-0.851312297005857,1.1082096960507828,0.691274609705019,0.9672482268474326,-0.6275970988199211,-0.20532922552506847,0.6445715801026434,1.4516028911819234,-0.434621779698061,-0.04707956064745302,-1.940673653142954,0.6882787149480046,1.2086458896046435,-0.7183931163475878,-1.6979970924330727,-2.312438936068627,-1.8489776415705383,-0.005088331874243942,1.0627232912487632,1.8481012739912523,1.6928353534624263,-1.0489029892585942,-0.6871219816465912,-0.14359599297770848,-0.7188085523357751,0.29793053932218605,-1.1712610142917075,0.25562999488311944,59.74303436279297,-0.0627355471154799,-0.0637586560815569,0,0
2005-10-27,1.274214115526372,3.145883660431627,0.06756528326054229,-1.0867568305478823,2.4818085219542034,-1.3664889449001878,-0.5803599393813063,2.5146613291474598,1.2265072064899047,-1.8353888150406326,-2.7820162852690338,-1.0661869697542357,-1.4466184668946622,0.978738528945573,0.691274609705019,0.5594177803836942,-1.5494679209090776,-0.43889660754064025,0.4393015078482082,1.7630346051667876,-0.5524945518431191,-0.3021750729545316,-1.9429714188282583,0.38824181197857455,0.1546462138481672,-0.698933793825034,-1.6979970924330727,-2.3124941332563487,-1.8318511392154553,-0.987494449864335,0.48379671439052735,0.6408292331603511,-0.7212815356940678,1.549027010555211,-0.6563571765696256,-0.8849642422479692,1.3957873551877478,1.4451334173172419,2.4865304323549484,0.6859265317496386,58.27273178100586,-0.024918342826017,0.0047423086542926,0,0
2005-10-28,1.3883023265174064,-1.6723238722468425,0.09441295029837067,0.939692328782626,0.13362828104429703,-1.3634438402890252,-0.8191624465783642,1.0676397740463508,1.3114789400195184,-2.1126627324732374,-1.1365719435298713,-1.1438574041821026,-1.581296963201359,1.0168434563107063,0.691274609705019,0.3984960262180957,-1.8258875739540166,-0.5315324770209245,0.453133277261567,1.8860087548765494,-0.6660747306426008,-0.6013321943591032,-2.019679063149106,0.1908388167479791,-1.5358380131821974,-0.6730497605135031,-1.6979970924330727,-2.3124941332563487,-1.9318455524659808,-0.37623833304216997,2.176222808545607,0.6388193914197237,-0.6427156770301403,0.031051106170105425,-0.6052269278829869,-1.7165499752197553,0.1013063022096835,1.0991182015799303,-0.8007003832146861,0.7740339367359645,60.32899856567383,0.0346786315513649,0.0275022108009098,1,2
2005-10-31,1.7305669594905095,-1.5879645568385912,0.30240189217295654,-1.171563873488281,0.03632391748555472,-1.3498060713075934,-0.48962119820299366,0.4870407633840906,1.3160913409539452,-0.5371665146574227,1.5861895511657798,-0.6845346338558449,-1.3368825084432305,0.9207551611931596,0.691274609705019,0.5978197969117814,-1.1920653483781198,-0.41323875261081655,0.16966793928865578,1.7368072757319724,-0.6091781979249608,-0.20747973129144362,-2.0062974170401375,-0.14274688788290354,-0.6905958996670153,-0.6653585007265346,-1.6979970924330727,-2.3124941332563487,-1.8566642853850814,0.5227777243435298,0.32222305449550315,1.3340285576017457,0.6682169366133222,-1.2474113141840186,-0.6274291889026542,-0.6132996478871358,-0.9567615693598625,1.733943942162611,-1.0241769919930908,0.6951823960825967,59.681941986083984,-0.0107833976914247,0.0091345707777201,0,0
