Date,volume_lag_1,roc_5,volume_ratio_20,momentum_20,dist_sma_20,dist_sma_50,return_lag_20,day_of_week_sin,rolling_var_5,rolling_var_10,macd_signal,log_return,return_lag_10,day_of_month,roc_10,atr,rsi,rolling_var_20,return_lag_1,week,vma_20,Volume,roc_20,return_lag_5,rolling_vol_5,dist_sma_100,volume_lag_10,volume_ratio_5,macd,vma_5,volume_momentum,volume_lag_3,volume_lag_20,dist_sma_10,price_diff,volume_ratio_10,obv,rolling_vol_20,dist_sma_5,bb_pct,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,0.8891184787759767,-1.0038925432078498,-0.7957793013191597,-0.18999065942268595,-1.7702457484789225,-0.09596534620570056,1.9023279975686394,0.8322232227741718,-0.5271018386529928,-0.5298396572276087,0.0722378092667965,0.20715382094052093,0.033274365738319475,0.24779901153056624,-1.922349114423581,-1.4420837014367593,-2.1014681984553554,-0.5247320995672454,-0.5771823682298892,1.0281941802718713,3.8263425357323775,0.9045577945248601,-0.7098988203178024,1.0800787588229468,-0.3795442686082056,0.6250683945435213,0.3853454349054454,-0.35582828169934405,-0.11738669840600745,1.6652140547301153,-1.088333764744086,1.7284773879508435,2.336639265841354,-1.1325277373338318,0.027084879587528574,-0.7237045808828649,-1.5897033214684455,1.4977720901631457,-0.6873627393562415,-1.2039297562722375,21.20095443725586,-0.0351342478133456,-0.0527519518772194,0,0
2005-10-19,0.901482804790977,-1.6969361271495018,-0.511854771986842,-0.2738600940863558,-2.523986697193989,-0.7260104180002435,-0.35360546461290615,1.2083637883152494,-0.5030809450074454,-0.5441933565168158,0.01869224760164376,-2.1117047256410486,-0.010001853464394183,0.3618972013797158,-2.5552249172894874,-1.427939102327662,-2.1014681984553554,-0.5128689381128412,0.20533945359408304,1.0281941802718713,3.8263425357323775,1.3847964420611818,-1.1192844722099762,-0.5623724386722261,0.21633639463555077,0.1279727836678055,0.07111903059553262,0.03414152582751386,-0.18080373043700246,1.740598453471027,-0.9517283539198775,1.765304344356143,4.139185185011199,-1.9246133039343905,-0.4650444997930462,-0.49302927863993395,-1.5897033214684455,1.6431150675947481,-1.9666141533591455,-1.5631171359376825,20.53980255126953,-0.0316816097241701,-0.0321109058569463,0,0
2005-10-20,1.3817902139490594,-2.6502969182259815,0.8182677479449304,-0.6305380087375029,-3.0280158119874656,-1.269052983800108,2.8798908694496737,0.1544413437587313,-0.4767307829776938,-0.5276381170985596,-0.04094057856682135,-1.9072391553183121,-2.434133342753749,0.4759953912288654,-2.39817572351271,-1.2427737608036176,-2.1014681984553554,-0.49804866624751326,-2.10720977985049,1.0281941802718713,3.7122950395997925,3.801069930288859,-2.6272285438691836,0.29128999780315495,0.06715313155802063,-0.30359774261173306,4.090922872068296,1.6173905220371787,-0.25870252371204117,2.2827866358337783,-0.45873088500670817,0.890150615182754,4.530338041870303,-2.620493502145912,-0.40865507945959245,0.9565954717265066,-1.5897033214684455,0.3724799116343348,-2.6380782344647664,-1.711830887872853,21.38608169555664,0.0403757308099663,-0.0068905781293841,1,2
2005-10-21,3.798409669508855,-0.9526319136563782,0.38756393673302275,-0.43600681085045245,-1.9719477740445628,-0.6020794302670083,-1.557014800436814,-1.5359190140443773,-0.4919820024195366,-0.527117248741683,-0.09348658901551682,2.3600037029594185,-1.7664246791539084,0.590093581078015,-1.122633066530404,-1.2241285032345468,-1.7076990306979298,-0.492567809284727,-1.903300533806698,1.0281941802718713,3.3304929773990986,2.707343261538336,-1.8035121664431417,-1.5013464813144775,1.6043592664159225,0.20821895534057228,4.324538467191405,0.5677648312533108,-0.2811484744406727,2.5288600773121175,-0.07335592513575626,0.9025064016309202,4.530338041870303,-0.9958511450080465,0.4679581071352693,0.4210085144537152,-1.5897033214684455,0.7387010626537192,-0.07280678428459639,-1.0986675106298935,20.65440368652344,-0.0348117721192428,-0.049429411630957,0,0
2005-10-24,2.704526398577537,-1.631767667937299,-0.1346856241766737,-0.5536567484978911,-2.604072278158866,-1.201054185336044,0.3600392660589361,-0.6907388351428232,-0.49127663996106363,-0.514664631054215,-0.14581680616650605,-2.092607683029874,-0.6369561254084286,0.9323881506254638,-1.582639472714726,-1.2086980453722334,-1.9225265933215965,-0.48278452007786826,2.352331710505737,1.0940541309964291,3.24110020957581,1.7228964572314927,-2.3260740616232227,-0.5776808883150846,1.8871340262118856,-0.2646719563990997,3.5607239975014955,-0.28339747420501,-0.32888758695278664,2.7464335569932983,0.1473577073475934,1.3824820808413756,2.8194117816528994,-1.980770963513092,-0.4496679869961216,-0.08009747958276266,-1.5897033214684455,0.8401490250463227,-1.369387894776387,-1.3578452734441402,20.830713272094727,0.0084999469695728,0.0257018352900671,1,1
2005-10-25,1.7199386390203224,-1.5141610426275427,-0.40905146644809637,-0.660824046456745,-2.179880524136232,-1.0660095278539357,2.3443423330048807,0.8322232227741718,-0.524647033986322,-0.519016136544699,-0.1935696403304402,0.47231662019114673,1.0812202831532787,1.0464863404746134,-1.7722378047226433,-1.1759083415177818,-1.7953477780918314,-0.4893708558086837,-2.0881646978136255,1.0940541309964291,3.122705330179102,1.1827548521082965,-2.708530222731217,0.2057575625008795,1.9490813317435538,-0.17221558042136198,2.3339880219922633,-0.7001703370307238,-0.35619821155932224,2.8192976632429194,0.28092702855703366,3.797432469819765,2.6255417282279763,-1.3654582836109985,0.0783521231846147,-0.3706396574567331,-1.5897033214684455,0.4681877509597187,-0.30492528887711784,-1.1715198059172165,20.530986785888672,-0.0144932017930724,0.0579570590468764,0,0
2005-10-26,1.1797196952386502,-0.9651490723747854,-0.07225055838786446,-0.6689771266473128,-2.287372451956232,-1.3194177831023555,-0.5945885172676229,1.2083637883152494,-0.5252296721275511,-0.5211674922553741,-0.2386303829600375,-0.8893399316522164,-0.5621941993455528,1.160584530323763,-1.8730397237096792,-1.213198551008491,-1.6141765722550585,-0.49491843699887134,0.4697807792838395,1.0940541309964291,3.107677926519988,1.7556111356466704,-2.768525639226607,-2.1095005406693237,1.670606926653333,-0.3737100384646722,1.0972004345519444,-0.3413196780222617,-0.3880066756502145,2.916419758879141,0.3675545898967697,2.7043047022041513,1.9537025826670724,-1.5563243870577834,-0.19847612927555877,-0.026751580526854404,-1.5897033214684455,0.4725149521058156,-0.754071810823834,-1.2460997740576039,20.398757934570312,-0.006461281996608,0.0724502608399488,0,1
2005-10-27,1.7526580015948336,-0.27877114613940396,0.5852918033947857,-0.660824046456745,-2.2071998751326976,-1.4330932435025523,-0.49409626784880645,0.1544413437587313,-0.5216922396550586,-0.5332141335205606,-0.2806399984173128,-0.41368884412026363,0.2919689035876795,1.2746827201729125,-2.0888267070160613,-1.2279860794941964,-1.4342900434387962,-0.5017874277900253,-0.8881708818134764,1.0940541309964291,3.2753718272910386,3.0182777789437796,-2.752698759561551,-1.9053524397828343,1.3235519774841333,-0.4695669819984803,1.731367872229325,0.6696148911435791,-0.4156528980859505,2.7113944038935975,0.0990079407262368,1.7203969597353357,1.018085947946454,-1.4110830610688572,-0.10107158305272344,0.6993498579795865,-1.5897033214684455,0.4738737054326254,-1.0363033206092438,-1.2350914767705508,20.35468101501465,-0.0021631026916066,0.0864711021851951,0,1
2005-10-28,3.0155054362684424,-1.4265513440534496,0.015723187189036095,-0.6130654303798627,-2.042256017831064,-1.4727712411378913,-1.0115452842646688,-1.5359190140443773,-0.5397847315570385,-0.5388166776556881,-0.3186065749233015,-0.1591502390745316,-1.501718943046978,1.388780910022062,-1.6762797411908925,-1.280063970294327,-1.3638278996612174,-0.5078000183563042,-0.4138139791552048,1.0940541309964291,3.3488852135437694,2.05324963766325,-2.5804539868838567,2.355264759307347,0.04384786769350935,-0.5122440647111443,1.768224476671615,0.06990730775389653,-0.4358686754439659,2.5400771810543867,-0.07559131158211885,1.180551124505626,1.183676450503501,-1.1938321822096853,-0.049808776161338185,0.06318556365411573,-1.5897033214684455,0.4744245803264236,-0.6030860623339456,-1.1750525574196111,21.19214057922364,0.0403194748017814,0.0925897429831726,1,2
2005-10-31,2.05033912014426,0.634270721241983,-0.5513336052627398,-0.4639642972116721,-0.9034997577428651,-0.8127225077854544,-0.7444309561880805,-0.6907388351428232,-0.5258304853791844,-0.5472460980590726,-0.34372292951846334,2.3566722165711784,-0.577511627276468,1.731075479569511,-0.7420436103931195,-1.2575611364656065,-1.0362457844328663,-0.5191716884093962,-0.15996794061684133,1.1599140817209868,3.3057511797131096,1.0168408728536005,-1.929774575187978,-2.0904331496388147,0.5963808058242506,-0.009431973370751112,0.892366193207899,-0.6254534007971407,-0.41148801970852006,2.355150318185538,-0.1912152873558451,1.7530937242981857,1.548834662252034,0.4231977602467992,0.4628292753403525,-0.6002278619639351,-1.5897033214684455,0.8826120581656105,1.3829807227419004,-0.5877841619827189,22.073671340942383,0.040755170726382,0.06871549888297,1,2
