Date,dist_sma_20,volume_change_ratio,volume_ratio_5,High,dist_sma_10,Volume,day_of_week_sin,week,vma_10,atr,bb_width,volume_lag_5,price_diff,macd,roc_5,dist_sma_5,dist_sma_50,month_sin,volume_lag_20,roc_10,atr_pct,volume_ratio_20,sma_200,roc_20,obv,momentum_20,dist_sma_100,rolling_var_20,momentum_5,vma_5,volume_momentum,return_lag_5,macd_hist,return_lag_10,bb_pct,rolling_vol_5,price_diff_pct,return_lag_3,return_lag_1,volume_change,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2008-07-24,2.8081858377933693,-0.43562307555383145,0.1124154637385597,-0.9507783584955293,3.028500117687233,0.22081025757463252,0.153507923395571,0.21093767968695779,-0.21038977731335293,2.0028933860568254,4.586166743332989,-0.5019370826825277,-1.4774103151214826,0.9439108201259873,3.1646484350438384,2.3617602931745694,2.11209763026481,-0.6829107935131238,1.2012481125858214,2.748417387198207,3.0757525797579994,0.8952013765785692,-0.8124994234270017,2.8219014943048433,-0.7363662284693715,1.4561273645760096,0.35899275440078776,2.1713167804368836,3.1000894223205324,0.12886660629040328,1.2974904382249617,2.8651241297243226,3.072545267865253,2.770506730942064,1.384459633409672,3.3199160289935663,-2.3501262653966655,2.8604158906697554,2.8580682995312334,-0.30559932037662524,30.55894088745117,0.002022117643988,-0.0418558460394807,1,1
2008-07-25,2.8081858377933693,-0.24241893772300874,-0.09723853567825576,-1.0011591313468537,3.028500117687233,0.2139941936356566,-1.537733419543124,0.21093767968695779,-0.14414348953493783,2.115878539472624,4.586166743332989,-0.3820687549773159,0.05326049222461335,1.1875701271464771,3.1646484350438384,0.8841880923387468,2.174698012206771,-0.6829107935131238,-0.26997436045784573,2.867719864679701,3.192409014276758,0.8131213775390315,-0.8125954982170464,3.284812616702926,-0.7097359458901891,1.870527259556803,0.4053995823838021,2.6471050755838013,2.2512364494655253,0.2589014143507866,1.5595049364996278,2.8651241297243226,3.072545267865253,-2.827055713212298,1.2138300310771595,3.430262625400224,0.09957523707961011,2.6026198114556016,-2.3833213183446587,-0.005665719463703185,30.31201362609864,-0.0081131836291229,-0.0152675470292755,0,1
2008-07-28,2.8081858377933693,-0.8426630148474085,-1.0602193512553597,-1.0311477447221566,3.028500117687233,-0.4403706984286753,-0.6921127480737767,0.276846366813673,-0.14993548399670395,1.8000342487089964,4.586166743332989,-0.03055775307904886,-0.34952652386164357,1.3341321330310705,2.0620704765458435,-0.43873467246476944,2.015573491968481,-0.6829107935131238,-0.5563137912314844,2.867719864679701,2.877502331698356,-0.39201286010683445,-0.8123113919122382,3.284812616702926,-0.7234953830931764,1.955538090215192,0.29956440108471677,2.948878821053125,1.1515823227201611,0.1703179720790952,1.276900999357356,2.8651241297243226,3.0662907819537795,0.012786442700873164,1.0088352310690505,3.25580020240565,-0.566181218604848,2.8604158906697554,0.10571054788670052,-0.7813885462176323,29.092742919921875,-0.0410553643634803,-0.0010189414751061,0,0
2008-07-29,2.655995667853291,-0.32410981880329626,-0.9611300087999121,-1.1139164477969046,0.5936241463620939,-0.4894119750839717,0.8316430500234665,0.276846366813673,-0.12932851174457383,1.7409744608513338,4.586166743332989,0.46123450429825164,-1.6183954779023422,1.2904173453406018,-0.537023977352284,-2.7821472417895743,1.1489813856168407,-0.6829107935131238,-0.3496342349260237,2.867719864679701,3.0197986431364185,-0.47237863641642286,-0.8129431857120047,3.284812616702926,-0.7362902167599161,2.1255505594683477,-0.30346254598946504,2.715197628971348,-0.3339139560421478,-0.03558112869011056,0.7131316766998351,2.5915982076785067,2.3477884153876425,-2.8014834833154065,0.6031416754163371,3.588059394504127,-2.684028749712003,-2.387665261292958,-0.5614754862119735,-0.05624887234101666,30.31201362609864,0.0410553643634802,0.0839114818221377,1,2
2008-07-30,2.8081858377933693,0.3025301655454695,-0.166794983363281,-1.0779301117465412,1.4838994902049059,-0.2101939131125892,1.2079796531997162,0.276846366813673,-0.1239251490058074,1.6202859325596064,4.586166743332989,0.4825220833665245,1.5638026515222658,1.380345602578801,-1.3611837174760408,0.27777030012188153,2.0867336659701397,-0.6829107935131238,-0.4727081670053235,2.867719864679701,2.6733548848144886,0.013955296887849113,-0.8133107936688816,3.284812616702926,-0.7180033823066776,2.205240498442907,0.3353479697092479,2.723355234971982,-0.8740946377900185,-0.18533677481033672,0.23519838901817683,2.8651241297243226,2.0851364387541014,-1.8329953250789974,0.8525410329895062,2.2868548384223497,2.7275181457231685,0.1021688037709373,-2.729991480603487,0.3369851989876837,29.247068405151367,-0.0357647800543458,0.0171632238265603,0,0
2008-07-31,2.0146619838769997,-0.4661800816667308,-0.31429658366486146,-1.0563382124971388,-0.6596631365669234,-0.3806244596330185,0.153507923395571,0.276846366813673,-0.11018842066696047,1.5997433673669137,4.586166743332989,0.22443107033548515,-1.4170069478851863,1.3095936967960178,-1.3604563221352173,-1.4331346215441902,1.3269453341464215,-0.6829107935131238,-0.5395220907447885,2.867719864679701,2.826088392230952,-0.3054612068917739,-0.8149877356069251,3.284812616702926,-0.7329379812744139,2.0511650977782994,-0.20177530346380984,2.375443065394305,-0.8451650296250524,-0.3162127702682781,-0.1608909573854419,-2.3767462884865997,1.4997143731148652,2.8577687153154896,0.48740060063834856,2.2862403438424015,-2.348582928025146,-0.5652322600607423,2.675188886519222,-0.2016655937795853,30.095924377441406,0.0286104166541931,0.050422167160126,1,2
2008-08-01,2.555387490841419,-0.5092247453612211,-0.4176915782804861,-1.1043199938976231,0.10867717347343485,-0.545856493293165,-1.537733419543124,0.276846366813673,-0.12840086878978432,1.7435423685717535,4.586166743332989,0.21759115767459908,1.0804263728524668,1.3352509191018718,-0.5531215816714257,0.548469817319019,1.97754795537035,-1.2052067627773126,-0.5220170409133926,2.7758178206333715,2.849230639358191,-0.5997137303514499,-0.8163572878726517,3.284812616702926,-0.7212533671121352,2.2371146356200047,0.2467066428504642,2.0794960447932915,-0.3532138718238678,-0.48156108190702135,-0.6246245997083029,0.10214082781820659,1.2565594176175763,2.8577687153154896,0.6742486050517045,2.7733274114280726,1.8784879544895343,-2.734447153097403,-2.3817231984715352,-0.19543810186585653,30.28114318847656,0.0061354219250464,0.0046049657337051,1,1
2008-08-04,2.3642999422986204,-0.34243264752175345,-0.49686523803585775,-1.0563382124971388,0.09854843970356822,-0.5961762875797448,-0.6921127480737767,0.34275505394038813,-0.1915722077218562,1.7563819071738473,4.439744968408739,-0.43906329130679417,0.2144066602227931,1.3593445893250176,-0.1115572821271889,0.9523986447198376,2.124351918965073,-1.2052067627773126,-0.4364099718002079,1.4998883935161547,2.8330351228313413,-0.68154293768925,-0.8178053006917438,3.284812616702926,-0.7105585039274515,2.1255466200125097,0.3432157352553941,1.8007280932601373,-0.08312353094993805,-0.5154653627784845,-0.7022360547782046,-0.5623259018142422,1.0583834662981075,2.8577687153154896,0.6658260340925856,2.780835084762223,0.3716962343904002,2.672475268612465,1.8559635785599147,-0.0577804561659231,31.639307022094727,0.0438750589337637,0.0076160922431808,1,2
2008-08-05,2.8081858377933693,1.181724128176709,0.9908320898268752,-0.9759686635718714,1.7406585748231826,0.018150422966490318,0.8316430500234665,0.34275505394038813,-0.24079937971342746,1.7974673858445627,4.2779991888916955,-0.48827615845471833,1.745052577439005,1.5176882975477621,2.655054204077157,2.6963837033310534,3.0183945918031263,-1.2052067627773126,-0.07268725863988888,1.5993828219495714,2.66231587062028,0.41585717675190736,-0.8198943316682794,3.284812616702926,-0.6877803150665336,2.353994350847709,1.0369680383170372,1.7293391122231363,1.527767364314141,-0.405016577230677,-0.4014951459978287,-2.722003498926359,1.2134103749262735,2.585354414643241,1.0108914586597846,2.271396060173143,2.9114834855482536,-2.386066626356161,0.37648090748136026,0.7384243134630032,30.83675575256348,-0.0256928936320972,-0.0536063446661132,0,0
2008-08-06,2.2652160214836785,-0.31072436797827274,0.6828241565077966,-0.9063951456206247,0.7030990512280216,-0.050683226890833794,1.2079796531997162,0.34275505394038813,-0.3001322958703779,1.9181555658509621,4.213184350001984,-0.20808114057859853,-1.0745934308793295,1.5293409784835434,0.46112236946184215,0.8109071264300783,2.511787850747491,-1.2052067627773126,-0.2648927598399816,-0.7026596152145553,2.9232197697472273,0.2689892532781257,-0.8230779976501843,2.86442913151515,-0.70920459989816,1.493313857949293,0.6338865248645578,1.7161509908670414,0.2641330945677611,-0.37030604382087406,-0.3336499975241056,2.6611465342836724,0.9948058268177555,2.8577687153154896,0.6636148931937863,2.4188419097657237,-1.7050558670909408,1.8529859296479523,2.8580682995312334,-0.07995889237594364,30.759580612182617,-0.0025058367207801,-0.023804692929571,0,1
