Date,vma_20,rolling_var_20,dist_sma_200,dist_sma_10,high_low_range,return_lag_3,volume_lag_1,dist_sma_20,volume_lag_20,atr,return_lag_10,month_sin,month_cos,rolling_vol_5,obv,macd,volume_lag_3,Volume,rolling_vol_10,volume_change,volume_momentum,dist_sma_50,rolling_var_10,dist_sma_5,day_of_week_sin,day_of_week,momentum_10,day_of_month,return_lag_5,return_lag_20,roc_20,volume_ratio_10,volume_ratio_20,roc_10,open_close_diff,rolling_var_5,volume_lag_5,macd_hist,volume_change_ratio,bb_width,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-0.4751140607080909,-0.2918216989145098,-0.8748100347238903,-1.828306937821213,1.8695677224897593,1.086968831501002,-0.22573859441966154,-0.905875640864338,-0.16959693428816705,-0.5684351548534954,-0.41156323323164795,-1.2436963064301858,0.6909797909047074,3.4998275033265847,-1.4603051773069615,-0.3013922321695935,-0.185584240148679,0.09260238565310933,3.0829691832440296,0.478186566748101,0.3968584145158344,0.17654141307539514,-0.27290743780404275,-2.166336456266186,0.8326752812286278,-0.7041363147362955,-0.1268082349286831,0.24749138979542587,-0.0020254892589203675,3.5903984717972586,-0.2797540686133164,1.151112134862553,1.2228974003640267,-0.5383865615940191,1.68220891872462,-0.27557001648632784,0.1200902661827267,0.11307523591511555,0.03758974126964359,0.523223441833736,2.506582021713257,-0.0727085288035572,-0.1121958448060026,0,0
2005-10-19,-0.5733569106232503,-0.2917668603086656,-1.0907297328474153,-3.02062006584776,1.2741826138501566,-3.012709721956058,0.09218131823451993,-1.7867463031858415,1.0522270482844651,-0.5686035811073181,2.4823876076082407,-1.2436963064301858,0.6909797909047074,3.591089875718158,-1.4603051773069615,-0.30581844771959615,-0.4156854803790862,-0.48200780574729807,3.0126909276482494,-0.8709851257871717,1.070912062188149,-0.43431104986844005,-0.27258877955146665,-2.912844162718479,1.2088272393185822,0.004368584016976445,-0.17747248741622737,0.3615657056189731,-0.32522520062807003,3.1765239903541755,-1.3723555350186825,-0.5622305885614677,-0.297565385981665,-1.9754911557129804,-2.5866672460626248,-0.27536544392734835,-0.5572047380007853,0.08033177743609743,-0.5943039696346989,0.6878753550245476,2.381034135818481,-0.0513851766309657,-0.027901968430412,0,0
2005-10-20,-0.5892479686229998,-0.29165930422853237,-1.235253289056625,-3.1546067663351582,3.232608358826307,-3.012709721956058,-0.4825482362301978,-2.3423151299540548,-0.31724564176503656,-0.5624396066257431,-1.1404858960378268,-1.2436963064301858,0.6909797909047074,2.9333412863605357,-1.4603051773069615,-0.31193242677580024,-0.2240311869573702,-0.5401166637164228,3.0746706872806335,-0.09017052893527283,0.6985362637835325,-0.8345096603645547,-0.2721119539657862,-2.912844162718479,0.15487287354945914,0.7128734827702483,-0.18406164817204693,0.4756400214425203,1.0884683147625318,-1.5067107192690914,-1.476851139516606,-0.7459197094813086,-0.4904452913539799,-2.2185261923004713,-3.053395502637645,-0.27684739671246306,-0.1836313495854718,0.049124233799179365,-0.40954053873682345,0.973582466324628,2.4199047088623047,0.016193258731158,0.0274187920811632,1,2
2005-10-21,-0.6037927631117774,-0.2916069873642724,-1.1990232266671792,-3.104239265902638,0.3787147302759763,2.225697252428474,-0.5406691650805122,-2.104728126995083,-0.37993116394839277,-0.5637890529325568,-1.197392896115569,-1.2436963064301858,0.6909797909047074,2.905783626991445,-1.4603051773069615,-0.3148880135400527,0.09857887761876741,-0.5767330775472623,3.130285806028435,-0.0576795884110511,0.5642462498482961,-0.7092590917038243,-0.2717895545317165,-1.4160187804963282,-1.5355386819035708,1.4213783815235201,-0.16769350882630094,0.5897143372660676,-3.012332024480319,-2.977698767635975,-0.6960273558923791,-0.8547535303970926,-0.6168210712141629,-1.7787103329945844,0.04263785783588524,-0.2774768565910639,-0.4166250450255619,0.03353884713677013,-0.40064901373340356,1.1005216456349765,2.4360930919647217,0.0066674013195824,-0.0362956731882713,1,1
2005-10-24,-0.5899228874970192,-0.29156341247602646,-1.187933734462137,-2.487574860026881,-0.39227900285085926,-3.012709721956058,-0.5772931851937051,-1.9899464281680328,-0.551024642711958,-0.5647729070112527,3.5590710997531634,-1.2436963064301858,0.6909797909047074,2.003764121317218,-1.4603051773069615,-0.3159439151871203,-0.4846294440360062,-0.329995886106781,2.3490856330348837,0.37067677147798694,0.32262854528264706,-0.6568637049797463,-0.2718307712866657,-0.8543474001625168,-0.690332904177056,-1.4126412134895672,-0.2041083765224842,0.9319372847367093,-3.012332024480319,-0.08903807545945243,-0.6403365997680893,-0.07726891927200509,0.3166916636724971,-2.6405528567181107,0.05402434446460723,-0.2774621409007265,-0.22256158832028147,0.026712736817402997,0.981331761732674,1.2027359571262932,2.4095325469970703,-0.01096279942222,-0.0751632655778152,0,0
2005-10-25,-0.5985895014407338,-0.29148534577994495,-1.2233738165252241,-2.1910965369646123,0.10399879516783733,-2.1473455045423835,-0.33050473934164104,-2.0439160771122915,-0.5547186320193254,-0.5672500017645895,-0.005573657794463572,-1.2436963064301858,0.6909797909047074,1.080442444349299,-1.4603051773069615,-0.31664630014949646,-0.5436078089112534,-0.649063305964931,2.3170725981987754,-0.4846714548918166,-0.7070112860986576,-0.7403180700894579,-0.27204146319900535,-0.4095236135334851,0.8326752812286278,-0.7041363147362955,-0.208253055977358,1.0460116005602564,2.2283928985665034,3.3077207264516106,-1.2989259715492896,-1.0326708078734192,-0.900284721205777,-2.75221049303288,0.7269080188598093,-0.2780092572877502,0.10410380060371713,0.02230181809135322,-0.6655565903422918,1.3858703622326227,2.437610149383545,0.0115853475720332,-0.0553588765612302,1,2
2005-10-26,-0.6091577763945228,-0.29143280879457995,-1.1992264731306563,-1.4295446486636585,-0.4609203236961047,0.6132521746721398,-0.649638438680256,-1.7969670446575565,-0.49760816793914253,-0.5678127902087284,-0.32818164937215544,-1.2436963064301858,0.6909797909047074,0.38336132329146383,-1.4603051773069615,-0.31559786980504445,-0.580772129306016,-0.6251638655483829,2.3833024123009756,0.03380451681557916,-0.8888921846888116,-0.6496748754627203,-0.27243300500228257,0.22435434355458164,1.2088272393185822,0.004368584016976445,-0.2015009495524656,1.1600859163838038,-3.012332024480319,0.919335111434976,-1.3807271719073548,-0.9577643796484387,-0.8080852620640095,-2.5819930300976743,-0.7177168620481116,-0.27807760310054885,-0.4864356590606197,0.023973128266680594,0.652774957802136,1.513684107155829,2.4472224712371826,0.0039355838806093,-0.0669442241332636,1,1
2005-10-27,-0.6108404284621383,-0.29138469240947773,-1.1954578355445584,-0.7314074452386258,-0.5484159827782507,0.22411827830402375,-0.6257340336625119,-1.6694281516039613,-0.6231605373852588,-0.5689363005790488,1.0829236507364202,-1.2436963064301858,0.6909797909047074,-0.7521419484962973,-1.4603051773069615,-0.3136850548865328,-0.3303429070899728,-0.6117749365703757,2.2509033091306248,0.017915379226966233,-0.9929380724738941,-0.6208200114584552,-0.2732401435346271,0.16789642226379597,0.15487287354945914,0.7128734827702483,-0.21208313507681173,1.274160232207351,-2.149243465894168,-1.3254615642561218,-1.1429329314870476,-0.866188273863784,-0.7527060106992344,-2.8024699803759563,0.22391959329584446,-0.27809024957595685,-0.5461554031590782,0.02787745966056377,-0.10900118515235893,1.6256308051270711,2.333647489547729,-0.0475212065382766,-0.0220856698057897,0,0
2005-10-28,-0.6103616128167678,-0.2912994067724844,-1.3247124154087666,-1.3425225522667124,0.08626614276932289,-0.49608027306972313,-0.6123423234188493,-2.181273487459782,-0.6062767173930301,-0.5729333142498287,-3.004434371450945,-1.2436963064301858,0.6909797909047074,0.14881221472043074,-1.4603051773069615,-0.314421698752626,-0.6541846648852535,-0.5665434404810118,1.7786900945080963,0.06605299203158362,-0.9786493740208936,-0.9801598844431968,-0.27346167523516457,-1.2950579765399475,-1.5355386819035708,1.4213783815235201,-0.1843295045173491,1.3882345480308982,0.6142540482591723,-0.057765604765204745,-1.4622084553349977,-0.6144710998672291,-0.568629432807955,-2.259114359071503,-1.3859022347114953,-0.278011302353414,-0.5837868924053973,0.023131845001454838,0.12505842124455271,1.8124440350712239,2.2597005367279053,-0.0322001910699613,0.0742419971883644,0,0
2005-10-31,-0.6135744694827004,-0.29119626160034895,-1.410202022386759,-1.7848278399763242,0.37335709349069773,0.4250177359234105,-0.5671014314467506,-2.458202038380647,-0.6399424101865172,-0.574601125289,-3.004434371450945,-1.2436963064301858,0.6909797909047074,0.19132526921266,-1.4603051773069615,-0.31616258880993603,-0.629927607244397,-0.6480704760289249,1.0834628806356117,-0.12557267352164408,-1.4566793108897789,-1.210439647426801,-0.27340496788514784,-1.9096852366482204,-0.690332904177056,-1.4126412134895672,-0.15546995018047788,1.73045749550154,0.22471139110817862,0.5290178473225647,-1.7606905255344645,-1.0217316352697883,-0.900284721205777,-1.5258583672982988,-1.3940128981347606,-0.2778404101230789,-0.3302096849471611,0.016352671136383418,-0.6403423599678694,2.033365817016435,2.279768466949463,0.008841589594365,0.123438808079245,1,1
