Date,bb_pct,volume_momentum,dist_sma_50,high_low_range,return_lag_20,momentum_5,dist_sma_20,rolling_var_20,volume_change,volume_lag_5,volume_lag_20,volume_lag_10,vma_20,log_return,day_of_week_sin,rolling_vol_20,roc_10,rolling_var_5,rolling_vol_10,rolling_var_10,atr,day_of_month,volume_lag_1,dist_sma_10,return_lag_10,roc_20,volume_change_ratio,rsi,day_of_week,month_cos,bb_upper,week,volume_ratio_10,volume_lag_3,momentum_20,obv,momentum_10,macd,dist_sma_5,bb_width,target_next_close,target_next_return,target_return_5d,target_direction,target_signal
2005-10-18,-1.813423246221369,-0.5920085018471799,-1.2135528834764489,1.2678354381487704,-0.10159441906610306,-0.6530952888882996,-1.9844308459942073,-0.553360860524753,-0.33400399067662406,-0.0400323572901074,-0.7695556729964056,1.3018101438749348,0.31466403261876197,-0.9221572013461791,0.8324777605674285,-0.39167015911731157,-1.8856160137268552,-0.42935675305160326,-0.5058184989935163,-0.3766003489570016,-1.156796230339482,0.24742021660706257,-0.14493775363130937,-2.330367206693209,0.2659441453970363,-1.6578070400386775,-0.5700653463236671,-2.120914787338078,-0.7039887640569764,0.691274609705019,-1.3419512918188927,1.0284490953046395,-1.0588804589367617,0.6171475909673754,-0.6434595678817,-2.246114790891068,-0.6629645759888857,-0.4505239064981425,-1.7323522985396653,0.504365822513964,146.23158264160156,-0.0209160968510478,-0.051987803929528,0,0
2005-10-19,-1.7802852113184484,-0.24351876557409813,-1.3978313300404042,0.2691211473182064,-0.3797271345187056,-0.7298232262511939,-2.1839138430990683,-0.5281211100004953,1.4886015627515605,-0.3277652716986515,-0.6496453960915853,1.5376955915931003,0.40753053653916604,-1.1457548808967537,1.2086458896046435,-0.3633813773986635,-2.287512478623728,-0.46174662142659023,-0.7572639495602608,-0.3426255038908563,-1.137284997509277,0.361508427598097,-0.41936891837013746,-2.4798091695065274,0.491144268461685,-1.775415185286468,1.7080181027437906,-2.1769004963657177,0.004566198977244899,0.691274609705019,-1.3407702186727932,1.0284490953046395,0.44684890431364027,0.31253578002591176,-0.6846885508422275,-2.246114790891068,-0.8105652841771712,-0.5190986025450555,-1.7572337720768896,0.7642094434357162,143.2745819091797,-0.0204286051930746,0.0043915840468589,0,0
2005-10-20,-1.7205574968070072,-0.08845465502828083,-1.5721995032224312,1.3194053116175113,-0.6337484828960669,-0.6383822058267324,-2.3669285124387076,-0.4965671805150928,0.9521397877715843,0.619940888045151,-0.7147334055307881,1.248960479187294,0.5539943208320554,-1.1195312718018833,0.1546462138481672,-0.34024832383282094,-2.67427609137829,-0.4503706188358844,-1.2500204762165443,-0.34368060208387646,-1.150246041575001,0.47559663858913137,0.762713752901909,-2.5292894225236853,0.5041852337967382,-1.8492490553972885,0.23588351832664967,-2.1824919999878634,0.7131211620114661,0.691274609705019,-1.338943470582285,1.0284490953046395,1.3207794360861875,-0.14200535765813765,-0.7055092252053187,-2.246114790891068,-0.9557710430336821,-0.5877730707069225,-1.8643837838921087,1.0586626891857713,142.08282470703125,-0.0083527821845953,-0.0213090902387363,0,1
2005-10-21,-1.5545577482285573,-0.011419835677481163,-1.62810865419313,1.1721890632818106,-2.133354076829343,-0.580118314023991,-2.377711011714441,-0.45892382247316954,-0.8565025921078988,0.3148265698453959,-0.46594166416320754,0.39173634871843305,0.6389737921740734,-0.46993725948626475,-1.5358380131821974,-0.5294806589553288,-2.5764228574782515,-0.4659060217874173,-1.1668283495286504,-0.3614952179352766,-1.1022342935473082,0.5896848495801658,1.516089293177015,-2.269958735630798,-0.883157406760062,-1.594591232379599,-0.5547764100001199,-2.227457637573917,1.4216761250456875,0.691274609705019,-1.3354914792113268,1.0284490953046395,0.41417213999460706,-0.41674597948067926,-0.5870621939111746,-2.246114790891068,-0.9068362216832077,-0.6437376387223186,-1.48449735480879,1.3731927765677463,142.5161590576172,0.003045230026673,-0.0103698123929476,1,1
2005-10-24,-1.346940067593977,-0.10354405542730905,-1.5753806519507252,-0.07228566070278668,1.2511839892469965,-0.4454089638975603,-2.182243310942332,-0.4346392819728987,-1.3847916273326377,-0.1404644081687851,-0.6679294242442242,1.5748235124359253,0.664026686018855,0.1431953178578431,-0.6905958996670153,-0.7379721241351357,-2.3516679796153865,-0.5064670832524036,-0.8863464473337814,-0.4052632540625307,-1.1367972614791997,0.9319494825532689,0.8241095036962348,-1.7369870289134581,-0.7969932272480602,-1.7640200275020856,-0.9233398476264942,-2.236641276959199,-1.4125437270911976,0.691274609705019,-1.3361177793603618,1.094315458488415,-0.7715353990699458,0.7666696448344674,-0.6633151940998676,-2.246114790891068,-0.8167582941305424,-0.6780542567236701,-0.7499543942432024,1.5758461861968494,141.75778198242188,-0.0053355497274834,0.0033035524441528,0,1
2005-10-25,-1.2538818928976416,0.17541478147828843,-1.5927460574797279,-0.3020538027646112,0.4139876053454501,-0.3655074539548463,-2.111689155298739,-0.41866389347142335,1.1811841260343294,-0.41565825981254295,-0.6247979025091449,-0.03957032558242302,0.7476566516180482,-0.3076314575108638,0.8324777605674285,-0.8118549171780215,-2.089322344136463,-0.5403730816274316,-0.8926351344218014,-0.4406592953218084,-1.1457168082061244,1.0460376935443032,-0.29004626772993747,-1.4867970196438174,-1.3839791239271717,-1.87265841882713,1.0723007216389573,-2.236641276959199,-0.7039887640569764,0.691274609705019,-1.339009609195875,1.094315458488415,0.36838114654952386,1.52089471470967,-0.7092337233657301,-2.246114790891068,-0.7089037977758146,-0.7031240095303569,-0.5076870840959888,1.718024546348538,146.87518310546875,0.0354632911253391,0.0573084944144357,1,2
2005-10-26,-0.8427028744395494,0.3750568813996345,-1.2374314440596565,0.9576302803746958,-0.25852252228146244,0.0060201670636944385,-1.3772711488028857,-0.4220643747342679,1.5789830827357592,0.7697096031205221,-0.22350963877805258,-0.32794475687551067,0.8874768206695204,1.8870581059915088,1.2086458896046435,-0.3696431425089557,-1.4946159921259121,-0.5344346403022178,0.05109384021048867,-0.5029948907117362,-1.1055095257470207,1.1601259045353376,0.6463673671631482,-0.18201051176682392,-0.48091261124539864,-1.5413745479915857,0.6039189612823277,-2.061338164874434,0.004566198977244899,0.691274609705019,-1.3445267009608755,1.094315458488415,1.4631427070542362,0.8281346273795358,-0.5818229366372123,-2.246114790891068,-0.5047788421397572,-0.6807020931228569,1.1426511850248773,1.719983565027022,140.2538299560547,-0.0461292794786698,0.0218452032890967,0,0
2005-10-27,-1.1590459655339433,0.26897105950746936,-1.6396694627039794,2.0226039986993083,-0.2313546782703019,-0.15983923104859743,-1.9961544818107149,-0.41342704794844815,-0.28283132039510145,1.5251788912380388,-0.0012562629311975318,0.6218743676096086,0.9975802336725421,-2.5020460798339217,0.1546462138481672,-0.11525788141699478,-1.6986284956563429,-0.5240551692387264,0.3049796402280498,-0.5242786185963217,-1.0659295884161764,1.274214115526372,1.9006773693182097,-1.1840627367472056,-1.6972975589639683,-1.890557374322305,-0.33326813903136854,-2.1408055432700075,0.7131211620114661,0.691274609705019,-1.3488954547871506,1.094315458488415,1.0240141973907126,-0.28727750061297713,-0.710336116713626,-2.246114790891068,-0.5563075543000453,-0.7011626156557393,-0.8508529499476808,1.8126080781493974,140.6170654296875,0.0025864956611933,0.1018646129110751,1,1
2005-10-28,-1.034024421501498,0.3323313528569182,-1.5879600778886622,1.339015475947418,-0.8761941833486303,-0.08945567621415253,-1.8031967130910638,-0.4071532105123403,-1.6656376630804983,0.8312759822587306,2.8522920188102194,0.3160797796977718,0.8349325301537895,0.11851864804827593,-1.5358380131821974,-0.09731062016200127,-1.4445372237198284,-0.5191589825778417,0.3425881735518494,-0.5462623895111189,-1.0418888465821519,1.3883023265174064,1.667140243418706,-0.8403842870061107,-0.8752607274305442,-1.7392931635740616,-0.8158496190174221,-2.0478847933669115,1.4216761250456875,0.691274609705019,-1.3531363379844403,1.094315458488415,-0.37718268211758815,0.6501920633065346,-0.644149265307203,-2.246114790891068,-0.46722959460934904,-0.7074850018944683,-0.6340671751361064,1.8862830154510741,142.9877471923828,0.0167185948637736,0.1270806760602423,1,2
2005-10-31,-0.8099650518009007,0.7176706085221479,-1.4064062896796337,-0.41742005398228155,0.03124341721621557,-0.0017656182882769221,-1.3757142485355678,-0.41354849060231047,1.1207144644429818,-0.28597620140519686,-0.15235014428198052,-0.14022629542609102,0.925306238472364,0.8787258005546076,-0.6905958996670153,-0.004063998481838141,-0.975181173929402,-0.5187643333580652,0.4825328307956434,-0.5667293894108076,-1.0659295884161755,1.7305669594905095,0.32854965882840204,-0.17792920094981374,-0.9116785187580349,-1.607308673948468,0.4854309549788651,-1.6479262250140658,-1.4125437270911976,0.691274609705019,-1.3593343461198442,1.1601818216721904,0.3791938209636027,1.9059164642807283,-0.5960259493455488,-2.246114790891068,-0.31323597854024,-0.6890057700563291,0.1234358809732389,1.8698806754871702,150.11900329589844,0.0486693922427994,0.1096832551274376,1,2
2005-11-02,-0.2942875228065496,0.6868223304449115,-0.9203827167025155,1.0892627745089667,0.27214429974224674,0.35534244923266267,-0.3964511431591219,-0.4366007466276925,-1.2178318126753536,0.6530398726737239,1.3155465984676666,-0.41603370740136303,0.856226172879002,2.5974530998493317,1.2086458896046435,0.4395948201662973,-0.0069234089521804775,-0.4581902865517913,1.0583521474089745,-0.5634156860772241,-1.0281612617423983,-1.5779911592494877,1.2166396733961624,1.2663106161984348,-0.9198477590875074,-1.2354210331901792,-0.7421112424003302,-0.8853490245060037,0.004566198977244899,1.2047838681054384,-1.3638940046936427,1.1601818216721904,-0.6178641934691618,1.6721159946826745,-0.4611678170798973,-2.246114790891068,-0.010642164645583142,-0.6189289029592523,1.9161330330912816,1.7235212368893198,150.11900329589844,0.0,0.0493641511446723,0,1
